Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
14dpa_S1_L001_R1_001	(1, 0.01371416978117763)	(2, 0.14490430292385448)	(3, 0.004297767053084197)	(4, 0.09117412362454566)	(5, 0.07683953166008677)	(6, 0.06276309272513786)	(7, 0.1423407868555329)	(8, 0.06282980642939326)	(9, 0.04373060414500122)	(10, 0.18777907863394558)	(11, 0.02810494170711475)	(12, 0.010767927725285618)	(13, 0.0033885065895942327)	(14, 0.010980129210216957)	(15, 0.25541288242148225)	(16, 0.033938650587460956)	(17, 0.08883303745805496)	(18, 0.005995989584290101)	(19, 0.012972838550367143)	(20, 0.03325594192514949)	(21, 0.0025253503336217244)	(22, 0.007638795468711777)	(23, 0.021094201568624214)	(24, 0.01081571122512987)	(25, 0.009156417743317845)	(26, 0.1438761180310397)																												
14dpa_S1_L001_R2_001	(1, 0.23197316746114216)	(2, 0.298279566995817)	(3, 0.07272938735878719)	(4, 0.5318047058927952)	(5, 0.004538363844632246)	(6, 0.06639112746570855)	(7, 0.003340875752688781)	(8, 0.13020240392864396)	(9, 0.04060696775422416)	(10, 0.24074479826721581)	(12, 0.06620442069155673)	(14, 0.07779581230872698)	(16, 0.06897845895248289)	(18, 0.23679113347818576)	(20, 0.10025031699352435)	(22, 0.1894482188753102)	(24, 0.04171881193750109)	(26, 0.07244306801706868)	(28, 0.08630929008529063)	(30, 0.09489444311162067)	(32, 0.06641975176673347)	(34, 0.24486112541753677)	(36, 0.13121662016255858)	(38, 0.034886687437406)	(40, 0.052653371260486394)	(42, 0.222659354227922)	(44, 0.06787546921965633)	(46, 0.06189260864810298)	(48, 0.15619563553481428)	(50, 0.07051997297701107)	(52, 0.046272594738952094)	(54, 0.042580823221432605)	(56, 0.05037006801633131)	(58, 0.07282571767316968)	(60, 0.16909855445921124)	(62, 0.09922762796650635)	(64, 0.07998912075045975)	(66, 0.08594442566155977)	(68, 0.1324582278438151)	(70, 0.10648430809940292)	(72, 0.18681195891665062)	(74, 0.22812201583551597)	(76, 0.08230417788588512)	(78, 0.31748670197794027)	(80, 0.19498179241797653)	(82, 0.17581908235104388)	(84, 0.19144817970505335)	(86, 0.0895896349827454)	(88, 0.14409129644327764)	(90, 0.17804658729106773)	(92, 0.1624076431775057)	(94, 0.1457973047843623)	(96, 0.19974533409733808)	(98, 0.2664885786313877)
22dpa_S1_L001_R1_001	(1, 0.0030118845537172776)	(2, 0.13887354571098684)	(3, 0.2997102580412507)	(4, 0.141695518332253)	(5, 0.06176277291314653)	(6, 0.14540414228815038)	(7, 0.1775688437913925)	(8, 0.01653910378603577)	(9, 0.10132528602884663)	(10, 0.17948888310221295)	(11, 0.24246442174649668)	(12, 0.12943967046647653)	(13, 0.02605651060708514)	(14, 0.004833703786973162)	(15, 0.11130886729658467)	(16, 0.03984426527173504)	(17, 0.03400595703583479)	(18, 0.20790104351517835)	(19, 0.034061150191203406)	(20, 0.16101104554950607)	(21, 0.17662833461966768)	(22, 0.10694475043633639)	(23, 0.6924752858217981)	(24, 0.1662812500437224)	(25, 0.27854397969478234)	(26, 0.1864681466197923)																												
22dpa_S1_L001_R2_001	(1, 0.2533214495348127)	(2, 0.09830939552030422)	(3, 0.05661868181157354)	(4, 0.04647352703255482)	(5, 0.08219165883439442)	(6, 0.00900152886078952)	(7, 0.14119047128689075)	(8, 0.08642550797847699)	(9, 0.025379059135544595)	(10, 0.06999679050317845)	(12, 0.12902631527600086)	(14, 0.008559686880446166)	(16, 0.16998364251433626)	(18, 0.07651091815494973)	(20, 0.304969705804918)	(22, 0.02219803426698802)	(24, 0.22317997777131274)	(26, 0.11051442710728027)	(28, 0.07903014444952325)	(30, 0.1471741808460739)	(32, 0.102925961718885)	(34, 0.1370382991106319)	(36, 0.2125866753423185)	(38, 0.10886753456805555)	(40, 0.0939012131569794)	(42, 0.266752303298282)	(44, 0.1153457569950978)	(46, 0.16203159963338512)	(48, 0.11534701812902423)	(50, 0.05071924567241559)	(52, 0.024532022243073066)	(54, 0.03573823576031391)	(56, 0.1277992319655812)	(58, 0.15574202800486758)	(60, 0.1076457925307361)	(62, 0.11322534575867167)	(64, 0.10082587699397905)	(66, 0.07788221583907447)	(68, 0.17541875881552088)	(70, 0.15398215270270413)	(72, 0.15761139940558486)	(74, 0.16537738794021276)	(76, 0.07504221642109518)	(78, 0.17997976093699)	(80, 0.21643758487885703)	(82, 0.42199692524569454)	(84, 0.18594640809599197)	(86, 0.271410115994692)	(88, 0.16698474022162638)	(90, 0.20026940283588993)	(92, 0.3050419613604678)	(94, 0.08085700821848488)	(96, 0.2347963565520389)	(98, 0.03889589255905716)
24h_S1_L001_R1_001	(1, 0.02124508027603895)	(2, 0.02892809727438697)	(3, 0.0871074303426497)	(4, 0.0673899421285543)	(5, 0.010871822848310286)	(6, 0.13283207276924625)	(7, 0.003310969861402916)	(8, 0.06020177453523077)	(9, 0.1775307852341118)	(10, 0.09191285779394509)	(11, 0.006438616288654081)	(12, 0.06221151961571197)	(13, 0.31577027997490853)	(14, 0.2959321760891879)	(15, 0.17396217162741454)	(16, 0.008222613424039621)	(17, 0.06660415967220283)	(18, 0.1664556653680302)	(19, 0.010259918953236196)	(20, 0.05546246119405597)	(21, 0.06593434786803014)	(22, 0.001981565295839624)	(23, 0.01690787078494194)	(24, 0.08208477081524373)	(25, 0.07065631980327167)	(26, 0.13270123805483897)																												
24h_S1_L001_R2_001	(1, 0.06372238960764844)	(2, 0.1579092940885756)	(3, 0.13270340573058062)	(4, 0.17043815020740283)	(5, 0.007483590830115373)	(6, 0.17581290220884685)	(7, 0.005119275931891349)	(8, 0.39164311145048314)	(9, 0.03255260594842274)	(10, 0.04302658288114779)	(12, 0.17625959824561022)	(14, 0.07716755322927132)	(16, 0.18181898977004918)	(18, 0.037253443045183084)	(20, 0.15080984636667855)	(22, 0.11428249727796053)	(24, 0.2197732888327051)	(26, 0.05834430867560114)	(28, 0.20941141170262018)	(30, 0.016833627890790112)	(32, 0.14576574233282832)	(34, 0.13160625213733795)	(36, 0.1175395074967943)	(38, 0.050847556957054264)	(40, 0.010855178195293975)	(42, 0.20770034137254334)	(44, 0.11533877470007478)	(46, 0.08989026149299549)	(48, 0.1809261396154579)	(50, 0.226224291839883)	(52, 0.1922719092812838)	(54, 0.12268595679244716)	(56, 0.1366149766064047)	(58, 0.16436935488367396)	(60, 0.3132889105866349)	(62, 0.12351625401849342)	(64, 0.21030224901545136)	(66, 0.19797096105707823)	(68, 0.36006355965909304)	(70, 0.16358744327686117)	(72, 0.09407186283263769)	(74, 0.23659135590834976)	(76, 0.16266347149197893)	(78, 0.15507374196751303)	(80, 0.1939995468473862)	(82, 0.2625052226469688)	(84, 0.20561194062943622)	(86, 0.2510345019580344)	(88, 0.2895234427589725)	(90, 0.1865339167591303)	(92, 0.2715903387652165)	(94, 0.17621121262637676)	(96, 0.09627476330509888)	(98, 0.2242270108949163)
33dpa_S1_L001_R1_001	(1, 0.0045479534831659)	(2, 0.29014073328281914)	(3, 0.3798457290875695)	(4, 0.010734380151888101)	(5, 0.014306283536706533)	(6, 0.04825340437272181)	(7, 0.7272945260406953)	(8, 0.0023195662701979342)	(9, 0.0481911710479458)	(10, 0.12812249556095484)	(11, 0.05510312250062646)	(12, 0.045165473634533555)	(13, 0.9560397687733844)	(14, 0.11141212421528482)	(15, 0.002010281118927392)	(16, 0.5126538150895087)	(17, 0.004624514945506619)	(18, 0.10974803405650675)	(19, 0.48422780326176146)	(20, 0.13559107344872512)	(21, 0.020987971687715955)	(22, 0.08914793518367384)	(23, 0.2121833629945078)	(24, 0.01949263514914448)	(25, 0.2523590265399658)	(26, 0.13420052046163697)																												
33dpa_S1_L001_R2_001	(1, 0.08737196976896124)	(2, 0.008350554355642378)	(3, 0.004093794940963297)	(4, 0.06739319104325253)	(5, 0.37615283254109344)	(6, 0.06779481308105122)	(7, 0.5770488071651804)	(8, 0.012089908802706958)	(9, 0.09566593521765614)	(10, 0.3551747024024119)	(12, 0.04969931607312815)	(14, 0.0700952028034984)	(16, 0.06364985655797553)	(18, 0.4087039007008544)	(20, 0.06908506910518639)	(22, 0.47966132450982496)	(24, 0.20417878250602134)	(26, 0.17371484638485313)	(28, 0.03131399991900984)	(30, 0.03983714320440894)	(32, 0.33941946786339133)	(34, 0.03584255976143159)	(36, 0.1061250414539071)	(38, 0.28591762328211784)	(40, 0.03772200616966709)	(42, 0.20381167825417407)	(44, 0.03512412668192435)	(46, 0.13566416142317134)	(48, 0.12883441585065994)	(50, 0.06359362947268372)	(52, 0.015278932511490659)	(54, 0.24368811529038922)	(56, 0.1230543872655913)	(58, 0.04236186235337431)	(60, 0.15653302142183928)	(62, 0.1517315033223767)	(64, 0.32449222600121624)	(66, 0.13771511129619657)	(68, 0.2385275253798353)	(70, 0.18438605247566048)	(72, 0.30715800175683233)	(74, 0.2590541020922352)	(76, 0.09939255354244098)	(78, 0.04152127828291136)	(80, 0.04012971219518732)	(82, 0.07267904361100096)	(84, 0.22634846372117015)	(86, 0.17596942948569194)	(88, 0.33809281258069523)	(90, 0.12199338144249147)	(92, 0.1580036093591626)	(94, 0.11176678180217695)	(96, 0.1188877938075063)	(98, 0.05543513005187336)
3h_S0_L001_R1_001	(1, 0.001987184274176072)	(2, 0.11753325220088436)	(3, 0.4046352382260168)	(4, 0.10667494121549956)	(5, 0.013880659055797087)	(6, 0.0005679985911276265)	(7, 0.3414701979121878)	(8, 0.058504886806762676)	(9, 0.13551196286186099)	(10, 0.11892929337866233)	(11, 0.0008660762322540371)	(12, 0.07526784756350119)	(13, 0.44573884766571586)	(14, 0.15838315658599458)	(15, 0.049150673829494985)	(16, 0.002904709120056774)	(17, 0.064943629206109)	(18, 0.2889703520111048)	(19, 0.062387561837419156)	(20, 0.1708180948571593)	(21, 0.06934167487641826)	(22, 0.2800325927114742)	(23, 0.1867421041521518)	(24, 0.06525305797402409)	(25, 0.18878751823258158)	(26, 0.07605741425285484)																												
3h_S0_L001_R2_001	(1, 0.10249477821264075)	(2, 0.07492790342876454)	(3, 0.004898084917935769)	(4, 0.0673083490089323)	(5, 0.01387328819424599)	(6, 1.00179620082887)	(7, 0.3449914058923785)	(8, 0.026561047016613347)	(9, 0.04635549571208753)	(10, 0.13174972770894947)	(12, 0.004139107304019188)	(14, 0.316167651796809)	(16, 0.19644097861554888)	(18, 0.6208628524237957)	(20, 0.0569324609120669)	(22, 0.20070583281762977)	(24, 0.11806675515995282)	(26, 0.05661352373275088)	(28, 0.07346419774194747)	(30, 0.043048706094418354)	(32, 0.004185175188713552)	(34, 0.030736492668079447)	(36, 0.07208068702880635)	(38, 0.27991045753557253)	(40, 0.01928652262598801)	(42, 0.3438794377187798)	(44, 0.0870652800191114)	(46, 0.11355799914914606)	(48, 0.09095510478547245)	(50, 0.06785010733293803)	(52, 0.2550480255634098)	(54, 0.03501100269879231)	(56, 0.07549590201989217)	(58, 0.16294667809812602)	(60, 0.09556439934783618)	(62, 0.16428795377457936)	(64, 0.08795273174986362)	(66, 0.14341617995479666)	(68, 0.0920151820937514)	(70, 0.11747568577217028)	(72, 0.2930302962620652)	(74, 0.32279324553647565)	(76, 0.2030571376524301)	(78, 0.06853132235749053)	(80, 0.00850508972658118)	(82, 0.03633827373829856)	(84, 0.3801893336401066)	(86, 0.09357647798750501)	(88, 0.5477599006064675)	(90, 0.1605196008065804)	(92, 0.07019286196833907)	(94, 0.12276855403478286)	(96, 0.2019370615311252)	(98, 0.15945797561737574)
72h_S1_L001_R1_001	(1, 0.013948822437550287)	(2, 0.013046772344034572)	(3, 0.011248855747344907)	(4, 0.03150177312869448)	(5, 0.011049925121471769)	(6, 0.0706426934379047)	(7, 0.13252052461453773)	(8, 0.06192533924877103)	(9, 0.06712362725632934)	(10, 0.04862247577302107)	(11, 0.017425508402393014)	(12, 0.07603945961350628)	(13, 0.08658217950767602)	(14, 0.16179213309972493)	(15, 0.06697507026885016)	(16, 0.041474245337931454)	(17, 0.026398350446135564)	(18, 0.1407481686124583)	(19, 0.19765831445549814)	(20, 0.04571829978226055)	(21, 0.1484455320337527)	(22, 0.09160596961217503)	(23, 0.6711542268768074)	(24, 0.13163084170170555)	(25, 0.0715667631458082)	(26, 0.1258110274551607)																												
