Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53
14dpa_S1_L001_R1_001	(1, 34.96231535507242)	(2, 34.77796973157714)	(3, 34.892990706953505)	(4, 34.91217905370775)	(5, 34.96969376557945)	(6, 34.967195399946895)	(7, 34.89203263709523)	(8, 35.05843315043107)	(9, 35.14658283040933)	(10, 34.95279971227433)	(11, 35.05310208427672)	(12, 35.062081964124246)	(13, 35.05320456843417)	(14, 35.076540194749576)	(15, 34.98006926406078)	(16, 34.91979680306372)	(17, 34.909230726276114)	(18, 34.95226494926601)	(19, 34.94174779942366)	(20, 34.901092393245584)	(21, 34.93542090223311)	(22, 34.82317948388291)	(23, 34.783959167341465)	(24, 34.72025871959221)	(25, 34.65317909906544)	(26, 34.51135586552513)																												
14dpa_S1_L001_R2_001	(1, 33.94517839060559)	(2, 33.5716007220096)	(3, 33.9252614172303)	(4, 33.72581209046478)	(5, 33.76842217306506)	(6, 33.7973339368771)	(7, 33.7209032564133)	(8, 33.847790441122754)	(9, 33.788526300516914)	(10, 33.59579994501355)	(12, 33.76116163208644)	(14, 33.58914112348158)	(16, 33.72531562371797)	(18, 33.539094223060516)	(20, 33.52109409852114)	(22, 33.61459275354309)	(24, 33.61626521267675)	(26, 33.530108000831206)	(28, 33.54026050761108)	(30, 33.54422956235097)	(32, 33.56399800766316)	(34, 33.485031588916065)	(36, 33.51316281765462)	(38, 33.50454551534)	(40, 33.52900348446899)	(42, 33.42928027596403)	(44, 33.476371892866666)	(46, 33.42822253934284)	(48, 33.35337690168731)	(50, 33.399702234601776)	(52, 33.41127704778712)	(54, 33.367589277046164)	(56, 33.3373237837841)	(58, 33.2798025890807)	(60, 33.23112698808728)	(62, 33.241573249657314)	(64, 33.273206254779524)	(66, 33.207393051951506)	(68, 33.12164773540125)	(70, 33.0714029425925)	(72, 33.008738464782624)	(74, 33.00543013447854)	(76, 33.02561455118648)	(78, 32.9269798729441)	(80, 32.920011203658284)	(82, 32.903580580840014)	(84, 32.820442045798245)	(86, 32.87545423502556)	(88, 32.723587239569945)	(90, 32.61965826022546)	(92, 32.653268696944224)	(94, 32.59241936926364)	(96, 32.4598944971772)	(98, 32.47749441047931)
22dpa_S1_L001_R1_001	(1, 35.149194637574865)	(2, 34.96159871971583)	(3, 34.92140341855752)	(4, 35.02826608846317)	(5, 35.13953475674493)	(6, 35.11543240431428)	(7, 35.03859057797022)	(8, 35.232413260020856)	(9, 35.299372533794184)	(10, 35.12992014023715)	(11, 35.06300258625779)	(12, 35.17966259168924)	(13, 35.16912927917559)	(14, 35.24664583145823)	(15, 35.2017753851723)	(16, 35.15266741613333)	(17, 35.14184078167265)	(18, 35.051265120815884)	(19, 35.11090732077072)	(20, 35.0983089400284)	(21, 35.091186993302074)	(22, 35.12788887929982)	(23, 34.84897958026398)	(24, 35.12447513961335)	(25, 35.045972442915094)	(26, 35.12003124935566)																												
22dpa_S1_L001_R2_001	(1, 33.854769769563994)	(2, 33.68781648498987)	(3, 33.81501391571525)	(4, 33.83295650725796)	(5, 33.687876571344866)	(6, 33.71479466046044)	(7, 33.70064094995302)	(8, 33.81142480571234)	(9, 33.801240104740764)	(10, 33.67608130739327)	(12, 33.74137762623221)	(14, 33.68330397272602)	(16, 33.662822648856114)	(18, 33.65761489719762)	(20, 33.505467336047474)	(22, 33.71038278520024)	(24, 33.57349629619877)	(26, 33.63838478732305)	(28, 33.60462504591473)	(30, 33.599870887037405)	(32, 33.61444596464495)	(34, 33.61392834112697)	(36, 33.60063379071827)	(38, 33.62193134865542)	(40, 33.632986811415996)	(42, 33.517306850963024)	(44, 33.57336420058025)	(46, 33.56972774612606)	(48, 33.58095998648017)	(50, 33.54320462190094)	(52, 33.56484592117767)	(54, 33.55657519717195)	(56, 33.48982329758489)	(58, 33.50653134287171)	(60, 33.44748544264577)	(62, 33.48118937739416)	(64, 33.48146083869736)	(66, 33.43930025467769)	(68, 33.40465634265936)	(70, 33.38054493454527)	(72, 33.330983771095106)	(74, 33.349162739937015)	(76, 33.41550063596239)	(78, 33.294184022588354)	(80, 33.211357141722864)	(82, 33.13546275040132)	(84, 33.193715688932016)	(86, 33.193320390211994)	(88, 33.219451723153085)	(90, 33.138806257539414)	(92, 32.998913605823034)	(94, 33.0360848176186)	(96, 32.92499379488726)	(98, 33.07397531492358)
24h_S1_L001_R1_001	(1, 35.13319698859364)	(2, 35.09843871993452)	(3, 35.06212026666035)	(4, 35.155834994076166)	(5, 35.21473162343406)	(6, 35.17163182730474)	(7, 35.165662455525585)	(8, 35.27021676470974)	(9, 35.217326913472604)	(10, 35.14170310303789)	(11, 35.20858966131235)	(12, 35.21482853402311)	(13, 35.065154879541446)	(14, 35.11082054880115)	(15, 35.16610542161173)	(16, 35.112394608089296)	(17, 35.05549353018079)	(18, 34.99010677126858)	(19, 35.03076625998154)	(20, 35.01230879058085)	(21, 35.01361931004569)	(22, 34.99980238848603)	(23, 34.9897736738274)	(24, 34.98673338782922)	(25, 34.83806678904693)	(26, 34.742847030428614)																												
24h_S1_L001_R2_001	(1, 33.53372070679452)	(2, 33.28746294619602)	(3, 33.71646040290078)	(4, 33.64041451503237)	(5, 33.493968525085016)	(6, 33.305119600309084)	(7, 33.48524872890785)	(8, 33.57829308556882)	(9, 33.57779445047295)	(10, 33.41671742034262)	(12, 33.46234523966136)	(14, 33.27005145079015)	(16, 33.46090871165733)	(18, 33.38871990084493)	(20, 33.14563990798185)	(22, 33.32085108895242)	(24, 33.26369044503474)	(26, 33.27872988074664)	(28, 33.21272754992233)	(30, 33.19123016225417)	(32, 33.15207539584991)	(34, 33.25111085369102)	(36, 33.20461924887852)	(38, 33.20829307062734)	(40, 33.18412393667473)	(42, 33.04211334805871)	(44, 33.08331074241029)	(46, 33.10096891854138)	(48, 33.037285238203296)	(50, 32.937323707480175)	(52, 32.89297280400725)	(54, 32.9578016535046)	(56, 32.9348833257435)	(58, 32.91553319044067)	(60, 32.7881622120685)	(62, 32.67371551257894)	(64, 32.77963148753705)	(66, 32.751867623355906)	(68, 32.61107614486704)	(70, 32.6027224211241)	(72, 32.44277302520463)	(74, 32.50881838671492)	(76, 32.577572962784856)	(78, 32.55098169737697)	(80, 32.43588233472086)	(82, 32.26106559176994)	(84, 32.29354672712665)	(86, 32.28713378308631)	(88, 32.278334351147414)	(90, 32.097350620258354)	(92, 31.936907494383533)	(94, 32.01187138535715)	(96, 32.03503931478655)	(98, 31.966294613253783)
33dpa_S1_L001_R1_001	(1, 35.24231165019128)	(2, 34.98952200233146)	(3, 34.98174811643606)	(4, 35.18805715578017)	(5, 35.234104294715955)	(6, 35.197630175254545)	(7, 34.838498462417164)	(8, 35.257533523427675)	(9, 35.314915924080786)	(10, 35.15751840507161)	(11, 35.20765303167326)	(12, 35.202615513227954)	(13, 34.7936184400178)	(14, 35.091027315016724)	(15, 35.159775807486795)	(16, 34.85049365354685)	(17, 35.02223290593126)	(18, 34.97696439706748)	(19, 34.84087937048358)	(20, 34.982930126999115)	(21, 34.990065300704046)	(22, 34.93148253355165)	(23, 34.88863625568194)	(24, 34.89364604122098)	(25, 34.82474765906454)	(26, 34.84114920115423)																												
33dpa_S1_L001_R2_001	(1, 33.985274731327884)	(2, 33.723862976170686)	(3, 33.90807705915527)	(4, 33.87865079136041)	(5, 33.616103162243114)	(6, 33.73765957311934)	(7, 33.48732282280983)	(8, 33.83437288506197)	(9, 33.72692200025316)	(10, 33.52264760637462)	(12, 33.734619435403644)	(14, 33.5934989230885)	(16, 33.63888467374701)	(18, 33.42652495960117)	(20, 33.48844176279279)	(22, 33.405412342524)	(24, 33.51801577032974)	(26, 33.480628231374936)	(28, 33.49408229972224)	(30, 33.46814808054914)	(32, 33.36815342754957)	(34, 33.48217636854771)	(36, 33.429075631493845)	(38, 33.29754444957331)	(40, 33.368347555722494)	(42, 33.18547160862174)	(44, 33.35709907331106)	(46, 33.23050567442008)	(48, 33.24939602485941)	(50, 33.195212972857846)	(52, 33.199959106192836)	(54, 33.15417065309706)	(56, 33.15512256607276)	(58, 33.153910429515015)	(60, 32.990462593183906)	(62, 32.99889443945822)	(64, 32.95614748090935)	(66, 32.944862251166924)	(68, 32.852705020669134)	(70, 32.80857328742502)	(72, 32.70745622529645)	(74, 32.72119491992554)	(76, 32.83410081978077)	(78, 32.767408309399315)	(80, 32.762901332218654)	(82, 32.60114800873478)	(84, 32.5322729836135)	(86, 32.47444836525647)	(88, 32.329379374260995)	(90, 32.38886349560185)	(92, 32.30064879977823)	(94, 32.29349144495852)	(96, 32.191492939687194)	(98, 32.29983583427839)
3h_S0_L001_R1_001	(1, 35.21662076121119)	(2, 34.99626159779083)	(3, 34.93561375829273)	(4, 35.110310621623924)	(5, 35.19678616343285)	(6, 35.18396449079782)	(7, 34.92417653836695)	(8, 35.20523458892417)	(9, 35.25315402519514)	(10, 35.13066733880275)	(11, 35.1870974121107)	(12, 35.1656415933342)	(13, 34.94222428599139)	(14, 35.06800608066005)	(15, 35.124104515320056)	(16, 35.03615491323801)	(17, 34.9551077058078)	(18, 34.891753644172006)	(19, 34.99384258422182)	(20, 34.95801809491377)	(21, 34.979612715858316)	(22, 34.864249244810644)	(23, 34.840720943201745)	(24, 34.92509868326885)	(25, 34.87900618284525)	(26, 34.87003363455327)																												
3h_S0_L001_R2_001	(1, 33.95006095356072)	(2, 33.68694685710392)	(3, 33.88450170852369)	(4, 33.83072973742089)	(5, 33.69535036456495)	(6, 33.34105362777494)	(7, 33.560093947998894)	(8, 33.800971020495176)	(9, 33.70036880385864)	(10, 33.5696328283302)	(12, 33.70754405748589)	(14, 33.453463097065935)	(16, 33.542604599892584)	(18, 33.268006732096794)	(20, 33.443617482753695)	(22, 33.46162791244318)	(24, 33.484788741960706)	(26, 33.456189110703974)	(28, 33.40360286724922)	(30, 33.42391252516248)	(32, 33.42794021526038)	(34, 33.42623760226063)	(36, 33.371329234474864)	(38, 33.22082067148923)	(40, 33.31069885875904)	(42, 33.04545471820073)	(44, 33.280322781319484)	(46, 33.14633967371552)	(48, 33.16006736601863)	(50, 33.11043592553321)	(52, 32.99822623386244)	(54, 33.136482339733405)	(56, 33.073527807540046)	(58, 33.00013677665528)	(60, 32.9009398501536)	(62, 32.86912244348872)	(64, 32.936145450231116)	(66, 32.79602815095954)	(68, 32.746984154872194)	(70, 32.64245447416478)	(72, 32.51594888890107)	(74, 32.48342477508697)	(76, 32.617346638939395)	(78, 32.58304319546142)	(80, 32.57022641486721)	(82, 32.4078115812843)	(84, 32.29243404368444)	(86, 32.300132175910925)	(88, 31.99086791235809)	(90, 32.07838439745579)	(92, 32.08346956294784)	(94, 32.031427504304716)	(96, 31.88587729113815)	(98, 31.96232032380643)
