Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
14dpa_S1_L001_R1_001	(15.0, 1.0)	(16.0, 3.0)	(17.0, 20.0)	(18.0, 121.0)	(19.0, 903.0)	(20.0, 5091.0)	(21.0, 23644.0)	(22.0, 90574.0)	(23.0, 290668.0)	(24.0, 787361.0)	(25.0, 1835458.0)	(26.0, 3700201.0)	(27.0, 6551613.0)	(28.0, 10338793.0)	(29.0, 14807645.0)	(30.0, 19734263.0)	(31.0, 25209583.0)	(32.0, 32100143.0)	(33.0, 42689800.0)	(34.0, 63219671.0)	(35.0, 125044080.0)	(36.0, 270808016.0)	(37.0, 37800177.0)													
14dpa_S1_L001_R2_001	(5.0, 1.0)	(6.0, 9.0)	(7.0, 209.0)	(8.0, 1629.0)	(9.0, 6826.0)	(10.0, 21559.0)	(11.0, 56730.0)	(12.0, 127604.0)	(13.0, 254517.0)	(14.0, 462289.0)	(15.0, 761638.0)	(16.0, 1175797.0)	(17.0, 1704249.0)	(18.0, 2361317.0)	(19.0, 3161295.0)	(20.0, 4075837.0)	(21.0, 5078829.0)	(22.0, 6179518.0)	(23.0, 7387579.0)	(24.0, 8728672.0)	(25.0, 10217415.0)	(26.0, 11936349.0)	(27.0, 13965144.0)	(28.0, 16446496.0)	(29.0, 19568595.0)	(30.0, 23625048.0)	(31.0, 29191017.0)	(32.0, 37138759.0)	(33.0, 49727931.0)	(34.0, 72185183.0)	(35.0, 127234621.0)	(36.0, 198491923.0)	(37.0, 3763244.0)			
22dpa_S1_L001_R1_001	(15.0, 2.0)	(16.0, 17.0)	(17.0, 70.0)	(18.0, 278.0)	(19.0, 1369.0)	(20.0, 6278.0)	(21.0, 25069.0)	(22.0, 87200.0)	(23.0, 263466.0)	(24.0, 685125.0)	(25.0, 1537018.0)	(26.0, 3022101.0)	(27.0, 5260758.0)	(28.0, 8272311.0)	(29.0, 11995317.0)	(30.0, 16396338.0)	(31.0, 21640762.0)	(32.0, 28879106.0)	(33.0, 40359722.0)	(34.0, 63678069.0)	(35.0, 139192695.0)	(36.0, 297850067.0)	(37.0, 34843479.0)													
22dpa_S1_L001_R2_001	(2.0, 5.0)	(3.0, 265.0)	(4.0, 1029.0)	(5.0, 1494.0)	(6.0, 1576.0)	(7.0, 2005.0)	(8.0, 3882.0)	(9.0, 9043.0)	(10.0, 23419.0)	(11.0, 60881.0)	(12.0, 141996.0)	(13.0, 293214.0)	(14.0, 537085.0)	(15.0, 888455.0)	(16.0, 1355829.0)	(17.0, 1926427.0)	(18.0, 2612839.0)	(19.0, 3396475.0)	(20.0, 4248207.0)	(21.0, 5156774.0)	(22.0, 6118358.0)	(23.0, 7150611.0)	(24.0, 8280860.0)	(25.0, 9535466.0)	(26.0, 10999440.0)	(27.0, 12739321.0)	(28.0, 14906261.0)	(29.0, 17692565.0)	(30.0, 21442389.0)	(31.0, 26733663.0)	(32.0, 34707782.0)	(33.0, 47786451.0)	(34.0, 72861622.0)	(35.0, 138438436.0)	(36.0, 220402805.0)	(37.0, 3539687.0)
24h_S1_L001_R1_001	(16.0, 2.0)	(17.0, 30.0)	(18.0, 154.0)	(19.0, 847.0)	(20.0, 4403.0)	(21.0, 18070.0)	(22.0, 65663.0)	(23.0, 206179.0)	(24.0, 550933.0)	(25.0, 1279236.0)	(26.0, 2625714.0)	(27.0, 4758816.0)	(28.0, 7789788.0)	(29.0, 11675440.0)	(30.0, 16421661.0)	(31.0, 21904085.0)	(32.0, 29152424.0)	(33.0, 40582869.0)	(34.0, 64155119.0)	(35.0, 133022665.0)	(36.0, 275860055.0)	(37.0, 35778902.0)														
24h_S1_L001_R2_001	(5.0, 3.0)	(6.0, 20.0)	(7.0, 179.0)	(8.0, 1157.0)	(9.0, 4337.0)	(10.0, 14966.0)	(11.0, 43392.0)	(12.0, 109738.0)	(13.0, 236392.0)	(14.0, 456915.0)	(15.0, 796890.0)	(16.0, 1273605.0)	(17.0, 1905170.0)	(18.0, 2698115.0)	(19.0, 3655374.0)	(20.0, 4741479.0)	(21.0, 5906166.0)	(22.0, 7145342.0)	(23.0, 8490819.0)	(24.0, 9962823.0)	(25.0, 11605526.0)	(26.0, 13493201.0)	(27.0, 15706749.0)	(28.0, 18423670.0)	(29.0, 21844067.0)	(30.0, 26275589.0)	(31.0, 32251760.0)	(32.0, 40737912.0)	(33.0, 53785154.0)	(34.0, 75718944.0)	(35.0, 123316064.0)	(36.0, 163441844.0)	(37.0, 1809693.0)			
33dpa_S1_L001_R1_001	(16.0, 1.0)	(17.0, 33.0)	(18.0, 144.0)	(19.0, 933.0)	(20.0, 4576.0)	(21.0, 19409.0)	(22.0, 68701.0)	(23.0, 209761.0)	(24.0, 553684.0)	(25.0, 1283846.0)	(26.0, 2620649.0)	(27.0, 4799912.0)	(28.0, 8024752.0)	(29.0, 12406166.0)	(30.0, 17582295.0)	(31.0, 24439907.0)	(32.0, 33692314.0)	(33.0, 48048142.0)	(34.0, 74105716.0)	(35.0, 143831231.0)	(36.0, 281640099.0)	(37.0, 37615869.0)														
33dpa_S1_L001_R2_001	(6.0, 6.0)	(7.0, 101.0)	(8.0, 823.0)	(9.0, 4095.0)	(10.0, 15161.0)	(11.0, 44993.0)	(12.0, 111833.0)	(13.0, 242596.0)	(14.0, 462226.0)	(15.0, 796626.0)	(16.0, 1261345.0)	(17.0, 1870941.0)	(18.0, 2639946.0)	(19.0, 3564419.0)	(20.0, 4611332.0)	(21.0, 5740467.0)	(22.0, 6953740.0)	(23.0, 8264776.0)	(24.0, 9706178.0)	(25.0, 11343147.0)	(26.0, 13232182.0)	(27.0, 15483755.0)	(28.0, 18255895.0)	(29.0, 21789947.0)	(30.0, 26444706.0)	(31.0, 32776525.0)	(32.0, 41578404.0)	(33.0, 55363950.0)	(34.0, 79862555.0)	(35.0, 135882843.0)	(36.0, 190204222.0)	(37.0, 2438405.0)				
3h_S0_L001_R1_001	(16.0, 5.0)	(17.0, 22.0)	(18.0, 204.0)	(19.0, 990.0)	(20.0, 4733.0)	(21.0, 20121.0)	(22.0, 72318.0)	(23.0, 220342.0)	(24.0, 584511.0)	(25.0, 1350849.0)	(26.0, 2753146.0)	(27.0, 5032574.0)	(28.0, 8350689.0)	(29.0, 12696099.0)	(30.0, 18028489.0)	(31.0, 24430107.0)	(32.0, 32883791.0)	(33.0, 45744837.0)	(34.0, 69548711.0)	(35.0, 136639669.0)	(36.0, 280246511.0)	(37.0, 39738035.0)														
3h_S0_L001_R2_001	(4.0, 1.0)	(5.0, 2.0)	(6.0, 4.0)	(7.0, 153.0)	(8.0, 1057.0)	(9.0, 5033.0)	(10.0, 18848.0)	(11.0, 54954.0)	(12.0, 133720.0)	(13.0, 282436.0)	(14.0, 526349.0)	(15.0, 888190.0)	(16.0, 1380038.0)	(17.0, 2015556.0)	(18.0, 2799976.0)	(19.0, 3741092.0)	(20.0, 4798228.0)	(21.0, 5942894.0)	(22.0, 7166718.0)	(23.0, 8485820.0)	(24.0, 9944062.0)	(25.0, 11585053.0)	(26.0, 13487370.0)	(27.0, 15738170.0)	(28.0, 18508160.0)	(29.0, 21988047.0)	(30.0, 26512120.0)	(31.0, 32644898.0)	(32.0, 41472421.0)	(33.0, 55184360.0)	(34.0, 78891214.0)	(35.0, 134037894.0)	(36.0, 178096699.0)	(37.0, 2015216.0)		
72h_S1_L001_R1_001	(16.0, 11.0)	(17.0, 44.0)	(18.0, 224.0)	(19.0, 1098.0)	(20.0, 5130.0)	(21.0, 21537.0)	(22.0, 76008.0)	(23.0, 236249.0)	(24.0, 629521.0)	(25.0, 1461889.0)	(26.0, 2997478.0)	(27.0, 5426389.0)	(28.0, 8840141.0)	(29.0, 13197095.0)	(30.0, 18380632.0)	(31.0, 24583900.0)	(32.0, 32676216.0)	(33.0, 44990737.0)	(34.0, 67975973.0)	(35.0, 133298147.0)	(36.0, 273091446.0)	(37.0, 35155352.0)														
72h_S1_L001_R2_001	(5.0, 1.0)	(6.0, 17.0)	(7.0, 134.0)	(8.0, 884.0)	(9.0, 3664.0)	(10.0, 11708.0)	(11.0, 33485.0)	(12.0, 82127.0)	(13.0, 179076.0)	(14.0, 349489.0)	(15.0, 620643.0)	(16.0, 1015726.0)	(17.0, 1553358.0)	(18.0, 2262205.0)	(19.0, 3146520.0)	(20.0, 4153208.0)	(21.0, 5256346.0)	(22.0, 6435366.0)	(23.0, 7724504.0)	(24.0, 9130808.0)	(25.0, 10705170.0)	(26.0, 12525465.0)	(27.0, 14661102.0)	(28.0, 17199637.0)	(29.0, 20462357.0)	(30.0, 24804881.0)	(31.0, 30669803.0)	(32.0, 39094042.0)	(33.0, 52414176.0)	(34.0, 76228422.0)	(35.0, 131155525.0)	(36.0, 188777351.0)	(37.0, 2388017.0)			
7dpa_S1_L001_R1_001	(15.0, 5.0)	(16.0, 20.0)	(17.0, 103.0)	(18.0, 450.0)	(19.0, 1852.0)	(20.0, 7063.0)	(21.0, 24904.0)	(22.0, 79914.0)	(23.0, 226932.0)	(24.0, 586332.0)	(25.0, 1339994.0)	(26.0, 2707301.0)	(27.0, 4873926.0)	(28.0, 7934667.0)	(29.0, 11868023.0)	(30.0, 16675254.0)	(31.0, 22277320.0)	(32.0, 29682912.0)	(33.0, 41374451.0)	(34.0, 65251593.0)	(35.0, 137494335.0)	(36.0, 292321741.0)	(37.0, 38871608.0)													
