Sample	Unique Reads	Duplicate Reads
14dpa_S1_L001_R1_001	139978876.0	515058953.0
14dpa_S1_L001_R2_001	179951164.0	475086665.0
22dpa_S1_L001_R1_001	187660555.0	486336062.0
22dpa_S1_L001_R2_001	99835854.0	574160763.0
24h_S1_L001_R1_001	121189833.0	524663222.0
24h_S1_L001_R2_001	123549563.0	522303492.0
33dpa_S1_L001_R1_001	135968498.0	554979642.0
33dpa_S1_L001_R2_001	142958461.0	547989679.0
3h_S0_L001_R1_001	146845687.0	531501066.0
3h_S0_L001_R2_001	144719624.0	533627129.0
72h_S1_L001_R1_001	231557417.0	431487800.0
72h_S1_L001_R2_001	134409773.0	528635444.0
7dpa_S1_L001_R1_001	151556330.0	522044370.0
7dpa_S1_L001_R2_001	111413693.0	562187007.0
