Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
14dpa_S1_L001_R1_001	78.63041344671782	50.0	26.0	26	10.0	655.037829
14dpa_S1_L001_R2_001	72.52812649753648	43.0	98.0	98	20.0	655.037829
22dpa_S1_L001_R1_001	72.1570479592871	50.0	26.0	26	10.0	673.996617
22dpa_S1_L001_R2_001	85.18748449578375	44.0	98.0	98	20.0	673.996617
24h_S1_L001_R1_001	81.23569576358858	50.0	26.0	26	10.0	645.8530549999999
24h_S1_L001_R2_001	80.87032931829023	43.0	98.0	98	20.0	645.8530549999999
33dpa_S1_L001_R1_001	80.32146117543834	50.0	26.0	26	10.0	690.94814
33dpa_S1_L001_R2_001	79.30981319753634	44.0	98.0	98	10.0	690.94814
3h_S0_L001_R1_001	78.35241552794028	50.0	26.0	26	10.0	678.3467529999999
3h_S0_L001_R2_001	78.66583382989	44.0	98.0	98	10.0	678.3467529999999
72h_S1_L001_R1_001	65.07667795583018	50.0	26.0	26	10.0	663.045217
72h_S1_L001_R2_001	79.72841529323775	44.0	98.0	98	10.0	663.045217
7dpa_S1_L001_R1_001	77.50056836299498	50.0	26.0	26	10.0	673.6007
7dpa_S1_L001_R2_001	83.45997965773131	45.0	98.0	98	10.0	673.6007
