Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
14dpa_S1_L001_R1_001	(0.0, 3022.0)	(1.0, 3022.0)	(2.0, 3423.0)	(3.0, 3824.0)	(4.0, 3824.0)	(5.0, 3824.0)	(6.0, 7519.5)	(7.0, 11215.0)	(8.0, 11215.0)	(9.0, 11215.0)	(10.0, 20653.0)	(11.0, 30091.0)	(12.0, 30091.0)	(13.0, 53449.5)	(14.0, 76808.0)	(15.0, 76808.0)	(16.0, 76808.0)	(17.0, 172639.5)	(18.0, 268471.0)	(19.0, 268471.0)	(20.0, 268471.0)	(21.0, 485564.0)	(22.0, 702657.0)	(23.0, 702657.0)	(24.0, 702657.0)	(25.0, 1550923.0)	(26.0, 2399189.0)	(27.0, 2399189.0)	(28.0, 2399189.0)	(29.0, 4971241.0)	(30.0, 7543293.0)	(31.0, 7543293.0)	(32.0, 7543293.0)	(33.0, 13923506.5)	(34.0, 20303720.0)	(35.0, 20303720.0)	(36.0, 20303720.0)	(37.0, 31995061.0)	(38.0, 43686402.0)	(39.0, 43686402.0)	(40.0, 59272535.0)	(41.0, 74858668.0)	(42.0, 74858668.0)	(43.0, 74858668.0)	(44.0, 89704098.5)	(45.0, 104549529.0)	(46.0, 104549529.0)	(47.0, 104549529.0)	(48.0, 111469936.0)	(49.0, 118390343.0)	(50.0, 118390343.0)	(51.0, 118390343.0)	(52.0, 114120137.0)	(53.0, 109849931.0)	(54.0, 109849931.0)	(55.0, 109849931.0)	(56.0, 96627842.0)	(57.0, 83405753.0)	(58.0, 83405753.0)	(59.0, 83405753.0)	(60.0, 67291194.5)	(61.0, 51176636.0)	(62.0, 51176636.0)	(63.0, 38120816.0)	(64.0, 25064996.0)	(65.0, 25064996.0)	(66.0, 25064996.0)	(67.0, 17240479.0)	(68.0, 9415962.0)	(69.0, 9415962.0)	(70.0, 9415962.0)	(71.0, 6042019.0)	(72.0, 2668076.0)	(73.0, 2668076.0)	(74.0, 2668076.0)	(75.0, 1597386.0)	(76.0, 526696.0)	(77.0, 526696.0)	(78.0, 526696.0)	(79.0, 300263.5)	(80.0, 73831.0)	(81.0, 73831.0)	(82.0, 73831.0)	(83.0, 45495.0)	(84.0, 17159.0)	(85.0, 17159.0)	(86.0, 17159.0)	(87.0, 11093.5)	(88.0, 5028.0)	(89.0, 5028.0)	(90.0, 3621.0)	(91.0, 2214.0)	(92.0, 2214.0)	(93.0, 2214.0)	(94.0, 1691.5)	(95.0, 1169.0)	(96.0, 1169.0)	(97.0, 1169.0)	(98.0, 2157.5)	(99.0, 3146.0)	(100.0, 3146.0)
14dpa_S1_L001_R2_001	(0.0, 5180.0)	(1.0, 5857.0)	(2.0, 8193.0)	(3.0, 10393.5)	(4.0, 11315.0)	(5.0, 12347.0)	(6.0, 13527.0)	(7.0, 14744.5)	(8.0, 15834.5)	(9.0, 16664.5)	(10.0, 18254.5)	(11.0, 21073.0)	(12.0, 24647.0)	(13.0, 30941.0)	(14.0, 42549.0)	(15.0, 80103.5)	(16.0, 183384.5)	(17.0, 312495.0)	(18.0, 396701.5)	(19.0, 475560.0)	(20.0, 546701.5)	(21.0, 710015.5)	(22.0, 958584.0)	(23.0, 1286240.0)	(24.0, 1902316.0)	(25.0, 2639365.0)	(26.0, 3414001.5)	(27.0, 4494521.5)	(28.0, 5923990.0)	(29.0, 7939114.5)	(30.0, 10246244.0)	(31.0, 11932488.0)	(32.0, 13296087.0)	(33.0, 14940331.0)	(34.0, 16836501.0)	(35.0, 18512427.0)	(36.0, 20653683.5)	(37.0, 23353171.0)	(38.0, 24901231.0)	(39.0, 25969209.0)	(40.0, 27307137.5)	(41.0, 28455134.5)	(42.0, 29307081.5)	(43.0, 29940208.5)	(44.0, 30079309.0)	(45.0, 29463491.5)	(46.0, 29132958.5)	(47.0, 28869540.0)	(48.0, 27706574.0)	(49.0, 25801772.5)	(50.0, 24715625.0)	(51.0, 23677311.5)	(52.0, 21699449.5)	(53.0, 19627564.0)	(54.0, 17227898.5)	(55.0, 14374561.0)	(56.0, 11839875.0)	(57.0, 9699057.5)	(58.0, 7478371.5)	(59.0, 5915493.5)	(60.0, 5017041.0)	(61.0, 4084328.0)	(62.0, 3175249.0)	(63.0, 2555906.5)	(64.0, 2017856.5)	(65.0, 1633443.0)	(66.0, 1470724.5)	(67.0, 1313660.5)	(68.0, 954705.5)	(69.0, 633472.0)	(70.0, 519414.5)	(71.0, 487835.5)	(72.0, 375062.0)	(73.0, 289486.5)	(74.0, 222881.0)	(75.0, 108491.5)	(76.0, 78634.5)	(77.0, 62650.5)	(78.0, 51339.5)	(79.0, 40779.5)	(80.0, 34520.5)	(81.0, 29155.0)	(82.0, 21493.0)	(83.0, 16463.5)	(84.0, 13187.0)	(85.0, 10096.0)	(86.0, 7526.5)	(87.0, 6023.0)	(88.0, 4988.5)	(89.0, 4177.5)	(90.0, 3607.0)	(91.0, 3181.5)	(92.0, 2844.5)	(93.0, 2627.0)	(94.0, 2463.5)	(95.0, 2311.0)	(96.0, 2379.0)	(97.0, 2703.5)	(98.0, 3452.0)	(99.0, 8739.5)	(100.0, 13484.0)
22dpa_S1_L001_R1_001	(0.0, 4186.0)	(1.0, 4186.0)	(2.0, 4187.5)	(3.0, 4189.0)	(4.0, 4189.0)	(5.0, 4189.0)	(6.0, 6429.5)	(7.0, 8670.0)	(8.0, 8670.0)	(9.0, 8670.0)	(10.0, 15167.0)	(11.0, 21664.0)	(12.0, 21664.0)	(13.0, 37506.0)	(14.0, 53348.0)	(15.0, 53348.0)	(16.0, 53348.0)	(17.0, 111080.0)	(18.0, 168812.0)	(19.0, 168812.0)	(20.0, 168812.0)	(21.0, 363164.5)	(22.0, 557517.0)	(23.0, 557517.0)	(24.0, 557517.0)	(25.0, 1404373.0)	(26.0, 2251229.0)	(27.0, 2251229.0)	(28.0, 2251229.0)	(29.0, 4938121.5)	(30.0, 7625014.0)	(31.0, 7625014.0)	(32.0, 7625014.0)	(33.0, 14336298.5)	(34.0, 21047583.0)	(35.0, 21047583.0)	(36.0, 21047583.0)	(37.0, 33204867.0)	(38.0, 45362151.0)	(39.0, 45362151.0)	(40.0, 61404201.0)	(41.0, 77446251.0)	(42.0, 77446251.0)	(43.0, 77446251.0)	(44.0, 92575888.0)	(45.0, 107705525.0)	(46.0, 107705525.0)	(47.0, 107705525.0)	(48.0, 114601516.5)	(49.0, 121497508.0)	(50.0, 121497508.0)	(51.0, 121497508.0)	(52.0, 117099326.5)	(53.0, 112701145.0)	(54.0, 112701145.0)	(55.0, 112701145.0)	(56.0, 99227300.0)	(57.0, 85753455.0)	(58.0, 85753455.0)	(59.0, 85753455.0)	(60.0, 69275864.0)	(61.0, 52798273.0)	(62.0, 52798273.0)	(63.0, 39324367.0)	(64.0, 25850461.0)	(65.0, 25850461.0)	(66.0, 25850461.0)	(67.0, 17806780.0)	(68.0, 9763099.0)	(69.0, 9763099.0)	(70.0, 9763099.0)	(71.0, 6252007.5)	(72.0, 2740916.0)	(73.0, 2740916.0)	(74.0, 2740916.0)	(75.0, 1637311.0)	(76.0, 533706.0)	(77.0, 533706.0)	(78.0, 533706.0)	(79.0, 302537.5)	(80.0, 71369.0)	(81.0, 71369.0)	(82.0, 71369.0)	(83.0, 45713.0)	(84.0, 20057.0)	(85.0, 20057.0)	(86.0, 20057.0)	(87.0, 12158.0)	(88.0, 4259.0)	(89.0, 4259.0)	(90.0, 3081.0)	(91.0, 1903.0)	(92.0, 1903.0)	(93.0, 1903.0)	(94.0, 1547.5)	(95.0, 1192.0)	(96.0, 1192.0)	(97.0, 1192.0)	(98.0, 2163.5)	(99.0, 3135.0)	(100.0, 3135.0)
22dpa_S1_L001_R2_001	(0.0, 6523.0)	(1.0, 7295.0)	(2.0, 10608.0)	(3.0, 13503.5)	(4.0, 13847.5)	(5.0, 14248.0)	(6.0, 15230.0)	(7.0, 16609.5)	(8.0, 18092.5)	(9.0, 19471.5)	(10.0, 21703.5)	(11.0, 24908.5)	(12.0, 28941.5)	(13.0, 35232.5)	(14.0, 44235.0)	(15.0, 62374.0)	(16.0, 95989.0)	(17.0, 148306.5)	(18.0, 210516.0)	(19.0, 288254.0)	(20.0, 390322.5)	(21.0, 541622.5)	(22.0, 726814.5)	(23.0, 1020406.5)	(24.0, 1460295.5)	(25.0, 2051384.5)	(26.0, 2799103.5)	(27.0, 3725183.0)	(28.0, 5047071.0)	(29.0, 7093228.0)	(30.0, 9101002.5)	(31.0, 10507041.5)	(32.0, 11823501.5)	(33.0, 13280556.0)	(34.0, 15357893.5)	(35.0, 17209930.0)	(36.0, 19147194.0)	(37.0, 21809537.5)	(38.0, 23322880.0)	(39.0, 24673452.5)	(40.0, 26522408.5)	(41.0, 28370623.0)	(42.0, 30238733.0)	(43.0, 31443900.0)	(44.0, 32236473.0)	(45.0, 32238884.5)	(46.0, 32251710.5)	(47.0, 32455960.5)	(48.0, 31560131.0)	(49.0, 29478357.5)	(50.0, 28164623.0)	(51.0, 26793156.5)	(52.0, 24387665.5)	(53.0, 22412414.0)	(54.0, 20063176.5)	(55.0, 16433720.5)	(56.0, 13150064.0)	(57.0, 10839486.0)	(58.0, 8408930.5)	(59.0, 6628944.0)	(60.0, 5775010.0)	(61.0, 4720920.5)	(62.0, 3563018.0)	(63.0, 2937461.5)	(64.0, 2252633.0)	(65.0, 1633656.5)	(66.0, 1240904.0)	(67.0, 932709.0)	(68.0, 662711.5)	(69.0, 463113.0)	(70.0, 376446.0)	(71.0, 320921.5)	(72.0, 253006.0)	(73.0, 194862.5)	(74.0, 141600.5)	(75.0, 78849.0)	(76.0, 59718.0)	(77.0, 54156.0)	(78.0, 49442.5)	(79.0, 38798.0)	(80.0, 33168.5)	(81.0, 27552.0)	(82.0, 18001.5)	(83.0, 12425.0)	(84.0, 9424.5)	(85.0, 7184.0)	(86.0, 5470.5)	(87.0, 4270.5)	(88.0, 3453.5)	(89.0, 2903.0)	(90.0, 2485.0)	(91.0, 2130.0)	(92.0, 1850.5)	(93.0, 1744.0)	(94.0, 1703.0)	(95.0, 1629.0)	(96.0, 1677.0)	(97.0, 1928.0)	(98.0, 2511.5)	(99.0, 5415.5)	(100.0, 7933.0)
24h_S1_L001_R1_001	(0.0, 3842.0)	(1.0, 3842.0)	(2.0, 4363.5)	(3.0, 4885.0)	(4.0, 4885.0)	(5.0, 4885.0)	(6.0, 7832.0)	(7.0, 10779.0)	(8.0, 10779.0)	(9.0, 10779.0)	(10.0, 20771.5)	(11.0, 30764.0)	(12.0, 30764.0)	(13.0, 52487.0)	(14.0, 74210.0)	(15.0, 74210.0)	(16.0, 74210.0)	(17.0, 178409.0)	(18.0, 282608.0)	(19.0, 282608.0)	(20.0, 282608.0)	(21.0, 497700.0)	(22.0, 712792.0)	(23.0, 712792.0)	(24.0, 712792.0)	(25.0, 1552777.5)	(26.0, 2392763.0)	(27.0, 2392763.0)	(28.0, 2392763.0)	(29.0, 4987476.0)	(30.0, 7582189.0)	(31.0, 7582189.0)	(32.0, 7582189.0)	(33.0, 13859607.5)	(34.0, 20137026.0)	(35.0, 20137026.0)	(36.0, 20137026.0)	(37.0, 31665240.5)	(38.0, 43193455.0)	(39.0, 43193455.0)	(40.0, 58590445.0)	(41.0, 73987435.0)	(42.0, 73987435.0)	(43.0, 73987435.0)	(44.0, 88472657.5)	(45.0, 102957880.0)	(46.0, 102957880.0)	(47.0, 102957880.0)	(48.0, 109795871.0)	(49.0, 116633862.0)	(50.0, 116633862.0)	(51.0, 116633862.0)	(52.0, 112381919.0)	(53.0, 108129976.0)	(54.0, 108129976.0)	(55.0, 108129976.0)	(56.0, 95090801.0)	(57.0, 82051626.0)	(58.0, 82051626.0)	(59.0, 82051626.0)	(60.0, 66202091.0)	(61.0, 50352556.0)	(62.0, 50352556.0)	(63.0, 37526524.0)	(64.0, 24700492.0)	(65.0, 24700492.0)	(66.0, 24700492.0)	(67.0, 17006404.5)	(68.0, 9312317.0)	(69.0, 9312317.0)	(70.0, 9312317.0)	(71.0, 5978655.5)	(72.0, 2644994.0)	(73.0, 2644994.0)	(74.0, 2644994.0)	(75.0, 1595243.0)	(76.0, 545492.0)	(77.0, 545492.0)	(78.0, 545492.0)	(79.0, 309317.5)	(80.0, 73143.0)	(81.0, 73143.0)	(82.0, 73143.0)	(83.0, 44651.0)	(84.0, 16159.0)	(85.0, 16159.0)	(86.0, 16159.0)	(87.0, 10382.5)	(88.0, 4606.0)	(89.0, 4606.0)	(90.0, 3808.0)	(91.0, 3010.0)	(92.0, 3010.0)	(93.0, 3010.0)	(94.0, 2957.5)	(95.0, 2905.0)	(96.0, 2905.0)	(97.0, 2905.0)	(98.0, 7097.0)	(99.0, 11289.0)	(100.0, 11289.0)
24h_S1_L001_R2_001	(0.0, 3472.0)	(1.0, 4453.0)	(2.0, 7068.5)	(3.0, 9300.5)	(4.0, 10334.5)	(5.0, 11444.5)	(6.0, 12822.0)	(7.0, 13957.0)	(8.0, 15056.5)	(9.0, 16181.0)	(10.0, 18004.0)	(11.0, 21206.0)	(12.0, 25766.0)	(13.0, 33300.0)	(14.0, 44406.0)	(15.0, 67624.5)	(16.0, 121346.0)	(17.0, 204513.0)	(18.0, 300550.5)	(19.0, 420942.0)	(20.0, 580532.5)	(21.0, 823189.0)	(22.0, 1140660.0)	(23.0, 1571748.0)	(24.0, 2256820.0)	(25.0, 3168440.0)	(26.0, 4259795.5)	(27.0, 5548838.0)	(28.0, 7239056.5)	(29.0, 9760204.0)	(30.0, 12428927.5)	(31.0, 14353323.0)	(32.0, 16121707.0)	(33.0, 17906434.0)	(34.0, 19322679.0)	(35.0, 20416184.0)	(36.0, 22345913.0)	(37.0, 25124323.5)	(38.0, 26220246.5)	(39.0, 26336570.5)	(40.0, 26863842.0)	(41.0, 27624785.5)	(42.0, 28283647.0)	(43.0, 28162286.0)	(44.0, 27474087.0)	(45.0, 26385883.0)	(46.0, 25722452.0)	(47.0, 25464667.5)	(48.0, 24625635.5)	(49.0, 23078417.5)	(50.0, 22170248.0)	(51.0, 21217529.0)	(52.0, 19407572.0)	(53.0, 17486568.0)	(54.0, 15331748.0)	(55.0, 13022688.0)	(56.0, 10965267.0)	(57.0, 8979094.5)	(58.0, 6777607.0)	(59.0, 5334755.5)	(60.0, 4720716.5)	(61.0, 4056085.0)	(62.0, 3191996.0)	(63.0, 2579352.0)	(64.0, 2238539.5)	(65.0, 1897994.5)	(66.0, 1600441.0)	(67.0, 1311086.0)	(68.0, 893315.5)	(69.0, 585857.0)	(70.0, 484257.5)	(71.0, 454352.0)	(72.0, 354647.5)	(73.0, 276398.0)	(74.0, 211075.0)	(75.0, 101829.5)	(76.0, 73910.0)	(77.0, 61080.5)	(78.0, 51562.5)	(79.0, 40542.0)	(80.0, 32649.0)	(81.0, 26410.5)	(82.0, 19640.0)	(83.0, 14813.5)	(84.0, 11445.0)	(85.0, 9090.5)	(86.0, 7236.5)	(87.0, 5755.5)	(88.0, 4590.5)	(89.0, 3761.5)	(90.0, 3177.0)	(91.0, 2805.5)	(92.0, 2499.5)	(93.0, 2263.5)	(94.0, 2140.0)	(95.0, 2074.0)	(96.0, 2181.0)	(97.0, 2513.0)	(98.0, 3569.5)	(99.0, 8737.5)	(100.0, 13059.0)
33dpa_S1_L001_R1_001	(0.0, 1799.0)	(1.0, 1799.0)	(2.0, 2349.5)	(3.0, 2900.0)	(4.0, 2900.0)	(5.0, 2900.0)	(6.0, 5984.5)	(7.0, 9069.0)	(8.0, 9069.0)	(9.0, 9069.0)	(10.0, 18205.5)	(11.0, 27342.0)	(12.0, 27342.0)	(13.0, 49187.0)	(14.0, 71032.0)	(15.0, 71032.0)	(16.0, 71032.0)	(17.0, 153473.0)	(18.0, 235914.0)	(19.0, 235914.0)	(20.0, 235914.0)	(21.0, 520737.0)	(22.0, 805560.0)	(23.0, 805560.0)	(24.0, 805560.0)	(25.0, 1856018.5)	(26.0, 2906477.0)	(27.0, 2906477.0)	(28.0, 2906477.0)	(29.0, 5576767.5)	(30.0, 8247058.0)	(31.0, 8247058.0)	(32.0, 8247058.0)	(33.0, 15036242.5)	(34.0, 21825427.0)	(35.0, 21825427.0)	(36.0, 21825427.0)	(37.0, 34149068.5)	(38.0, 46472710.0)	(39.0, 46472710.0)	(40.0, 62772829.5)	(41.0, 79072949.0)	(42.0, 79072949.0)	(43.0, 79072949.0)	(44.0, 94483951.0)	(45.0, 109894953.0)	(46.0, 109894953.0)	(47.0, 109894953.0)	(48.0, 117112289.0)	(49.0, 124329625.0)	(50.0, 124329625.0)	(51.0, 124329625.0)	(52.0, 119821823.5)	(53.0, 115314022.0)	(54.0, 115314022.0)	(55.0, 115314022.0)	(56.0, 101529694.0)	(57.0, 87745366.0)	(58.0, 87745366.0)	(59.0, 87745366.0)	(60.0, 70875129.5)	(61.0, 54004893.0)	(62.0, 54004893.0)	(63.0, 40204693.0)	(64.0, 26404493.0)	(65.0, 26404493.0)	(66.0, 26404493.0)	(67.0, 18205839.0)	(68.0, 10007185.0)	(69.0, 10007185.0)	(70.0, 10007185.0)	(71.0, 6438261.5)	(72.0, 2869338.0)	(73.0, 2869338.0)	(74.0, 2869338.0)	(75.0, 1724979.5)	(76.0, 580621.0)	(77.0, 580621.0)	(78.0, 580621.0)	(79.0, 331630.5)	(80.0, 82640.0)	(81.0, 82640.0)	(82.0, 82640.0)	(83.0, 51925.5)	(84.0, 21211.0)	(85.0, 21211.0)	(86.0, 21211.0)	(87.0, 13006.0)	(88.0, 4801.0)	(89.0, 4801.0)	(90.0, 3460.0)	(91.0, 2119.0)	(92.0, 2119.0)	(93.0, 2119.0)	(94.0, 1953.5)	(95.0, 1788.0)	(96.0, 1788.0)	(97.0, 1788.0)	(98.0, 4318.0)	(99.0, 6848.0)	(100.0, 6848.0)
33dpa_S1_L001_R2_001	(0.0, 1495.0)	(1.0, 2207.0)	(2.0, 3649.5)	(3.0, 4840.5)	(4.0, 5672.5)	(5.0, 6425.0)	(6.0, 7128.0)	(7.0, 8091.0)	(8.0, 8963.5)	(9.0, 9558.5)	(10.0, 10612.5)	(11.0, 12248.5)	(12.0, 14581.0)	(13.0, 19013.5)	(14.0, 26771.5)	(15.0, 41980.5)	(16.0, 104720.5)	(17.0, 248348.5)	(18.0, 375188.5)	(19.0, 465480.0)	(20.0, 513488.0)	(21.0, 673819.5)	(22.0, 891511.0)	(23.0, 1149797.0)	(24.0, 1688742.5)	(25.0, 2383676.5)	(26.0, 3189981.5)	(27.0, 4412327.0)	(28.0, 6080992.5)	(29.0, 8279036.0)	(30.0, 10736966.5)	(31.0, 12451179.5)	(32.0, 13746987.5)	(33.0, 15255590.5)	(34.0, 17056008.5)	(35.0, 18639305.0)	(36.0, 20716985.5)	(37.0, 23584680.5)	(38.0, 25179130.5)	(39.0, 26478121.5)	(40.0, 28309716.5)	(41.0, 30141209.5)	(42.0, 31528341.0)	(43.0, 32181348.0)	(44.0, 32684300.5)	(45.0, 32616928.0)	(46.0, 32395130.0)	(47.0, 32211324.0)	(48.0, 31302607.5)	(49.0, 28820852.5)	(50.0, 27036927.0)	(51.0, 25534434.0)	(52.0, 23038228.0)	(53.0, 20778626.5)	(54.0, 18323354.0)	(55.0, 15268662.5)	(56.0, 12192667.0)	(57.0, 9899427.5)	(58.0, 7783031.5)	(59.0, 6147023.5)	(60.0, 5224102.0)	(61.0, 4316754.0)	(62.0, 3342126.5)	(63.0, 2678438.5)	(64.0, 2081224.0)	(65.0, 1613861.0)	(66.0, 1360675.0)	(67.0, 1134885.5)	(68.0, 832583.0)	(69.0, 571249.5)	(70.0, 475437.0)	(71.0, 428745.5)	(72.0, 316007.0)	(73.0, 234161.0)	(74.0, 177969.5)	(75.0, 101721.5)	(76.0, 77311.0)	(77.0, 67362.0)	(78.0, 59009.5)	(79.0, 46685.5)	(80.0, 39450.0)	(81.0, 33074.0)	(82.0, 22205.0)	(83.0, 14813.0)	(84.0, 10451.0)	(85.0, 7318.5)	(86.0, 5110.5)	(87.0, 3838.5)	(88.0, 3013.5)	(89.0, 2528.0)	(90.0, 2151.5)	(91.0, 1825.5)	(92.0, 1578.0)	(93.0, 1389.5)	(94.0, 1311.0)	(95.0, 1316.5)	(96.0, 1357.0)	(97.0, 1744.0)	(98.0, 2211.5)	(99.0, 5260.0)	(100.0, 8236.0)
3h_S0_L001_R1_001	(0.0, 1703.0)	(1.0, 1703.0)	(2.0, 2702.5)	(3.0, 3702.0)	(4.0, 3702.0)	(5.0, 3702.0)	(6.0, 7285.0)	(7.0, 10868.0)	(8.0, 10868.0)	(9.0, 10868.0)	(10.0, 22270.0)	(11.0, 33672.0)	(12.0, 33672.0)	(13.0, 58067.5)	(14.0, 82463.0)	(15.0, 82463.0)	(16.0, 82463.0)	(17.0, 199388.0)	(18.0, 316313.0)	(19.0, 316313.0)	(20.0, 316313.0)	(21.0, 623562.0)	(22.0, 930811.0)	(23.0, 930811.0)	(24.0, 930811.0)	(25.0, 2020190.0)	(26.0, 3109569.0)	(27.0, 3109569.0)	(28.0, 3109569.0)	(29.0, 5771078.0)	(30.0, 8432587.0)	(31.0, 8432587.0)	(32.0, 8432587.0)	(33.0, 15139129.0)	(34.0, 21845671.0)	(35.0, 21845671.0)	(36.0, 21845671.0)	(37.0, 33950149.5)	(38.0, 46054628.0)	(39.0, 46054628.0)	(40.0, 61931652.5)	(41.0, 77808677.0)	(42.0, 77808677.0)	(43.0, 77808677.0)	(44.0, 92760747.5)	(45.0, 107712818.0)	(46.0, 107712818.0)	(47.0, 107712818.0)	(48.0, 114612020.0)	(49.0, 121511222.0)	(50.0, 121511222.0)	(51.0, 121511222.0)	(52.0, 117009191.5)	(53.0, 112507161.0)	(54.0, 112507161.0)	(55.0, 112507161.0)	(56.0, 99029399.0)	(57.0, 85551637.0)	(58.0, 85551637.0)	(59.0, 85551637.0)	(60.0, 69195484.0)	(61.0, 52839331.0)	(62.0, 52839331.0)	(63.0, 39411788.5)	(64.0, 25984246.0)	(65.0, 25984246.0)	(66.0, 25984246.0)	(67.0, 17957453.5)	(68.0, 9930661.0)	(69.0, 9930661.0)	(70.0, 9930661.0)	(71.0, 6425382.5)	(72.0, 2920104.0)	(73.0, 2920104.0)	(74.0, 2920104.0)	(75.0, 1768836.5)	(76.0, 617569.0)	(77.0, 617569.0)	(78.0, 617569.0)	(79.0, 357708.0)	(80.0, 97847.0)	(81.0, 97847.0)	(82.0, 97847.0)	(83.0, 62774.0)	(84.0, 27701.0)	(85.0, 27701.0)	(86.0, 27701.0)	(87.0, 17172.0)	(88.0, 6643.0)	(89.0, 6643.0)	(90.0, 4988.0)	(91.0, 3333.0)	(92.0, 3333.0)	(93.0, 3333.0)	(94.0, 2511.5)	(95.0, 1690.0)	(96.0, 1690.0)	(97.0, 1690.0)	(98.0, 2908.0)	(99.0, 4126.0)	(100.0, 4126.0)
3h_S0_L001_R2_001	(0.0, 2072.0)	(1.0, 2882.5)	(2.0, 4909.0)	(3.0, 6739.5)	(4.0, 7731.0)	(5.0, 8577.5)	(6.0, 9513.0)	(7.0, 10514.0)	(8.0, 11388.5)	(9.0, 12155.0)	(10.0, 13317.5)	(11.0, 15325.5)	(12.0, 18145.5)	(13.0, 22845.5)	(14.0, 30963.5)	(15.0, 52113.0)	(16.0, 132808.5)	(17.0, 289188.5)	(18.0, 423770.0)	(19.0, 526891.0)	(20.0, 567093.5)	(21.0, 695605.0)	(22.0, 905016.0)	(23.0, 1166499.5)	(24.0, 1700578.5)	(25.0, 2363874.0)	(26.0, 3096476.0)	(27.0, 4134544.5)	(28.0, 5547931.5)	(29.0, 7469065.0)	(30.0, 9731655.5)	(31.0, 11288289.0)	(32.0, 12487628.5)	(33.0, 13964709.0)	(34.0, 15794203.0)	(35.0, 17619312.0)	(36.0, 19531785.5)	(37.0, 21727099.0)	(38.0, 23367746.0)	(39.0, 25072171.5)	(40.0, 27043898.5)	(41.0, 28905190.0)	(42.0, 30462823.0)	(43.0, 31516365.5)	(44.0, 31793668.5)	(45.0, 31559309.5)	(46.0, 31612050.5)	(47.0, 31590260.5)	(48.0, 30793167.5)	(49.0, 28781595.5)	(50.0, 27423634.0)	(51.0, 26277413.5)	(52.0, 24072062.0)	(53.0, 21793977.5)	(54.0, 19240266.0)	(55.0, 16123767.0)	(56.0, 13152887.0)	(57.0, 10763831.0)	(58.0, 8435299.5)	(59.0, 6689006.0)	(60.0, 5657176.0)	(61.0, 4655770.5)	(62.0, 3619184.5)	(63.0, 2855206.5)	(64.0, 2218873.5)	(65.0, 1756717.0)	(66.0, 1549474.0)	(67.0, 1347360.0)	(68.0, 995477.0)	(69.0, 687844.0)	(70.0, 573907.5)	(71.0, 523365.5)	(72.0, 385726.0)	(73.0, 286043.5)	(74.0, 218416.0)	(75.0, 120925.0)	(76.0, 92275.5)	(77.0, 76274.0)	(78.0, 63569.0)	(79.0, 50183.0)	(80.0, 42377.0)	(81.0, 36486.0)	(82.0, 25226.5)	(83.0, 17134.5)	(84.0, 12491.5)	(85.0, 8552.5)	(86.0, 5664.5)	(87.0, 4017.0)	(88.0, 3060.5)	(89.0, 2486.0)	(90.0, 2071.0)	(91.0, 1732.0)	(92.0, 1396.5)	(93.0, 1171.0)	(94.0, 1035.5)	(95.0, 931.5)	(96.0, 946.5)	(97.0, 1034.0)	(98.0, 1268.5)	(99.0, 2843.5)	(100.0, 4247.0)
