Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
14dpa_S1_L001_R1_001	(1.0, 10.550824751650289)	(2.0, 3.8849836991593003)	(3.0, 3.922166009177884)	(4.0, 4.061029343226736)	(5.0, 4.107203164533884)	(6.0, 4.190272107811249)	(7.0, 4.142740494426745)	(8.0, 4.046342201097566)	(9.0, 4.178288776024938)	('>10', 54.925729185985226)	('>50', 0.5841535693681361)	('>100', 0.7399869185360655)	('>500', 0.15807746994563812)	('>1k', 0.24590911765897994)	('>5k', 0.047412855909715494)	('>10k+', 0.214880335487549)
14dpa_S1_L001_R2_001	(1.0, 21.28929121762059)	(2.0, 6.1344072424186304)	(3.0, 3.4241889957212677)	(4.0, 2.1826875174725524)	(5.0, 1.5631911209826808)	(6.0, 1.1456561847476887)	(7.0, 0.962270362512973)	(8.0, 0.7746225925987291)	(9.0, 0.7239495244016564)	('>10', 9.521252704425647)	('>50', 4.020452156975081)	('>100', 10.077323629039224)	('>500', 5.090387118303904)	('>1k', 14.257168396761557)	('>5k', 6.806373471458476)	('>10k+', 12.026777764559244)
22dpa_S1_L001_R1_001	(1.0, 9.360604703106597)	(2.0, 9.082172748664165)	(3.0, 10.133724771326499)	(4.0, 10.400721327121957)	(5.0, 10.274872237488712)	(6.0, 9.609492150700778)	(7.0, 8.841286190943906)	(8.0, 7.414678566338506)	(9.0, 6.000820853493326)	('>10', 17.403106034895092)	('>50', 0.3387659477598023)	('>100', 0.4859739760376332)	('>500', 0.11255210563689531)	('>1k', 0.23427335707307392)	('>5k', 0.06975802896207846)	('>10k+', 0.2371970004509985)
22dpa_S1_L001_R2_001	(1.0, 11.144704526592502)	(2.0, 3.4545628615468784)	(3.0, 1.8861042431278192)	(4.0, 1.247500162199789)	(5.0, 0.8868654737857239)	(6.0, 0.7447399579174973)	(7.0, 0.6593383884222934)	(8.0, 0.5318728972447944)	(9.0, 0.47446272328392447)	('>10', 7.354654343455863)	('>50', 3.4984067165064565)	('>100', 9.754989771321753)	('>500', 5.411165967008875)	('>1k', 17.659948068647434)	('>5k', 10.410861833779467)	('>10k+', 24.879822065159495)
24h_S1_L001_R1_001	(1.0, 6.887927549727466)	(2.0, 3.8427567629576935)	(3.0, 4.408008625261939)	(4.0, 4.78800691660779)	(5.0, 4.963773746111916)	(6.0, 5.23624022204554)	(7.0, 5.260571610622668)	(8.0, 5.2520131618176205)	(9.0, 5.132802506406429)	('>10', 52.01228025286997)	('>50', 0.5900337723900296)	('>100', 0.7642932652640018)	('>500', 0.19283507633617716)	('>1k', 0.3370352684452191)	('>5k', 0.10454758113325772)	('>10k+', 0.22687368200226973)
24h_S1_L001_R2_001	(1.0, 13.270355499712224)	(2.0, 5.288649197949362)	(3.0, 3.5520767444551407)	(4.0, 2.29676218084644)	(5.0, 1.599151202011461)	(6.0, 1.1804059000232334)	(7.0, 0.9165952223731949)	(8.0, 0.7934547890808915)	(9.0, 0.6734702500828496)	('>10', 9.761142743062898)	('>50', 4.468343592821822)	('>100', 11.597001689090744)	('>500', 5.691929107662895)	('>1k', 15.244187322237293)	('>5k', 7.027719774734548)	('>10k+', 16.638754783855042)
33dpa_S1_L001_R1_001	(1.0, 7.408382567376908)	(2.0, 4.492519151215556)	(3.0, 4.868993679134486)	(4.0, 5.058432002642941)	(5.0, 5.065769209865033)	(6.0, 5.135812138849703)	(7.0, 5.180980659053718)	(8.0, 5.031045944212754)	(9.0, 4.8820847601471815)	('>10', 50.03721070290693)	('>50', 0.6760662206043554)	('>100', 0.9498050615741879)	('>500', 0.2641183151192799)	('>1k', 0.45176620733176676)	('>5k', 0.1418873019858794)	('>10k+', 0.3551260779794403)
33dpa_S1_L001_R2_001	(1.0, 15.92563393327928)	(2.0, 4.700980126948906)	(3.0, 2.5461368999401426)	(4.0, 1.572610235897324)	(5.0, 1.200825620668654)	(6.0, 0.9124730612417291)	(7.0, 0.7394633559121119)	(8.0, 0.6552554040451619)	(9.0, 0.5740685102649108)	('>10', 8.09326950481034)	('>50', 3.630866169409614)	('>100', 9.668632696235312)	('>500', 5.0686568407096795)	('>1k', 15.84247808360576)	('>5k', 8.319474202134879)	('>10k+', 20.549175354895375)
3h_S0_L001_R1_001	(1.0, 8.216788721562954)	(2.0, 5.488861305034074)	(3.0, 5.734542752533491)	(4.0, 5.736959139726052)	(5.0, 6.032353156493044)	(6.0, 5.7825148080144135)	(7.0, 5.857445557522103)	(8.0, 5.956228313406284)	(9.0, 5.4679019291829025)	('>10', 41.53767547920719)	('>50', 0.8045046597422729)	('>100', 1.4671142666249812)	('>500', 0.4500750460132689)	('>1k', 0.7378451427493655)	('>5k', 0.20263709998639814)	('>10k+', 0.5265526222013354)
3h_S0_L001_R2_001	(1.0, 15.845670340482613)	(2.0, 5.521911667225981)	(3.0, 2.85446222466629)	(4.0, 1.7983760917644938)	(5.0, 1.2791622168177061)	(6.0, 1.0396684718136615)	(7.0, 0.8990400881954655)	(8.0, 0.7133485403783476)	(9.0, 0.6458543729103278)	('>10', 9.461259843046284)	('>50', 4.048983047668041)	('>100', 10.519338521769)	('>500', 5.3690548522428365)	('>1k', 15.826322141772344)	('>5k', 8.17691818061825)	('>10k+', 16.00062939862827)
