Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
14dpa_S1_L001_R1_001	14dpa_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	655037829.0	17 Gbp	0.0	26.0	50.0	21.369586553282172	26.0	26	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
14dpa_S1_L001_R2_001	14dpa_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	655037829.0	64.1 Gbp	0.0	98.0	43.0	27.471873502463517	98.0	98	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
22dpa_S1_L001_R1_001	22dpa_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	673996617.0	17.5 Gbp	0.0	26.0	50.0	27.84295204071291	26.0	26	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
22dpa_S1_L001_R2_001	22dpa_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	673996617.0	66 Gbp	0.0	98.0	44.0	14.812515504216247	98.0	98	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
24h_S1_L001_R1_001	24h_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	645853055.0	16.7 Gbp	0.0	26.0	50.0	18.764304236411412	26.0	26	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
24h_S1_L001_R2_001	24h_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	645853055.0	63.2 Gbp	0.0	98.0	43.0	19.12967068170976	98.0	98	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
33dpa_S1_L001_R1_001	33dpa_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	690948140.0	17.9 Gbp	0.0	26.0	50.0	19.678538824561656	26.0	26	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
33dpa_S1_L001_R2_001	33dpa_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	690948140.0	67.7 Gbp	0.0	98.0	44.0	20.69018680246366	98.0	98	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
3h_S0_L001_R1_001	3h_S0_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	678346753.0	17.6 Gbp	0.0	26.0	50.0	21.647584472059727	26.0	26	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
3h_S0_L001_R2_001	3h_S0_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	678346753.0	66.4 Gbp	0.0	98.0	44.0	21.33416617011	98.0	98	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
72h_S1_L001_R1_001	72h_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	663045217.0	17.2 Gbp	0.0	26.0	50.0	34.92332204416982	26.0	26	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
72h_S1_L001_R2_001	72h_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	663045217.0	64.9 Gbp	0.0	98.0	44.0	20.27158470676225	98.0	98	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
7dpa_S1_L001_R1_001	7dpa_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	673600700.0	17.5 Gbp	0.0	26.0	50.0	22.499431637005014	26.0	26	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
7dpa_S1_L001_R2_001	7dpa_S1_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	673600700.0	66 Gbp	0.0	98.0	45.0	16.540020342268694	98.0	98	pass	pass	pass	warn	pass	pass	pass	fail	pass	pass
control_S0_L001_R1_001	control_S0_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	657171949.0	17 Gbp	0.0	26.0	50.0	19.409601616900105	26.0	26	pass	pass	pass	pass	pass	pass	pass	fail	pass	pass
control_S0_L001_R2_001	control_S0_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	657171949.0	64.4 Gbp	0.0	98.0	44.0	23.322626675376743	98.0	98	pass	pass	pass	fail	pass	pass	pass	fail	pass	pass
