p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.14352430646058e-106	2.22137622263477	0.924	0.389	1.68445277512277e-101	1	LOC115466455[nr]-MYH10[hs]
5.16707840393897e-104	2.1239341721527	0.945	0.444	1.69216650650597e-99	1	DSG2
9.11939227057592e-103	2.15984019828887	0.948	0.442	2.98650977469091e-98	1	DSP
2.22721754469269e-98	2.45404936814883	0.973	0.524	7.29391473711409e-94	1	LOC115475538[nr]-TGM6[hs]
2.15308806574638e-85	2.20189677568351	0.924	0.461	7.05114810651281e-81	1	LOC115481258[nr]-EPPK1[hs]
3.29874420402451e-82	1.74952506978599	0.952	0.516	1.08030573937599e-77	1	JUP
6.85325586429372e-79	-1.59402858683913	0.955	0.991	2.24437276299755e-74	1	RPS27[nr]
1.9645192215053e-78	1.7479482198877	0.973	0.551	6.4336039985077e-74	1	EPCAM.S[nr]-EPCAM[hs]
1.6727997351725e-75	1.42457975309305	0.993	0.844	5.47825185271641e-71	1	D9C73-028514[nr]
2.76904284002842e-75	1.2191437261625	1	1	9.06833839680907e-71	1	ND5.2
8.14430942387769e-74	-1.44561814954534	0.955	0.99	2.6671798932257e-69	1	RPL23
1.33946162200094e-73	1.86717680470857	0.954	0.5	4.38660286589087e-69	1	AMEX60DD017947
5.2900260565603e-73	1.65794026048199	0.898	0.45	1.73243063326293e-68	1	AB205-0013530[nr]-CLDN7[hs]
7.64237740397208e-73	-1.50320078735874	0.91	0.982	2.50280217602682e-68	1	RPLP2[nr]
9.29878600655517e-73	-1.39497978310173	0.969	0.993	3.04525942928675e-68	1	RPL32.1
1.52139655872863e-72	2.06294417774762	0.859	0.396	4.98242159018038e-68	1	ACTN4
1.60176848487881e-72	2.13911668725151	0.835	0.29	5.24563161112962e-68	1	CDH1.S[nr]-CDH1[hs]
2.04645980634586e-72	-1.34958492591081	0.997	0.999	6.70195121980207e-68	1	AMEX60DD029926
2.99660699716426e-72	-1.57542359223048	0.922	0.985	9.81358825501324e-68	1	RPS18
5.91404864156091e-72	2.84702048194135	0.661	0.14	1.93679178962478e-67	1	LOC115097463[nr]-JAK2[hs]
1.66072995900642e-70	-1.42081806888591	0.954	0.989	5.43872454275012e-66	1	RPS23
8.94857927213682e-70	-1.47603797630796	0.94	0.988	2.93057022583209e-65	1	RPL35[hs]
2.91546043500148e-69	1.92095026232357	0.88	0.414	9.54784137858636e-65	1	LIMA1
7.13579759454919e-69	2.61155965599722	0.704	0.166	2.33690235423891e-64	1	FAM83B
4.36457774313223e-68	-1.3856288831212	0.936	0.985	1.42935556509837e-63	1	EOD39-14446[nr]
2.3705615448502e-67	2.88901626196546	0.665	0.159	7.76335200322991e-63	1	LOC106737871[nr]
2.44628794628748e-67	-2.01858147294807	0.91	0.984	8.01134839529688e-63	1	FTH1[hs].2
1.78612909940299e-66	2.54760367928853	0.691	0.17	5.84939418763485e-62	1	BAIAP2L1
2.46050160933984e-66	-1.57548226423629	0.885	0.978	8.05789672042705e-62	1	RPS12.5
9.67117351101448e-66	2.27758937996199	0.76	0.254	3.16721261312213e-61	1	LOC115074536[nr]-OTOA[hs]
8.31478200215261e-65	1.50555547786669	0.884	0.512	2.72300795788496e-60	1	PERP.S[nr]-PERP[hs]
4.93397160561524e-64	-1.10065406308422	0.991	0.997	1.61582636112294e-59	1	LOC111571239[nr]
5.52450199605522e-64	2.32704681932542	0.664	0.188	1.80921915868813e-59	1	EVPL
2.81729617749943e-63	1.47541381159609	0.993	0.808	9.22636325169288e-59	1	LOC113489227[nr]-KRT12[hs]
3.78164338354363e-63	1.93615021392872	0.789	0.304	1.2384503916767e-58	1	PKP1
8.2513099308315e-63	2.07872425324623	0.781	0.295	2.70222148924801e-58	1	LOC115085311[nr]-DSC2[hs]
8.42838561398988e-63	-1.32518449459757	0.982	0.995	2.76021200472554e-58	1	RPS15A.1
1.7567338090678e-61	-1.74268350443097	0.957	0.978	5.75312755131615e-57	1	LOC101059399[nr]-TMSB4X[hs]
8.24865494871772e-61	2.37139579115879	0.644	0.182	2.70135200915557e-56	1	EOD39-12600[nr]
5.99624367270873e-60	1.76312716449299	0.837	0.409	1.96370984037538e-55	1	SPINT2
1.00992944735443e-59	2.37595354597171	0.812	0.347	3.30741794714103e-55	1	LOC104531742[nr]-LPO[hs]
3.44297096352394e-59	2.51778032404571	0.62	0.158	1.12753856084446e-54	1	AMEX60DD031245
6.41272506619062e-58	2.66805616942576	0.656	0.158	2.10010333192677e-53	1	CAPN10L.L[nr]-CAPN1[hs]
8.57124639723703e-58	2.43710607867131	0.578	0.131	2.80699748263116e-53	1	MUC16.1
2.34776733345182e-57	2.42599442288517	0.551	0.128	7.68870324032136e-53	1	GRAMD1C
6.46292121960162e-55	2.4378943538507	0.567	0.138	2.11654207020733e-50	1	MYO5B
8.98527823634664e-55	1.90600000608796	0.78	0.332	2.94258876962116e-50	1	PLA2G4C.1
1.50732417725948e-54	2.38277521491707	0.599	0.147	4.93633594810708e-50	1	ARAP2
4.09019511132917e-54	2.95628548879733	0.558	0.094	1.33949799700919e-49	1	NECTIN4[nr]
8.39929857134791e-54	1.60617034150958	0.829	0.409	2.75068628913073e-49	1	CA5A[nr]-CA5B[hs]
2.9845997743582e-53	1.73129316103975	0.819	0.43	9.77426580104566e-49	1	AMEX60DD029387
5.23605956672248e-53	1.86554124633655	0.687	0.252	1.71475714750594e-48	1	NECTIN1
2.05829715895382e-52	1.93385124063338	0.701	0.25	6.74071736585788e-48	1	F11R[nr]
6.24893390653969e-52	2.34625153855483	0.617	0.16	2.04646336505268e-47	1	GDPD2
6.9720151079568e-52	2.24606096133552	0.675	0.196	2.28326522770477e-47	1	LOC108790888[nr]-CLDN4[hs]
9.91220837337205e-52	2.20774811208877	0.614	0.169	3.24614912019561e-47	1	ESRP2
1.88778429782543e-51	1.19526505444366	0.899	0.549	6.18230479694851e-47	1	SDC1.L[nr]-SDC1[hs]
4.453420690352e-51	1.74103640689849	0.719	0.312	1.45845074188338e-46	1	LOC115084013[nr]
4.49739277106944e-50	1.29022418952805	0.964	0.731	1.47285115859753e-45	1	LOC115478996[nr]
5.1831316569304e-50	2.1506314729132	0.62	0.185	1.69742378632814e-45	1	HIC2
7.52055099892841e-50	2.01476614611082	0.701	0.294	2.46290524663906e-45	1	LOC115480960[nr]
1.09041489498622e-49	-1.323884277015	0.924	0.973	3.57099973959037e-45	1	RPS2.3
3.09923266038893e-49	2.62079962556479	0.575	0.13	1.01496770395077e-44	1	CGN
5.04110126050848e-49	1.41933040927578	0.768	0.348	1.65091025180392e-44	1	TRIM29
6.60425105631798e-49	-1.1041793213941	0.943	0.985	2.16282617843357e-44	1	LOC113480136[nr]-RPL36A[hs]
