p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.85923623680844e-41	-3.26043955122611	0.113	0.452	6.08881275192397e-37	1	LOC115463407[nr]-ANXA1[hs]	down
3.0165496418438e-39	-2.6033520996881	0.133	0.446	9.87889842207426e-35	1	MSN	down
8.48617992955344e-38	-4.33125987176134	0.036	0.33	2.77913906512946e-33	1	BASP1	down
1.8684675166823e-37	-2.75921152197343	0.531	0.8	6.11904427038288e-33	1	FTH1[hs].1	down
1.70234109265307e-36	-1.69646429057712	0.353	0.649	5.57499684432954e-32	1	FTH1[hs]	down
2.94229503271623e-35	-2.4921696735733	0.232	0.519	9.6357220026424e-31	1	XB5909790.S[nr]	down
3.48223636164032e-34	-3.89212122092178	0.282	0.556	1.14039758607359e-29	1	VIM	down
1.65704706188842e-29	-5.31443765763162	0.03	0.279	5.42666342297838e-25	1	TGFBI	down
6.62592225368013e-29	-2.62253904083569	0.091	0.327	2.16992327885771e-24	1	LSP1[nr]	down
1.95276464991097e-28	-2.84994027846322	0.088	0.342	6.39510895199345e-24	1	N/A.205	down
5.14352430646058e-106	2.22137622263477	0.924	0.389	1.68445277512277e-101	1	LOC115466455[nr]-MYH10[hs]	up
5.16707840393897e-104	2.1239341721527	0.945	0.444	1.69216650650597e-99	1	DSG2	up
9.11939227057592e-103	2.15984019828887	0.948	0.442	2.98650977469091e-98	1	DSP	up
2.22721754469269e-98	2.45404936814883	0.973	0.524	7.29391473711409e-94	1	LOC115475538[nr]-TGM6[hs]	up
2.15308806574638e-85	2.20189677568351	0.924	0.461	7.05114810651281e-81	1	LOC115481258[nr]-EPPK1[hs]	up
3.29874420402451e-82	1.74952506978599	0.952	0.516	1.08030573937599e-77	1	JUP	up
1.9645192215053e-78	1.7479482198877	0.973	0.551	6.4336039985077e-74	1	EPCAM.S[nr]-EPCAM[hs]	up
1.33946162200094e-73	1.86717680470857	0.954	0.5	4.38660286589087e-69	1	AMEX60DD017947	up
5.2900260565603e-73	1.65794026048199	0.898	0.45	1.73243063326293e-68	1	AB205-0013530[nr]-CLDN7[hs]	up
1.52139655872863e-72	2.06294417774762	0.859	0.396	4.98242159018038e-68	1	ACTN4	up
8.43076582463448e-52	-4.04332786411115	0.055	0.45	2.76099149990955e-47	2	MSN	down
4.4317051511831e-49	-4.59862002132986	0.045	0.453	1.45133911996095e-44	2	LOC115463407[nr]-ANXA1[hs]	down
