p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
5.64564338208197e-49	-2.86531800234528	0.601	0.834	1.2934733552688e-44	1	Fth1.1	down
6.40618881302267e-34	-3.96112576451084	0.218	0.558	1.46772191895162e-29	1	VIM	down
5.85244494265999e-33	-2.5535001512331	0.401	0.697	1.34085366081283e-28	1	Fth1	down
1.29863448907898e-32	-4.52017378059338	0.035	0.331	2.97530147792885e-28	1	BASP1	down
2.06862688903763e-27	-2.17911713407976	0.126	0.401	4.73943106547411e-23	1	GLRX	down
5.24147224154643e-23	-3.23290685465617	0.239	0.456	1.2008737052607e-18	1	LGALS1	down
1.3632218295928e-21	-3.24542559477919	0.08	0.307	3.12327753378005e-17	1	S100G	down
7.2040945427992e-21	-2.16929165923841	0.198	0.421	1.65053010070072e-16	1	LPO.2	down
8.78989885650652e-21	-3.07742451887439	0.16	0.369	2.01385372701421e-16	1	LOC138521056	down
1.12682992509132e-20	-3.27036554878291	0.059	0.276	2.58168004137671e-16	1	TGFBI	down
4.7373877629464e-160	4.62227941273661	0.978	0.195	1.08538291036865e-155	1	COL17A1	up
1.50341169145899e-132	4.8657348743118	0.877	0.074	3.44446652630168e-128	1	ITGB4	up
3.6934534901694e-119	2.86613517959039	0.995	0.715	8.46207129132711e-115	1	LOC138580806	up
2.6824008000205e-109	3.30080510351649	0.896	0.229	6.14564847292698e-105	1	ITGA6	up
6.42713260362954e-108	4.55158129549189	0.748	0.061	1.47252035081756e-103	1	VIT	up
7.7857461279284e-103	4.94219386702406	0.742	0.047	1.78379229536967e-98	1	COL7A1	up
2.80985449780677e-97	3.57516410291789	0.753	0.106	6.43765763992509e-93	1	SRPX	up
5.22185656217208e-97	1.90609030911071	0.99	0.534	1.19637955695925e-92	1	COL1A1	up
4.15389647145013e-93	3.43474317606773	0.755	0.123	9.5169922057394e-89	1	FCN2.3	up
6.43244982531184e-93	1.51095447758368	0.995	0.621	1.4737385794772e-88	1	COL1A2	up
4.06381959930436e-82	-3.78168214366238	0.214	0.758	9.31061708396623e-78	2	LOC138562538	down
2.56091631109023e-63	-3.13913734653774	0.555	0.831	5.86731536033883e-59	2	S100P	down
9.59276871055887e-63	-3.71113517174083	0.092	0.559	2.19779923927614e-58	2	DSP	down
2.31457414219611e-62	-2.45647744235739	0.272	0.704	5.30292081718551e-58	2	C2PH19orf33	down
2.37811699110832e-62	-3.16579949773738	0.367	0.751	5.44850383832826e-58	2	TXN.2	down
7.85460388777891e-62	-3.32325569690439	0.189	0.657	1.79956829672903e-57	2	EPCAM	down
5.08034192878486e-61	-2.9584042379887	0.505	0.799	1.1639571393039e-56	2	KRT5	down
5.60498573741286e-61	-3.70272880178207	0.138	0.614	1.28415828229866e-56	2	PINLYP	down
2.37232327199593e-58	-2.49070497512713	0.69	0.897	5.43522984846986e-54	2	PMP2	down
1.81528793422926e-57	-3.22723284665984	0.131	0.554	4.15900618611267e-53	2	RihA	down
7.48976668294651e-161	4.65551892594026	0.991	0.247	1.71598044472988e-156	2	COL3A1	up
6.7374141040495e-150	4.10405406333775	0.979	0.289	1.54360894537878e-145	2	FSTL1	up
