p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.19559607630498e-166	4.58732020641904	0.98	0.198	1.64887084088529e-161	1	COL17A1
1.34328384664316e-134	4.88185020084802	0.89	0.076	3.07813493458279e-130	1	ITGB4
2.19622766014817e-123	2.86157183738585	0.995	0.716	5.03265568322952e-119	1	LOC138580806
1.71380444196655e-117	4.95609599954034	0.756	0.048	3.92718287876634e-113	1	COL7A1
5.76535468313287e-112	3.31233766657132	0.905	0.23	1.3211310256399e-107	1	ITGA6
2.02265049398996e-111	4.56879460341441	0.761	0.062	4.634903606978e-107	1	VIT
3.93323692145163e-104	3.600122022262	0.764	0.107	9.01301240550642e-100	1	SRPX
5.0166921450344e-98	1.93966492873694	0.991	0.536	1.14957500503463e-93	1	COL1A1
8.0742682811469e-96	1.54401368195549	0.996	0.622	1.85021857662481e-91	1	COL1A2
2.92105817189468e-94	4.68326810828076	0.768	0.172	6.69360480089665e-90	1	LOC138528447
2.86280502882791e-104	2.61278640081644	0.889	0.245	6.56011772355916e-100	2	LOC138511201
3.71671663483375e-103	1.6409140382826	0.998	0.796	8.51685616872155e-99	2	PRDX1
6.40585931735321e-99	1.99236609842139	0.998	0.757	1.46790266257149e-94	2	LOC138564298
2.32748449836335e-94	1.87208939714874	0.999	0.654	5.33343072799962e-90	2	LOC138580807
4.88637511888645e-92	1.83898917813726	0.998	0.685	1.11971285849283e-87	2	LOC138580439
2.39535192989232e-89	2.02374049555552	0.968	0.437	5.48894894734826e-85	2	LOC138481506
4.12550291822707e-89	1.59768448327771	0.981	0.52	9.45358993711733e-85	2	LOC138580587
5.7687367756347e-89	1.7494850416155	0.998	0.664	1.32190603213669e-84	2	LOC138516039
1.41412879350022e-88	1.6260690870052	0.999	0.779	3.24047613030574e-84	2	LOC138582383
1.16088164412181e-87	1.58027631969347	1	0.769	2.66016028750513e-83	2	LOC138516689
2.96858868411058e-159	4.33067141708378	0.996	0.265	6.8025209696394e-155	3	COL3A1
1.69841071133088e-152	4.00081793500447	0.99	0.304	3.89190814501472e-148	3	FSTL1
3.09338949017281e-146	4.01051137832783	0.958	0.135	7.08850201673098e-142	3	LUM
1.1699434594083e-145	3.41315694156975	0.982	0.295	2.68092543723412e-141	3	COL5A2
3.90137798860571e-140	4.16800498285927	0.895	0.093	8.94000766088998e-136	3	COL6A1
1.32452334923678e-137	4.5201892497494	0.884	0.105	3.03514525477609e-133	3	COL6A3
3.14248764085657e-133	3.48594054166287	0.952	0.214	7.20101042902283e-129	3	COL5A1
1.33644829304513e-132	3.55827378449648	0.915	0.133	3.0624712635129e-128	3	LOC138577245
8.52853403186484e-131	3.88612907691771	0.839	0.083	1.95431357340183e-126	3	BGN
3.75585435556407e-125	3.17001118029964	0.904	0.155	8.60654025577506e-121	3	FN1
1.02592022425042e-160	4.87024915033499	0.973	0.223	2.35089619386985e-156	4	LYZ
2.74921858226097e-156	6.04581793128277	0.909	0.059	6.29983438125101e-152	4	LOC138583199
1.27893803070857e-153	6.27925174137038	0.894	0.023	2.93068649736869e-149	4	CSF1R
1.98033678222278e-153	3.83568086487445	0.979	0.402	4.53794173646349e-149	4	PSAP
1.65256359630348e-151	3.73730242057044	0.957	0.183	3.78684948092942e-147	4	GRN
4.83961096689235e-151	4.43875298446818	0.967	0.307	1.10899685306338e-146	4	CTSB
7.50852812633793e-149	4.14092233459897	0.917	0.14	1.72057922015034e-144	4	LOC138580432
4.71258661268015e-148	4.53120655184283	0.931	0.15	1.07988922229566e-143	4	LGMN
2.13592085476661e-147	4.00272678182715	0.934	0.21	4.8944626386977e-143	4	CTSC
1.22414461232601e-143	4.26865727305824	0.904	0.137	2.80512737914505e-139	4	CTSZ
4.74985612073889e-71	1.23932438721349	0.995	0.679	1.08842953006732e-66	5	LOC138582384
1.08580945215907e-66	1.37210443316423	1	0.78	2.4881323596225e-62	5	LOC138516689
1.825905296169e-65	1.13514700874503	0.997	0.744	4.18406198617127e-61	5	LOC138582385
3.3848818883043e-57	1.32950244118336	0.99	0.68	7.75645684704931e-53	5	LOC138516039
3.18074100352259e-55	1.06136915060624	0.954	0.522	7.28866800957203e-51	5	LOC138529284
2.59562391116204e-50	1.72155944619119	0.836	0.398	5.94787219242781e-46	5	GSTP1
1.77632251732803e-49	1.13818768345423	0.989	0.638	4.07044304845717e-45	5	S100A13
1.28390092629878e-48	1.37592916489287	0.904	0.467	2.94205897261364e-44	5	LOC138481506
2.97093651568595e-46	1.32814847402921	0.762	0.336	6.80790102569436e-42	5	LOC138511169
3.40172695743519e-42	1.10335608720993	0.961	0.569	7.79505732296273e-38	5	LOC138510293
3.14871448595714e-64	1.51008173863394	0.949	0.723	7.21527924457079e-60	6	LOC138504630
6.29008890481756e-54	2.43790841569652	0.574	0.186	1.44137387253894e-49	6	LOC138583127
9.54874610441737e-46	1.45260029124769	0.824	0.428	2.18809516982724e-41	6	LOC138454056
2.10214593958694e-43	1.88466148846767	0.616	0.296	4.81706742056346e-39	6	LOC138580391
4.70636159586448e-43	2.13847811196858	0.582	0.202	1.07846275969235e-38	6	FAM83B
4.72275473426379e-43	1.84551393625923	0.653	0.325	1.08221924735655e-38	6	MEF2D
6.78782966213637e-43	2.19317887405525	0.591	0.203	1.55543116707855e-38	6	BAIAP2L1
7.48745036139846e-43	2.25619912536287	0.562	0.179	1.71574925031446e-38	6	LOC138472418
3.0616770495676e-39	1.79017896629707	0.716	0.318	7.01583295908416e-35	6	LOC138566892
5.59578486667264e-38	0.869365936595444	0.913	0.55	1.28227410219804e-33	6	LOC138580587
8.93618941090707e-148	4.13499204127747	0.978	0.21	2.04772780350936e-143	7	LOC138487720
1.33574103634644e-143	5.83795311202381	0.909	0.103	3.06085058478786e-139	7	LOC138453421
1.25587148426628e-140	3.25598209770087	0.98	0.296	2.87782950619618e-136	7	LOC138521056
1.04885339177451e-136	4.13184685058261	0.936	0.182	2.40344754725128e-132	7	LOC138452113
1.30844711935281e-134	3.47582433366318	0.98	0.305	2.99830657399696e-130	7	LOC138570049
9.35915691477225e-130	4.20606448784069	0.903	0.152	2.14465080702006e-125	7	LOC138569463
3.05259342434808e-128	2.80050625228585	1	0.703	6.99501783189362e-124	7	LOC138580439
4.56873952167337e-127	3.74706284275781	0.916	0.132	1.04692666139145e-122	7	LOC138569359
1.6240518577682e-115	4.35071768486652	0.81	0.098	3.72151483207583e-111	7	UPK1B
2.35343624017919e-115	2.39942328428949	1	0.77	5.39289914437062e-111	7	LOC138564298
3.30367056607907e-118	4.43369778642412	0.889	0.151	7.5703611021702e-114	8	COL11A1
3.35737674836812e-97	3.56448515274845	0.849	0.208	7.69342881888555e-93	8	TGFBI
2.90805749111791e-96	2.55176687297217	0.824	0.177	6.66381374089669e-92	8	LUM
7.71958597214635e-95	2.95808238311065	0.841	0.219	1.76894312551734e-90	8	THBS2
3.34128761471489e-93	2.86048752098051	0.852	0.173	7.65656056911916e-89	8	KRT18
3.92817038659703e-88	2.62698280186165	0.841	0.179	9.0014024408871e-84	8	KRT8
9.64850089886532e-88	5.70924893859065	0.64	0.051	2.21095398097499e-83	8	THBS4
6.18101707901247e-87	1.77121087709357	0.925	0.3	1.41638006365571e-82	8	COL3A1
1.42679112070672e-83	2.82472651645966	0.832	0.19	3.26949185309944e-79	8	FN1
1.7195888395717e-80	2.08277253829574	0.946	0.587	3.94043782587855e-76	8	SPARC
8.35132168328814e-175	4.85745807781377	0.997	0.104	1.91370536372548e-170	9	LOC138453278
1.58356966668318e-171	6.33212856540467	0.998	0.295	3.62874989120451e-167	9	LOC138567634
1.21841476094899e-170	6.39791136942676	0.999	0.302	2.79199742471461e-166	9	LOC138569678
1.36036954732716e-170	6.23783656983547	0.998	0.337	3.11728681770019e-166	9	LOC138567632
1.77985177177549e-169	6.7033917370842	0.998	0.281	4.07853033502353e-165	9	LOC138569677
4.58970053638849e-169	5.08767902659664	0.976	0.039	1.05172987791342e-164	9	HEMGN
3.46873537161718e-163	5.34751755486528	0.943	0.034	7.94860710406077e-159	9	ALAS2
2.73357843496958e-157	5.12262927638038	0.935	0.039	6.26399498373279e-153	9	PRDX2
1.08773632488219e-148	3.59799788040277	0.97	0.171	2.49254778846754e-144	9	LOC138580888
1.20812950044076e-147	5.18204967285832	0.897	0.03	2.76842875026e-143	9	LOC138521019
1.22238566486781e-165	5.64880436081448	0.954	0.123	2.80109675104458e-161	10	LOC138513799
2.11570384060917e-159	7.04523910571854	0.893	0.038	4.84813535075591e-155	10	LOC138580880
2.43272311878625e-154	4.73905082545114	0.932	0.129	5.57458502669869e-150	10	LOC138529026
2.02280268514954e-146	6.16023688637309	0.863	0.054	4.63525235302017e-142	10	ARG1
6.54800087079191e-146	5.79043485902429	0.89	0.067	1.50047439954197e-141	10	LOC138569267
9.41631952955035e-145	6.04916239037433	0.844	0.044	2.15774962019646e-140	10	LOC138520773
2.4844116468236e-142	5.295685998313	0.852	0.059	5.69302928869628e-138	10	LOC138580932
4.74257414327793e-137	4.30017055812334	0.889	0.109	1.08676086493214e-132	10	LOC138471996
7.6522840952014e-136	4.44129998352009	0.894	0.103	1.7535209004154e-131	10	LCP1
7.1125939650836e-135	7.10489176264413	0.814	0.018	1.62985090709891e-130	10	LOC138516235
1.58487650165045e-115	2.50343394381051	0.993	0.554	3.63174450353202e-111	11	LOC138580587
9.88487002813709e-106	2.23171670184851	0.98	0.477	2.26511796694761e-101	11	DSP
