p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.65167394253075e-129	0.894341683637306	1	0.993	9.030977711774e-125	1	LOC138582460
5.14540313980991e-127	1.26999380233649	1	0.895	6.98591384291991e-123	1	RPS12
1.55016935148354e-123	1.12038837591199	1	0.944	2.1046649285092e-119	1	RPL35
1.18477680247527e-120	1.03269657556925	1	0.95	1.60857146472068e-116	1	RPL23
2.22059606848871e-117	1.04021275237864	1	0.928	3.01490328218712e-113	1	RPS14
8.47396748970763e-110	1.1017293235403	1	0.928	1.15051056607761e-105	1	RPL13
5.24867057183285e-108	1.03440570505216	1	0.931	7.12612003537745e-104	1	RPLP1
9.11339843254127e-107	1.05157555140324	1	0.919	1.23732610518613e-102	1	RPL24
2.64014303899536e-106	0.916571083464067	1	0.963	3.584522204044e-102	1	LOC138566323
1.59270435606762e-105	1.20332032647662	0.992	0.873	2.16241470423301e-101	1	RPL17
2.01234366830208e-105	0.976716226350499	1	0.934	2.73215899845373e-101	1	RPS18
5.1564196884802e-104	0.960008650581368	1	0.947	7.00087101104957e-100	1	RPS27
8.12777416527654e-104	1.06062316641582	1	0.901	1.1035078984196e-99	1	RPS26
1.45612365549343e-102	1.04352776467436	1	0.903	1.97697908706343e-98	1	RPL19
1.53525922928257e-102	1.22902878983704	0.998	0.842	2.08442145559695e-98	1	RPL12
1.06281433288176e-101	0.951227581271812	1	0.922	1.44298301975357e-97	1	RPS28
2.24423488451681e-100	1.07113111031103	0.998	0.888	3.04699770270847e-96	1	RPS19
1.88614454850331e-99	0.911342073345995	1	0.95	2.56081845350295e-95	1	RPS23
2.16627523148029e-98	0.998144388318731	1	0.935	2.94115188178079e-94	1	RPLP2
8.04200643405022e-92	1.13535574941607	0.99	0.816	1.091863213551e-87	1	RPS11
1.08148473739583e-90	0.980227746540526	1	0.907	1.46833182796232e-86	1	RPL36
1.11196558542591e-90	1.03258778138028	1	0.912	1.50971567533275e-86	1	LOC138549270
1.35426865281873e-90	1.09260667804452	0.995	0.867	1.83869054993199e-86	1	RPL31
1.44148271712861e-90	1.05710147320843	0.997	0.872	1.95710108504551e-86	1	RPL37
4.46942392438566e-89	1.15903616465381	0.985	0.824	6.06813686213842e-85	1	RPS27A
1.22058725181847e-88	1.04045513509537	0.983	0.851	1.65719131179394e-84	1	RPL35A
3.67129175622795e-88	1.13348379265079	0.988	0.85	4.98451281743068e-84	1	LOC138504296
1.11514513437289e-87	1.06380926857629	0.997	0.866	1.51403254893807e-83	1	RPL28
1.30432240538436e-87	1.15800791423486	0.987	0.774	1.77087852979035e-83	1	RPS25
2.19840270759905e-87	1.00492038766893	0.997	0.897	2.98477135610723e-83	1	EEF1G
4.63129778997176e-87	0.922950939776349	1	0.935	6.28791300944466e-83	1	RPL26L1
8.64960430107334e-87	1.24747058091455	0.974	0.708	1.17435677595673e-82	1	LOC138521744
8.52255145294542e-86	1.06162451380977	0.992	0.901	1.1571068107664e-81	1	RPL36A
1.30655676994594e-85	1.05762173483869	0.995	0.879	1.7739121265556e-81	1	RPS10
3.25665385529429e-85	0.973976113550747	0.995	0.898	4.42155893933306e-81	1	RPL10
5.28044019823734e-85	0.808621652765507	0.997	0.937	7.16925365714684e-81	1	FAU
6.45394690465526e-85	1.06174304734896	0.993	0.829	8.76252371245045e-81	1	LOC138453091
1.01379640501796e-84	1.07523371941519	0.992	0.848	1.37643137909288e-80	1	RPL34
1.20336455826376e-84	0.973290480050525	0.998	0.919	1.6338080607547e-80	1	RPS2
3.20521224644692e-83	0.941393100149897	1	0.925	4.35171666700098e-79	1	RPS9
1.85504943119435e-82	1.11678126549859	0.982	0.779	2.51860061273257e-78	1	LOC138514047
2.2688080078343e-81	1.05134411158414	0.993	0.853	3.08036063223663e-77	1	RPS29
4.67613295273403e-81	0.995511810612415	1	0.876	6.34878570992699e-77	1	RPL13A
2.49548119341071e-79	0.991694295513734	0.992	0.838	3.38811481629372e-75	1	RPS15
2.70518679625244e-79	0.857585873607157	1	0.99	3.67283211327194e-75	1	TMSB4X
1.96160304077208e-78	1.06541174247376	0.987	0.826	2.66326844845626e-74	1	RPL38
6.40627674189182e-78	1.04147843195026	0.985	0.841	8.69780193246653e-74	1	RPL21
2.61769402409926e-77	0.814742913089976	1	0.978	3.55404317651957e-73	1	S100A11
1.00497810835751e-76	1.06726587221781	0.992	0.81	1.36445877771699e-72	1	RPL18
1.61491188750674e-72	0.749467440631578	1	0.965	2.1925658696679e-68	1	RPS15A
2.11123277020409e-72	1.12357748426749	0.98	0.748	2.86642073210609e-68	1	EEF1B2
2.26273371839789e-72	0.918785008925261	1	0.95	3.07211356946882e-68	1	Fth1.4
3.10281847492614e-72	1.00459003669328	0.987	0.841	4.21269664340722e-68	1	RPS24
3.59040114328142e-72	1.19595382390514	0.929	0.661	4.87468763223318e-68	1	LOC138521144
9.32635917146072e-72	1.03471651351737	0.983	0.783	1.26623978470922e-67	1	LOC138582756
8.0559109272863e-71	0.849084524379037	1	0.878	1.09375102659766e-66	1	LOC138453092
1.18459347430088e-70	0.872460862468408	0.995	0.885	1.6083225600583e-66	1	RPS20
1.85608003602505e-69	0.895034949218391	0.993	0.866	2.5199998649112e-65	1	RPLP0
7.05597456571426e-69	1.18112705794685	0.947	0.68	9.57989666787025e-65	1	RPL23A
8.8590217713948e-68	0.828679008515472	0.998	0.913	1.20278938590227e-63	1	RPL14
9.3704388832868e-68	1.01281299305364	0.975	0.777	1.27222448718385e-63	1	RPS3A
3.86003531739951e-66	0.908226343677657	0.99	0.861	5.24076995043331e-62	1	RPS6
4.29525343328349e-66	0.915286113419165	0.993	0.851	5.831665586369e-62	1	RPL11
5.71216296025633e-66	1.06608765667522	0.959	0.746	7.75540365114002e-62	1	RPS3
5.87283270493532e-66	0.873621985300412	0.995	0.891	7.97354496349068e-62	1	RPS7
6.33234212399737e-63	0.798079343848615	0.997	0.879	8.59742090175122e-59	1	RPL27
3.92647087052198e-61	0.782391725776215	0.998	0.873	5.33096950090769e-57	1	RPL39
1.15353248061731e-59	1.06144060370943	0.954	0.671	1.56615104893413e-55	1	LOC138522014
3.17368835715486e-59	0.938037823188547	0.97	0.801	4.30891668250915e-55	1	RPL3
3.63069591159244e-59	1.08409258896707	0.936	0.673	4.92939583916905e-55	1	LOC138503745
6.48193389172904e-59	1.06648717080916	0.942	0.693	8.80052164480052e-55	1	LOC138514343
