p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.15820162966665e-82	0.633670537552339	1	1	2.2879114992435e-78	1	S100P.1
3.9148323497868e-80	0.951758979933856	1	0.997	7.73335982376884e-76	1	KRT5.4
1.50187522543315e-68	2.50217980145981	0.71	0.195	2.96680432032065e-64	1	LOC138522078
1.99294766269532e-65	0.912200309436391	0.999	0.989	3.93686881288834e-61	1	PINLYP.5
3.08381020932348e-62	0.334430869897255	1	1	6.09175868749761e-58	1	RPLP1
8.49447560427325e-62	0.707462189565197	0.999	0.915	1.67799871086814e-57	1	SELENOP
5.54165036381321e-59	0.889408943106053	1	1	1.09469761286766e-54	1	PMP2
7.59336729904445e-55	0.340599349585599	1	1	1.49999377625324e-50	1	RPL12
2.86791739158546e-54	0.601948839762487	1	0.999	5.66528401533791e-50	1	PRMT1
3.77034127153596e-53	0.524988448456134	0.999	0.999	7.44793214779214e-49	1	KRT5.2
4.37128762336237e-50	0.399011799211345	1	1	8.63504157119003e-46	1	CIRP.1
2.12905991378602e-49	0.327322249875709	1	1	4.2057449536929e-45	1	RPL9
3.58378846092372e-49	1.32884410786192	0.877	0.49	7.07941572570871e-45	1	MARCKS
2.62928857336096e-47	0.291751642926016	1	1	5.19389664781725e-43	1	RPL13A
2.6407229135598e-44	0.341401283611832	1	1	5.21648404344603e-40	1	RPS12
1.8415833327113e-43	-2.28994109846341	0.474	0.783	3.6378637154379e-39	1	TCHH
2.7278903258095e-43	0.32862775071032	1	1	5.38867454960408e-39	1	RACK1
6.28965267038015e-43	0.287635355596132	1	1	1.24245798850689e-38	1	RPS9
1.55859329924187e-42	0.279460143321581	1	1	3.07884520332239e-38	1	RPS10
3.59236481452902e-42	0.483452284409768	1	1	7.09635745462063e-38	1	GSTM1
4.50152571490294e-42	0.335318961861385	1	1	8.89231389721926e-38	1	LOC138522014
2.25100534037597e-41	0.320643423152497	1	1	4.44663594937869e-37	1	LOC138521744
5.00359463654831e-41	0.287777550289357	1	1	9.88410084503753e-37	1	RPS11
9.22906465257172e-41	0.443736220729229	1	1	1.82310943146902e-36	1	NPM1
1.23357590667032e-40	-3.64334717878211	0.678	0.858	2.43680584603654e-36	1	LOC138582389
3.23528156505724e-40	0.416564864289461	1	1	6.39097520361407e-36	1	EEF1B2
5.26317147239951e-40	0.240097715742745	1	0.996	1.0396868926578e-35	1	LOC138580806
4.30843644243802e-39	-3.51134752632523	0.183	0.551	8.51088534839206e-35	1	PSCA.1
4.50675870282072e-39	0.373004466234408	1	1	8.90265114155206e-35	1	RPLP2
4.75996123605325e-39	0.271968890968401	1	1	9.4028274256996e-35	1	RPL28
7.03416606691475e-39	0.277457589197197	1	1	1.38952916485834e-34	1	RPL13
2.80591842850173e-38	0.300661217848629	1	1	5.54281126366232e-34	1	RPLP0
3.56478604938061e-38	0.296491690609133	1	1	7.04187836194645e-34	1	RPS27A
5.58958058244212e-38	0.291955174048775	1	1	1.10416574825562e-33	1	RPS3
1.6295819693806e-37	0.233190538003211	1	1	3.21907622231443e-33	1	RPS14
4.67756253322983e-37	0.455747771302154	1	1	9.2400570281422e-33	1	SNRPF
8.77720701274228e-37	-2.2001018677638	0.328	0.686	1.73384947329711e-32	1	TGM1
3.68134745739498e-36	0.291786310225124	1	1	7.27213376733804e-32	1	RPS4X
4.87483013031832e-36	-2.14667210883821	0.29	0.651	9.62973943943081e-32	1	LOC138570070
5.26703023545624e-36	0.269269737709276	1	1	1.04044915271203e-31	1	RPS13
2.51750915199259e-35	-1.81346205118269	0.369	0.688	4.97308757884615e-31	1	DSG4
7.46796049752806e-35	-1.51505525760506	0.656	0.855	1.47522091668169e-30	1	MALL
8.34234723759191e-35	0.247866790658938	1	1	1.64794727331391e-30	1	LOC138453092
1.51213642476728e-34	-3.29970369806754	0.213	0.549	2.98707429348529e-30	1	TXN
2.35287255828523e-34	-2.84961494756604	0.202	0.584	4.64786445163665e-30	1	OTOA.2
2.39582872656588e-34	-2.55476543080482	0.267	0.624	4.73272006645823e-30	1	MPEG1.2
2.49814735809732e-34	0.302278731070649	1	1	4.93484029118545e-30	1	EIF5A2
2.90522519415385e-34	0.260398488758882	1	1	5.73898184853152e-30	1	RPL18
7.59466993408934e-34	0.241907767653743	1	1	1.50025109878001e-29	1	EEF1G
1.50979425270617e-33	0.264037800927297	1	1	2.98244756679576e-29	1	RPS18
6.90801478044591e-33	1.18478720648783	0.834	0.52	1.36460923972928e-28	1	KRT1.2
8.64733060223051e-33	-2.45959012226239	0.19	0.499	1.70819368716461e-28	1	LOC138453424
8.73322865168928e-33	0.747698159141673	0.994	0.899	1.7251619878547e-28	1	LOC138511169
1.16308147437621e-32	-1.82006528620012	0.987	0.998	2.29755114448277e-28	1	KRT19.1
1.47695082014379e-32	0.289482862939659	1	1	2.91756865011204e-28	1	RPL3
1.55895834755516e-32	0.60186891935957	0.998	0.984	3.07956631976046e-28	1	EMP2
4.21045026253663e-32	-1.1010720443917	0.828	0.95	8.31732344861486e-28	1	MANF
5.28752409476044e-32	-3.13157635531344	0.168	0.515	1.04449750967898e-27	1	LOC138497965
5.73879004922355e-32	0.291916905406468	1	1	1.13364058632362e-27	1	LOC138514343
5.88159356381379e-32	0.353696586580599	1	1	1.16184999259578e-27	1	SRI
8.11063131863048e-32	-2.86224757285674	0.426	0.722	1.60217411068226e-27	1	PRG4
1.94853012281704e-31	-1.90827772985373	0.553	0.812	3.84912640461277e-27	1	EMP1.1
3.58073449420125e-31	-4.4054501494679	0.044	0.321	7.07338291984515e-27	1	LOC138569863
5.03742114583841e-31	1.18714155043096	0.891	0.695	9.95092173148919e-27	1	CLDN3
6.54100671661501e-31	0.257617049200489	1	1	1.29211046680013e-26	1	RPS27
8.6181477660578e-31	0.249616260777766	1	1	1.70242890970706e-26	1	RPS15
2.30916069748877e-30	0.248754994293858	1	1	4.56151604181932e-26	1	RPS19
1.08827305668448e-29	0.299484244229041	1	1	2.14977459617452e-25	1	RPL4
1.34553248917039e-29	0.262831370303171	1	1	2.65796487910718e-25	1	RPS3A
1.55593951429819e-29	0.249755816324077	1	1	3.07360291654464e-25	1	RPS28
1.90845936187182e-29	-1.83535919898027	0.927	0.94	3.76997062344159e-25	1	LOC138453020
2.91919172697764e-29	0.228316202856561	1	1	5.76657133747163e-25	1	LOC138566323
6.33032125076977e-29	0.214071791065709	1	1	1.25049165987706e-24	1	RPS6
6.51828347673135e-29	-1.06775829534818	0.678	0.887	1.28762171799351e-24	1	GLRX
7.59527623234649e-29	0.350098609952088	1	1	1.50037086693773e-24	1	LOC138471631
1.20825005547763e-28	0.393827185947315	1	0.997	2.38677715959051e-24	1	SRSF2
1.91750525912957e-28	0.235727119447144	1	1	3.78783988888456e-24	1	RPL19
2.83956229368514e-28	0.214135277428288	1	1	5.60927135494563e-24	1	RPL10
3.65477653203962e-28	0.221976389030796	1	1	7.21964556139106e-24	1	RPS23
4.91594105113403e-28	0.256291591729709	1	1	9.71094995241016e-24	1	LOC138526138
7.22006454612423e-28	0.265641218165679	1	1	1.42625155044138e-23	1	S100A11
9.61608633349394e-28	1.21837092224523	0.591	0.301	1.89956169431839e-23	1	KRT1.3
9.79291967061515e-28	0.300659165099743	1	1	1.93449335173332e-23	1	LOC138580949
1.02235267585622e-27	0.207687504453258	1	1	2.01955547588638e-23	1	LOC138582460
1.31288182628947e-27	-2.73282573197798	0.158	0.449	2.59346675965222e-23	1	PSAT1
1.70268693208537e-27	0.294879390823997	1	1	3.36348776564144e-23	1	RPL30
2.77730782310641e-27	0.594323384663509	0.972	0.917	5.4862938737644e-23	1	GSTM1.1
2.780500127292e-27	2.13483917836023	0.436	0.135	5.49259995145262e-23	1	PLAC8
4.87029314429091e-27	0.228847969979749	1	1	9.62077707723227e-23	1	RPL23
5.79492772467637e-27	0.226033917887832	1	1	1.14473002273257e-22	1	LOC138453091
1.07680017653672e-26	0.239423817310517	1	1	2.12711106873064e-22	1	RPS7
1.47257712383934e-26	0.255796282633065	1	1	2.90892885043223e-22	1	LOC138514047
1.55444648068025e-26	-1.43453363214187	0.945	0.972	3.07065357793576e-22	1	CRIP1.1
2.03161735429452e-26	-1.77693496198632	0.439	0.662	4.01325692167339e-22	1	LOC138569359
2.54022918131957e-26	0.276429813894774	1	1	5.01796872477867e-22	1	RPS2
3.52602749189288e-26	0.462280222176287	1	0.994	6.96531470748519e-22	1	LOC138566980
3.68802593149407e-26	0.202148936774436	1	1	7.28532642507338e-22	1	LOC138502987
3.83025222642006e-26	-2.18063680930923	0.96	0.978	7.56628024807019e-22	1	LOC138452159
6.79243618073642e-26	-1.93830163672698	0.437	0.697	1.34177784314267e-21	1	LOC138489166
7.97613657029212e-26	-2.74321514244831	0.085	0.332	1.57560601809551e-21	1	LOC138582795
8.76158366452052e-26	-1.37833110430765	0.415	0.661	1.73076323708938e-21	1	SPATS2
9.42747387363215e-26	0.442685597587408	1	0.999	1.8623031889973e-21	1	GSTP1
1.49067588601894e-25	-0.49773281939122	1	1	2.94468114524182e-21	1	S100A10
1.82516973213965e-25	-1.03848140451019	0.526	0.723	3.60544028886867e-21	1	ALAS1
2.1327453252783e-25	0.259508682102408	1	1	4.21302511555474e-21	1	RPS20
