p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
5.50651519668883e-60	-2.39034562730332	0.329	0.74	1.08153464978165e-55	1	RNF213	down
2.41682653931258e-54	-2.05283541099333	0.384	0.766	4.74688900586384e-50	1	SMARCAD1	down
4.90846656694138e-47	-4.11808988225963	0.091	0.481	9.64071918412957e-43	1	LOC138522078	down
4.01880212800304e-45	-2.10390988431527	0.477	0.839	7.89332925961077e-41	1	TTN	down
7.89527490694785e-43	-1.93515202845114	0.329	0.698	1.55071094447363e-38	1	EML4	down
1.45533536557624e-42	-1.89832950979535	0.347	0.729	2.8584241915283e-38	1	LOC138498049	down
2.57078129638262e-39	-1.89526127180636	0.509	0.809	5.0492715442251e-35	1	B2M	down
1.59541746001853e-37	-1.50992335181519	0.508	0.791	3.13355943322239e-33	1	ATRX	down
1.79776220210337e-36	-3.92048273316232	0.096	0.403	3.53098474115122e-32	1	THSD4	down
7.97314033603926e-34	-1.6326402342608	0.357	0.661	1.56600449340147e-29	1	KTN1	down
1.83783693024525e-137	3.23603148463019	0.994	0.753	3.60969551469469e-133	1	LOC138472546	up
2.77116808750572e-137	3.07867247280418	0.994	0.756	5.44285124066998e-133	1	LOC138472545	up
9.45280257510508e-137	2.64061019659043	1	0.744	1.85662495377639e-132	1	LOC138453020	up
1.07485646462684e-131	4.2700147835735	0.951	0.471	2.11112558217357e-127	1	LOC138472548	up
2.97088669540817e-102	3.81806863522803	0.812	0.172	5.83511855845118e-98	1	PF4.1	up
5.93386698357109e-97	4.6482362023825	0.949	0.731	1.1654708142432e-92	1	LOC138472549	up
5.3968274798653e-94	2.65155909348957	0.883	0.325	1.05999088532034e-89	1	PLAUR.3	up
6.26815741129374e-88	1.52778699939628	0.996	0.765	1.2311287971522e-83	1	A2M	up
1.30022454499955e-80	1.80233438900115	0.928	0.456	2.55377102883362e-76	1	TCHH	up
3.79119322190026e-75	1.7917198207827	0.86	0.305	7.4462826071343e-71	1	LOC138453424	up
1.22168131730007e-17	-1.43407437013137	0.548	0.76	2.39950427530906e-13	2	MEF2D	down
1.97366468933598e-16	-3.0294202485108	0.323	0.539	3.8764748163248e-12	2	FIM-B. 1	down
6.26288810720328e-11	-1.23838130490591	0.433	0.636	1.2300938531358e-06	2	LOC138503307	down
2.93238450398417e-49	1.27306635097273	0.949	0.657	5.75949640427531e-45	2	ANP32E	up
5.09222059360845e-40	1.05613470638839	0.895	0.626	1.00016304679064e-35	2	HSPD1	up
1.28809145779482e-38	1.42654283605189	0.806	0.483	2.52994043225481e-34	2	GMNN	up
3.20906877888002e-36	1.14587964916751	0.891	0.672	6.30293198859825e-32	2	PCNA.1	up
3.36748504542725e-36	1.27877948453374	0.835	0.512	6.61407737772366e-32	2	SLIRP	up
5.2027869498407e-35	1.23096758809196	0.768	0.445	1.02187938481821e-30	2	TIMM8B	up
1.79947315763924e-34	1.42002764215301	0.611	0.246	3.53434522891924e-30	2	RBP7	up
4.94807924919027e-34	1.91546025434923	0.623	0.229	9.7185224533346e-30	2	LOC138521058	up
8.09731963186401e-33	1.03346397606704	0.864	0.629	1.59039454889441e-28	2	LOC138525707	up
4.69728196589668e-32	1.14666492005468	0.688	0.346	9.22593150921768e-28	2	LOC138489221	up
1.33968259445555e-71	-3.00254918730213	0.328	0.799	2.63127058377015e-67	3	LOC138487902	down
3.47792851731082e-71	-3.66127171413283	0.663	0.903	6.83099940085018e-67	3	LOC138472543	down
1.33429630552813e-69	-3.82845288706195	0.478	0.848	2.6206913736878e-65	3	LOC138453020	down
4.76185856635379e-67	-3.42496704155257	0.509	0.852	9.35276641017549e-63	3	LOC138472545	down
6.75432391046515e-65	-3.46265010345843	0.155	0.615	1.32661675925446e-60	3	TCHH	down
4.83608252182538e-64	-3.4587970054181	0.522	0.848	9.49854968111722e-60	3	LOC138472546	down
7.00711646989942e-61	-3.75346026085211	0.144	0.601	1.37626774585294e-56	3	LOC138498128	down
3.64373745615451e-59	-3.41447762515431	0.242	0.702	7.15666473763308e-55	3	LOC138488708	down
8.39739202585211e-59	-2.32770182245063	0.307	0.717	1.64933176779761e-54	3	GPX1	down
3.61602671729328e-56	-5.09194709596712	0.049	0.476	7.10223807543574e-52	3	LOC138453424	down
1.57619666357703e-71	3.46228705508696	0.592	0.058	3.09580786693165e-67	3	LOC138572018	up
3.21124854502138e-68	1.37708718512056	0.983	0.732	6.3072132672765e-64	3	TTN	up
3.15618461242379e-65	1.54129905085759	0.926	0.541	6.19906219726156e-61	3	LOC138503307	up
1.51430966440185e-64	1.44100150210853	0.945	0.637	2.97425561185168e-60	3	MPEG1.2	up
1.12324583865817e-60	1.70085251025928	0.805	0.336	2.20616715170852e-56	3	LOC138522078	up
6.65881166281226e-52	1.14064326867231	0.946	0.717	1.30785719869296e-47	3	B2M	up
3.02494853106458e-51	1.44692925462229	0.884	0.528	5.94130140986393e-47	3	KRT1.2	up
9.72298601203906e-51	1.68755278582749	0.771	0.337	1.90969168262459e-46	3	KRT1.3	up
1.84773754810674e-40	1.56315859131171	0.617	0.249	3.62914131823645e-36	3	LOC138570270	up
1.81335621819517e-35	1.13768707979485	0.813	0.489	3.56161294815714e-31	3	LOC138580892	up
4.52410639701655e-52	-2.41914110035494	0.132	0.595	8.88579737438021e-48	4	LOC138513278	down
1.03310504551675e-46	-1.81524577324821	0.245	0.666	2.02912161989945e-42	4	LOC138467143	down
5.80993663643929e-45	-2.86389518588567	0.053	0.442	1.14112965476304e-40	4	SERF2	down
1.480375660068e-41	-2.72154913962729	0.083	0.467	2.90760583393955e-37	4	SHISAL2B	down
1.76044086879011e-41	-2.30404185664394	0.096	0.504	3.45768191039066e-37	4	MIEN1	down
5.86195519828875e-40	-1.69364971892049	0.225	0.617	1.15134662049589e-35	4	UBL4A	down
6.17917515022158e-40	-2.05868787591714	0.105	0.484	1.21365179125502e-35	4	LOC138566743	down
1.31236242388946e-39	-1.1518909944048	0.517	0.772	2.57761103676128e-35	4	PHF5A	down
5.87401505724322e-37	-2.49475439921691	0.069	0.434	1.15371529739314e-32	4	LOC138526118	down
7.0144754503212e-37	-1.53969980087956	0.252	0.65	1.37771312319759e-32	4	SDHAF4	down
6.00132553732194e-77	2.04581935725539	0.907	0.594	1.1787203487854e-72	4	PLEKHA5	up
1.85170682794976e-76	1.85672815455645	0.926	0.626	3.63693738077613e-72	4	CRYBG1	up
1.8625301608903e-76	2.0828072306239	0.897	0.564	3.65819548900463e-72	4	LOC138566955	up
4.71236381455879e-73	2.10673193488862	0.893	0.547	9.25555376817492e-69	4	ND4L	up
1.96517404215906e-72	1.58205466849999	0.964	0.731	3.85979833620462e-68	4	ND5	up
4.13327877439689e-66	1.80891995316309	0.926	0.657	8.11817284079292e-62	4	SMARCAD1	up
5.13950102606498e-63	2.25594059783075	0.795	0.455	1.00944939652942e-58	4	PLCH2	up
1.28430005827574e-60	1.84771824642408	0.84	0.544	2.52249374445938e-56	4	ARAP2	up
2.69259814273589e-58	1.92380519920696	0.837	0.531	5.28853201214755e-54	4	EGFR	up
9.27821682215883e-58	2.18437713927776	0.77	0.435	1.82233456604022e-53	4	PCDH7	up
1.49442355412572e-92	-1.73177986372504	0.768	0.978	2.93519730265832e-88	5	SERPINB5	down
5.43868081143579e-82	-2.06615066767316	0.754	0.962	1.0682112981741e-77	5	EPPK1	down
6.95113676114093e-65	-1.74071286639483	0.729	0.948	1.36527277125569e-60	5	LOC138528712	down
2.2227551541442e-63	-1.56881832281587	0.631	0.886	4.36571339825462e-59	5	TRIM29	down
