p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.14032340802641e-48	0.753949033680665	1	1	2.29912005526286e-44	1	COX3
1.214689826021e-48	1.31912433685431	0.985	0.859	2.44905762722354e-44	1	TGM3
1.59077215970126e-48	0.834119486953483	1	0.993	3.20731482838969e-44	1	CYTB
3.41993608475825e-43	0.821355686055075	0.999	0.969	6.89527513408958e-39	1	ATP6
3.15559163514853e-42	0.880365782986553	1	0.994	6.36230385478647e-38	1	COX1
3.6311592329202e-41	0.996487648058421	0.963	0.781	7.32114324541371e-37	1	ND4
8.12440112794354e-41	-1.26642720763465	0.99	0.991	1.63804175541598e-36	1	RPS27
2.81065900896811e-40	-1.11259286088549	0.978	0.983	5.66685069388151e-36	1	RPLP1
4.86063195718848e-40	-1.12437342518211	0.9	0.945	9.80000615208341e-36	1	LOC138453092
9.03465321919272e-40	0.773245533742857	1	1	1.82156678205364e-35	1	unassigned-gene-4
1.11111839401152e-39	-0.97780912949216	0.972	0.981	2.24023690600602e-35	1	RPL26L1
1.39584066752759e-39	-1.08460137428802	0.989	0.991	2.81429395386912e-35	1	RPS23
2.22663416334691e-39	-1.17310335840656	0.972	0.982	4.48933980014004e-35	1	RPS28
4.76454181196872e-39	-1.03329203266409	0.972	0.982	9.60626920129134e-35	1	RPL24
8.03637152214094e-39	0.978243594640135	0.962	0.785	1.62029322629406e-34	1	ND1
2.09894788181254e-38	-0.99108668826033	0.998	0.998	4.23189871931044e-34	1	RPS15A
2.20050927493808e-38	-1.03706414482671	0.995	0.997	4.43666680013015e-34	1	LOC138566323
2.41800861221523e-38	-1.17026763438893	0.991	0.991	4.87518896394834e-34	1	RPL23
2.57094023963316e-38	-1.19995478419995	0.947	0.964	5.18352971114837e-34	1	RPL12
3.36127974691936e-38	-1.25814856765014	0.935	0.961	6.7770122257388e-34	1	RPS12
6.27925431589888e-38	-1.27156303689046	0.983	0.983	1.26602325517153e-33	1	RPL35
1.03625589372923e-37	0.688761550876026	1	0.999	2.08929913293687e-33	1	COX2
5.942851762841e-37	-0.957658256727774	0.924	0.953	1.198197772424e-32	1	RPLP0
7.49747336982509e-37	-1.07926824764961	0.937	0.957	1.51164058082413e-32	1	RPL27
2.17734475101227e-36	-1.02788812863489	0.957	0.969	4.38996248699094e-32	1	RPS20
6.50501427275266e-36	-1.2520739741759	0.976	0.983	1.31154097767239e-31	1	RPS18
1.62165997310898e-35	-1.09125927656854	0.958	0.972	3.26959083778233e-31	1	RPL19
2.22284143981567e-35	-1.03161503934672	0.9	0.935	4.48169291095636e-31	1	RPL28
3.61627634944514e-35	1.96740327335623	0.581	0.268	7.29113637575128e-31	1	A2M
3.72795436582474e-35	1.13496406499555	0.978	0.904	7.51630159237583e-31	1	EPPK1
5.6492808735206e-35	-1.13275862409081	0.859	0.918	1.13900800971922e-30	1	RPL35A
6.95731411696875e-35	0.73633888335943	0.988	0.928	1.40273367226324e-30	1	LOC138504630
7.4587197681387e-35	0.891514840546323	0.975	0.838	1.50382707965212e-30	1	ND2
8.0946903826245e-35	0.949335284936029	0.94	0.848	1.63205147494475e-30	1	DSG2
