p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.06474017607728e-20	-1.17197617851138	0.369	0.611	2.146729143007e-16	1	LOC138471631	down
6.63320110999792e-17	-1.41793453415878	0.178	0.382	1.33738600779778e-12	1	LOC138583081	down
1.30467993403746e-16	-1.04466766890694	0.373	0.59	2.63049568300633e-12	1	LOC138580314	down
4.81295320212978e-14	-1.13760271134487	0.251	0.457	9.70387624613406e-10	1	SEC61G	down
3.61627634944514e-35	1.96740327335623	0.581	0.268	7.29113637575128e-31	1	A2M	up
6.28298799494732e-29	1.11068682601787	0.728	0.484	1.26677603954128e-24	1	OTOA.3	up
3.9940966056776e-27	1.04101061814996	0.779	0.564	8.05289757636717e-23	1	LIMA1	up
6.61837711157829e-27	1.04141537859238	0.726	0.5	1.33439719323641e-22	1	CDH1	up
4.19994342428342e-26	1.0776468712669	0.828	0.547	8.46792593204023e-22	1	ACTN4	up
1.39931638695468e-22	1.1263051952489	0.609	0.325	2.82130169937802e-18	1	PLEKHA5	up
3.2230459540964e-22	1.38294059266141	0.646	0.401	6.49830525264917e-18	1	LPO.2	up
7.19977830406345e-22	1.06966600756169	0.597	0.354	1.45161930166527e-17	1	CGN	up
1.22553913472953e-21	1.18975818474319	0.585	0.336	2.47093200344168e-17	1	LOC138522078	up
5.02011540420695e-20	1.95637604208431	0.361	0.142	1.01215566779621e-15	1	LOC138580567	up
1.20034305553744e-64	-2.71826353903153	0.628	0.906	2.42013166857458e-60	2	COL1A1	down
2.55815535262997e-60	-1.99205714213906	0.583	0.87	5.15775282197254e-56	2	ND1	down
1.27094162832463e-55	-2.32387335335055	0.707	0.927	2.56247251102811e-51	2	COL1A2	down
1.94086603741906e-47	-3.25480971665302	0.18	0.557	3.91317410464431e-43	2	HIFy	down
3.47108251858021e-47	-3.71011633333077	0.179	0.577	6.99839657396142e-43	2	TBFA	down
5.37692075824939e-42	-1.67513047264042	0.62	0.859	1.08409476327824e-37	2	ND4	down
2.49499635537485e-40	-1.83978053412133	0.564	0.799	5.03041165170678e-36	2	SPARC	down
9.38656269527545e-33	-3.44155590866819	0.227	0.529	1.89251877062144e-28	2	COL17A1	down
1.14212266216964e-28	-3.16231208548723	0.102	0.37	2.30274771146642e-24	2	ITGB4	down
1.46824907734704e-26	-3.8335781926809	0.058	0.312	2.9602837897471e-22	2	COL5A2	down
3.91681695183311e-77	1.84459883065401	0.907	0.417	7.89708633828592e-73	2	AVR4	up
9.85159338138181e-64	1.75291177778685	0.896	0.408	1.9862782575542e-59	2	GSTP1	up
3.23013127888036e-55	1.56667538431493	0.859	0.474	6.51259068447858e-51	2	LOC138515915	up
9.26433261279783e-53	1.15347791871334	0.929	0.584	1.8678747413923e-48	2	LOC138488548	up
1.7089446196126e-51	1.14976872025834	0.95	0.622	3.44557414206292e-47	2	RihA	up
