p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
3.34037582387177e-15	-1.12026443079241	0.561	0.744	4.10632400028556e-11	1	LOC138504630	down
4.51585721152111e-13	-3.59942741065961	0.034	0.227	5.5513432701229e-09	1	RELN	down
6.84281679991286e-13	-2.68795256356435	0.045	0.245	8.41187469213288e-09	1	HAPLN3	down
3.05526356464319e-12	-3.03066522460387	0.034	0.219	3.75583550001587e-08	1	UNC5B	down
1.02429536919065e-11	-2.05405804303309	0.125	0.33	1.25916629734607e-07	1	NRP2	down
2.57039812144352e-11	-1.39346984659788	0.223	0.431	3.15979041069052e-07	1	RAPGEF6	down
6.23398161824098e-11	-1.2694952511012	0.409	0.572	7.66343360330364e-07	1	FAM107B	down
1.02636904808455e-10	-0.604835039471225	0.686	0.814	1.26171547081034e-06	1	ND3	down
1.81674551895307e-10	-1.58118416148372	0.193	0.387	2.23332526644901e-06	1	VAV3	down
2.35275814459955e-10	-0.735600315991985	0.78	0.905	2.89224558715622e-06	1	unassigned-gene-2	down
4.24411663686363e-52	0.955682518594962	0.992	0.875	5.21729258169646e-48	1	RPS16	up
1.09858606940638e-48	0.993549838473963	0.992	0.847	1.35049185512126e-44	1	EEF1B2	up
8.98267995704058e-48	0.950573722065691	0.992	0.852	1.104240847119e-43	1	RPL27A	up
8.49961146128481e-47	0.87545820877109	0.992	0.878	1.04485723693574e-42	1	RPS25	up
1.06169445684657e-45	0.939829165313849	0.981	0.833	1.30514099580149e-41	1	RPS3	up
1.6823673762929e-45	0.887483580980105	0.992	0.888	2.06813421567686e-41	1	RPL18	up
1.10561714161963e-43	0.924074634056642	0.977	0.824	1.35913515219301e-39	1	RPS5	up
4.70468295068422e-41	0.964255644940937	0.97	0.794	5.78346675127611e-37	1	RPL23A	up
1.58976220060087e-40	0.910457700548856	0.989	0.784	1.95429467319865e-36	1	RPL18A	up
3.80167462864465e-40	0.921997487998727	0.989	0.857	4.67339862099286e-36	1	RPL37A	up
1.76422837484547e-15	-0.87578680584717	0.7	0.852	2.16876594119753e-11	2	ND1	down
2.29587294579556e-13	-0.733990545926339	0.768	0.883	2.82231661226648e-09	2	ND2	down
7.81844436474673e-13	-0.990526799081539	0.744	0.893	9.61121365758316e-09	2	KRT5	down
