p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.13599941718861e-159	4.6388319711614	0.976	0.217	5.87372690839426e-155	1	COL3A1
7.9503907692036e-142	3.86489642494478	0.91	0.121	1.48910819107183e-137	1	FBN2
1.93384394999796e-141	4.11918829228547	0.948	0.261	3.62208971834618e-137	1	FSTL1
4.91496776318325e-130	4.02474628300789	0.845	0.109	9.20573462044223e-126	1	LUM
3.19524437310479e-129	3.52626919694803	0.935	0.253	5.98469271082526e-125	1	COL5A2
7.63476658178938e-122	3.73463130940346	0.899	0.176	1.42999178076915e-117	1	COL5A1
2.87675731238342e-119	4.33887083987275	0.772	0.071	5.38816644609414e-115	1	COL6A1
1.87483411881164e-115	3.32266478574432	0.845	0.117	3.51156430453421e-111	1	FN1
1.10108849594501e-114	4.17399661445191	0.749	0.058	2.06233875290501e-110	1	BGN
5.08764722364006e-112	4.74824484538998	0.756	0.085	9.52916324987783e-108	1	COL6A3
8.64230458840791e-106	2.15823498998915	0.966	0.518	1.6187036494088e-101	1	SPARC
4.5459465020483e-105	3.78738801184062	0.8	0.134	8.51455779833647e-101	1	LTBP1
2.44721949482508e-103	4.02336983018317	0.802	0.167	4.58364211380738e-99	1	POSTN
1.61852267020657e-98	3.37410625442334	0.806	0.119	3.03149296129691e-94	1	MDK
6.12608789805892e-98	3.17527262725916	0.788	0.158	1.14741626330644e-93	1	THBS2
3.42174551795347e-96	3.41764236089749	0.768	0.125	6.40892935512685e-92	1	PFN2
2.04019716025943e-95	4.22400080279829	0.659	0.055	3.82128928116592e-91	1	COL6A2
4.8060726690393e-94	3.49113722938135	0.759	0.114	9.00177410911061e-90	1	VCAN
5.85128752097678e-88	5.13599011767781	0.617	0.038	1.09594615267895e-83	1	DPT
1.15370362061285e-83	2.66428486156585	0.773	0.216	2.16088688140786e-79	1	DCN
7.6181647276575e-83	1.91302169831193	0.961	0.601	1.42688225349025e-78	1	COL1A2
1.64812336729664e-81	5.71191723706107	0.555	0.035	3.08693506694661e-77	1	FBN1
2.23392036474491e-81	4.11184239582122	0.607	0.052	4.18413284316722e-77	1	AEBP1
2.09803681499762e-79	2.62759010322696	0.783	0.218	3.92962295449053e-75	1	KRT18
1.52212791718783e-78	-3.74496596672821	0.216	0.736	2.8509455888928e-74	1	LOC138562538
1.36169788573109e-75	3.74800950986343	0.642	0.119	2.55046013997433e-71	1	TNC
2.09804952947413e-74	3.21455688861699	0.637	0.111	3.92964676870504e-70	1	COL12A1
4.53134343101202e-74	2.21518154170689	0.698	0.167	8.48720624628551e-70	1	TGFBI
2.78354840994043e-73	3.42307313677697	0.604	0.084	5.21358617181843e-69	1	CTSG
2.9298113531993e-72	3.42792767650169	0.556	0.059	5.48753666454229e-68	1	MMP2
2.00141464805502e-70	1.75439078011216	0.94	0.524	3.74864963580706e-66	1	COL1A1
2.67425669282729e-68	3.93022469501802	0.527	0.033	5.00888278566551e-64	1	CDH11
6.28929273634431e-68	4.48350746624095	0.562	0.057	1.17798452951729e-63	1	RARRES1
1.03195762363161e-67	3.8679243159702	0.514	0.043	1.93285662906201e-63	1	OGN
3.67844690547578e-67	2.57072508604197	0.711	0.218	6.88973105395613e-63	1	LRP1
6.18126502675623e-67	4.42724453072582	0.499	0.028	1.15775093951144e-62	1	PRRX1
7.83871315440769e-66	4.39434874788683	0.498	0.057	1.46819097382056e-61	1	PTX3
8.73407146961247e-66	3.54310711358619	0.545	0.064	1.63589158625842e-61	1	RBMS3
3.62114567064267e-65	1.99298527489352	0.861	0.337	6.78240584111371e-61	1	ITGBL1
2.74595656401806e-64	2.74628216988192	0.724	0.227	5.14317664440583e-60	1	LOC138487902
2.76198325855596e-64	3.86483124731644	0.508	0.044	5.17319464327531e-60	1	NID2
