p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.52212791718783e-78	-3.74496596672821	0.216	0.736	2.8509455888928e-74	1	LOC138562538	down
2.31910682364661e-60	-3.69477036877084	0.091	0.537	4.3436870806901e-56	1	DSP	down
2.98296166131725e-60	-3.33944341338785	0.184	0.64	5.58708719164721e-56	1	EPCAM	down
6.00610934620364e-60	-3.55602627633766	0.171	0.628	1.12494428054394e-55	1	PINLYP	down
5.90434100668472e-57	-2.83305892790389	0.566	0.826	1.10588307055205e-52	1	KRT1	down
3.86812373074586e-54	-2.92072154748852	0.566	0.814	7.24499574768699e-50	1	S100P	down
8.58363596752224e-54	-3.45566949642484	0.219	0.619	1.60771501671692e-49	1	TGM3	down
6.38987508584562e-53	-2.3600616807832	0.265	0.685	1.19682360357888e-48	1	C2PH19orf33	down
2.6918589975738e-52	-3.43993876074082	0.094	0.527	5.04185190245573e-48	1	CLDN7	down
5.77320682548417e-50	-3.71948751869257	0.069	0.446	1.08132163841318e-45	1	TTN	down
7.86725886957245e-50	-3.48442197850043	0.578	0.803	1.47353758627092e-45	1	S100A4	down
4.5080031702219e-49	-3.61340080392654	0.114	0.513	8.44348993782562e-45	1	MPEG1	down
3.69145589087566e-48	-4.34259470888492	0.031	0.393	6.91409688361011e-44	1	OTOA	down
1.30883500900013e-46	-4.4801955054131	0.049	0.394	2.45144797185725e-42	1	LOC138511169	down
7.24511682362364e-46	-3.38582256027561	0.058	0.43	1.35701038106471e-41	1	TRIM29	down
1.11844582932391e-45	-3.11746521402113	0.101	0.489	2.09484903832369e-41	1	SERPINB1	down
2.68387582466643e-45	-3.11119921554363	0.133	0.538	5.02689941960022e-41	1	RihA	down
6.90345017464331e-44	-2.96240743437394	0.086	0.462	1.29301621771069e-39	1	SERPINB5	down
3.77485129167923e-43	-2.86182875908157	0.205	0.555	7.07029646931519e-39	1	EPPK1	down
9.71805883092136e-43	-3.65858162595475	0.421	0.716	1.82019241903157e-38	1	LOC138580807	down
1.60444160828073e-41	-4.74320943234422	0.054	0.423	3.0051191323098e-37	1	LPO	down
2.48539957954829e-41	-2.48280583546235	0.251	0.633	4.65515341249395e-37	1	TCHH	down
2.57248979522306e-41	-3.2803009730792	0.057	0.384	4.8182733864528e-37	1	PKP1	down
7.50926724877657e-41	-3.13948152352277	0.14	0.532	1.40648575569585e-36	1	DSG2	down
5.94999878771436e-40	-1.36762678310884	0.626	0.842	1.1144347729389e-35	1	CAPG	down
1.23027275947456e-39	-2.86342485376409	0.117	0.487	2.30430087849584e-35	1	LOC138582574	down
1.89040206693294e-39	-2.32537195427495	0.156	0.504	3.5407230713654e-35	1	PGD	down
3.2211052363102e-39	-2.04144748166249	0.333	0.696	6.033130107609e-35	1	S100A13	down
2.94682684364615e-38	-3.08538860754719	0.077	0.438	5.51940667814924e-34	1	FXYD3	down
6.53072876811592e-37	-3.14231149911569	0.085	0.407	1.22320549826811e-32	1	IFI27	down
3.13599941718861e-159	4.6388319711614	0.976	0.217	5.87372690839426e-155	1	COL3A1	up
7.9503907692036e-142	3.86489642494478	0.91	0.121	1.48910819107183e-137	1	FBN2	up
1.93384394999796e-141	4.11918829228547	0.948	0.261	3.62208971834618e-137	1	FSTL1	up
4.91496776318325e-130	4.02474628300789	0.845	0.109	9.20573462044223e-126	1	LUM	up
3.19524437310479e-129	3.52626919694803	0.935	0.253	5.98469271082526e-125	1	COL5A2	up
7.63476658178938e-122	3.73463130940346	0.899	0.176	1.42999178076915e-117	1	COL5A1	up
2.87675731238342e-119	4.33887083987275	0.772	0.071	5.38816644609414e-115	1	COL6A1	up
1.87483411881164e-115	3.32266478574432	0.845	0.117	3.51156430453421e-111	1	FN1	up
1.10108849594501e-114	4.17399661445191	0.749	0.058	2.06233875290501e-110	1	BGN	up
5.08764722364006e-112	4.74824484538998	0.756	0.085	9.52916324987783e-108	1	COL6A3	up
8.64230458840791e-106	2.15823498998915	0.966	0.518	1.6187036494088e-101	1	SPARC	up
4.5459465020483e-105	3.78738801184062	0.8	0.134	8.51455779833647e-101	1	LTBP1	up
2.44721949482508e-103	4.02336983018317	0.802	0.167	4.58364211380738e-99	1	POSTN	up
1.61852267020657e-98	3.37410625442334	0.806	0.119	3.03149296129691e-94	1	MDK	up
6.12608789805892e-98	3.17527262725916	0.788	0.158	1.14741626330644e-93	1	THBS2	up
