p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.79241596912107e-113	1.71983784984509	0.998	0.775	3.37314761228894e-109	1	PRDX1
5.9105761343246e-107	2.06213162750751	0.997	0.745	1.11231132271855e-102	1	S100A4
2.92864207682077e-105	2.07312193779266	0.97	0.429	5.51141152436901e-101	1	RihA
7.26437260065488e-100	1.92782214069076	0.999	0.635	1.36708227971724e-95	1	LOC138580807
5.41659638066322e-99	1.86079453510942	0.998	0.818	1.01934927287701e-94	1	S100G
8.92941353323705e-97	2.69351785441007	0.88	0.232	1.68042633281988e-92	1	AVR4
3.74899747627305e-96	1.41675146408375	1	0.918	7.05523835059825e-92	1	KRT5
2.55874616211819e-91	1.6117245334941	1	0.756	4.81530440249021e-87	1	S100P
2.36328067623814e-89	2.02875214874405	0.884	0.306	4.44745790461255e-85	1	LPO
7.78356989666166e-89	1.67080481011662	0.984	0.508	1.46479001885276e-84	1	TGM3
9.2331362630365e-89	3.05594995368641	0.898	0.472	1.73758391334084e-84	1	LOC138472539
5.69104539671619e-87	2.29524827899496	0.853	0.25	1.07099783320802e-82	1	LOC138528712
3.53447139053593e-86	1.4797252777584	0.999	0.607	6.65152170984957e-82	1	S100A13
9.9126070712879e-84	3.14786236185528	0.857	0.438	1.86545352474567e-79	1	LOC138472541
2.84158958504263e-81	1.60017469278669	0.908	0.417	5.34758744009173e-77	1	PRDX5
2.23711253569214e-80	1.6821044076135	0.952	0.46	4.21002208091903e-76	1	MGST3
3.61346546051223e-80	2.64262962170349	0.763	0.159	6.80018065013797e-76	1	WFDC3
1.57535109344521e-79	1.79763071321909	0.913	0.333	2.96465322275455e-75	1	FXYD3
8.75646152397987e-79	1.29895244541505	0.998	0.889	1.64787849419777e-74	1	TXN
4.57450221180378e-76	1.91843429014907	0.863	0.377	8.60875571239353e-72	1	CA5A
5.7236580257546e-76	0.788271132780753	1	0.999	1.07713520386676e-71	1	CIRP
1.36603014713866e-74	1.71090793115347	0.928	0.451	2.57073213390024e-70	1	GSTP1
4.96632491790078e-74	1.14193129201867	0.991	0.787	9.34612686299747e-70	1	LOC138516040
3.4426069102845e-73	1.92969233405001	0.818	0.265	6.47864194446441e-69	1	A2M
4.09735749804165e-72	2.71436977672437	0.686	0.157	7.71081707556458e-68	1	LOC138525707
9.63971990988825e-72	1.51457613125423	0.882	0.359	1.81409888984187e-67	1	SERPINB5
2.50380852735926e-71	1.28294697904155	0.963	0.603	4.7119172676374e-67	1	CAPNS1
2.40511029086171e-69	0.823327202092373	1	0.941	4.52617705637265e-65	1	S100A11
2.21517388299165e-68	3.26798533868685	0.793	0.402	4.16873573040199e-64	1	LOC138472538
3.13284146650257e-68	3.5860753723916	0.648	0.186	5.8956943558112e-64	1	LOC138472542
1.58218219083549e-67	2.00268459293318	0.896	0.549	2.97750866493331e-63	1	KRT19
3.53036263571349e-66	0.791163989989579	0.998	0.97	6.64378944414922e-62	1	RPS18
8.47829993831485e-66	1.51135407030462	0.961	0.628	1.59553126539147e-61	1	LOC138562538
1.45180883322172e-65	2.43598168112163	0.815	0.306	2.73215904323995e-61	1	FABP2
7.47518118052222e-65	-5.35815632392289	0.109	0.549	1.40675434636248e-60	1	VIM
1.73911501496083e-64	1.47190049446208	0.911	0.382	3.27284054665479e-60	1	LOC138582574
2.58382812689142e-63	1.36003552809817	0.979	0.766	4.86250615199697e-59	1	KRT1
2.02432224605291e-61	1.16745975771023	0.954	0.656	3.80957203484697e-57	1	ATP5MC3
1.11978075188522e-60	0.786301092888068	1	0.993	2.1073153969728e-56	1	RPS2
2.47403527625879e-60	0.913413751155178	0.998	0.89	4.65588698639142e-56	1	LGALS4
3.57805105230456e-59	1.66917092594598	0.922	0.546	6.73353427533194e-55	1	GSTM4
