p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.30778383996288e-79	-3.95082979071246	0.198	0.734	2.46085685165816e-75	1	LOC138562538	down
2.92800231735153e-66	-3.71347155929932	0.161	0.628	5.50962196056037e-62	1	PINLYP	down
2.88100400220271e-64	-3.51791761565265	0.174	0.64	5.42118523094485e-60	1	EPCAM	down
5.60420020953196e-63	-3.22826770909066	0.541	0.819	1.05454235342763e-58	1	S100P	down
2.03831235782537e-62	-3.58095833458421	0.089	0.53	3.83549236372e-58	1	CLDN7	down
4.99053506966848e-62	-3.90894373137666	0.08	0.534	9.39068984059518e-58	1	DSP	down
6.95784751634098e-61	-2.52387658664397	0.672	0.885	1.30925816714988e-56	1	PMP2	down
2.44931806029493e-59	-2.51453491435833	0.255	0.689	4.60888179405696e-55	1	C2PH19orf33	down
8.33355050740844e-58	-3.03918766420203	0.538	0.827	1.56812419897905e-53	1	KRT1	down
6.41882495645445e-56	-3.30910343875543	0.128	0.546	1.20783029205603e-51	1	RihA	down
5.53495322010924e-55	-3.49927270619114	0.208	0.616	1.04151214742796e-50	1	TGM3	down
7.04118868274928e-53	-3.65823621346872	0.556	0.807	1.32494047443293e-48	1	S100A4	down
1.55096502332258e-49	-4.81484410541737	0.052	0.422	2.91845088438609e-45	1	LPO	down
4.04516642321401e-49	-2.09235010133547	0.324	0.701	7.6117896585618e-45	1	S100A13	down
1.32224272824637e-48	-3.40844389031203	0.069	0.45	2.48806414174119e-44	1	FXYD3	down
2.77825896329259e-48	-2.78875124951804	0.118	0.475	5.22784989122767e-44	1	SPINT2	down
4.11132011081967e-48	-3.86426417684185	0.4	0.719	7.73627105252937e-44	1	LOC138580807	down
1.01752684709171e-47	-3.26388034586205	0.094	0.491	1.91468026817247e-43	1	SERPINB1	down
3.87067557249325e-47	-3.18822147117641	0.134	0.529	7.28345022476055e-43	1	DSG2	down
2.97554552202828e-46	-2.82125892538245	0.133	0.478	5.59908400880062e-42	1	CA5A	down
3.44000023799431e-46	-4.24671156944832	0.064	0.432	6.47304844783389e-42	1	TTN	down
4.30918772296507e-46	-4.59587771187652	0.027	0.387	8.10859853830337e-42	1	OTOA	down
1.19909525409665e-44	-3.48851348198536	0.054	0.425	2.25633753963367e-40	1	TRIM29	down
2.72301216518383e-44	-3.04013851617453	0.109	0.494	5.12389199122642e-40	1	LOC138582574	down
4.11924423656713e-44	-2.50653289970073	0.246	0.62	7.75118187994838e-40	1	TCHH	down
1.08831936714307e-42	-3.61501948563972	0.112	0.497	2.04789055315312e-38	1	MPEG1	down
2.42303197739399e-42	-3.39985539820481	0.052	0.377	4.55941927186226e-38	1	PKP1	down
1.21057643131941e-41	-3.39045751237787	0.247	0.6	2.27794167081374e-37	1	LOC138472551	down
