p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.84864221967787e-136	8.99453096655094	0.912	0.004	7.01427661405967e-132	1	RELN
4.98353414785637e-128	7.3870258971787	0.908	0.031	5.97675250352415e-124	1	HAPLN3
1.26800213221734e-113	4.41494317774366	0.967	0.195	1.52071495716826e-109	1	MRC1
4.10902112822893e-97	4.1651420341135	0.866	0.133	4.92794903908495e-93	1	NRP2
4.82667098196813e-94	4.99998245227432	0.736	0.038	5.78862650867438e-90	1	UNC5B
2.32689853980068e-90	3.63695971278123	0.937	0.345	2.79064941878295e-86	1	CTSL
1.1673347291583e-88	5.75453920737864	0.699	0.026	1.39998454067955e-84	1	NFIX
7.03193482191883e-81	6.26623767439919	0.628	0.015	8.43339943192725e-77	1	FGF10
2.9889497113013e-80	6.19275707675664	0.619	0.016	3.58464738876365e-76	1	PROX1
9.28826102558893e-76	4.80175634206862	0.628	0.033	1.11394114479888e-71	1	SRGN
6.72711834200971e-74	-5.77558572159328	0.029	0.81	8.06783302757224e-70	1	CD34
1.66318340741962e-73	6.38805823714467	0.573	0.01	1.99465586051835e-69	1	PDPN
1.08442447557416e-70	-3.02623293302213	0.548	0.947	1.30055027355609e-66	1	PMP2
2.72491639432836e-68	2.74944306532555	0.87	0.322	3.267992231718e-64	1	MMRN1
1.70004661361825e-65	8.99825405259366	0.506	0.002	2.03886590371237e-61	1	STAB2
7.36070017322314e-65	4.11041562903103	0.615	0.048	8.82768771774651e-61	1	GPNMB
2.67901704297928e-64	3.73196463892627	0.669	0.089	3.21294513964505e-60	1	FLT4
7.39204907022773e-63	-5.24329373945152	0.042	0.733	8.86528444992411e-59	1	RAMP3
9.8870868000131e-61	2.24114188531568	0.904	0.439	1.18575831992557e-56	1	FAM107B
2.4903244730549e-60	5.24203797952786	0.506	0.018	2.98664614053474e-56	1	SEMA3A
2.99348402369148e-57	2.97512977968199	0.72	0.165	3.5900853896132e-53	1	CADM1
6.82557901233475e-57	-7.28348282956722	0.004	0.667	8.18591690949307e-53	1	ESAM
1.01534536087884e-55	4.92885592710531	0.506	0.028	1.21770369130199e-51	1	GAS7
4.21889411284049e-55	2.16367256999309	0.967	0.66	5.0597197095296e-51	1	PRSS23
6.35894014759321e-54	3.74987301833879	0.603	0.074	7.62627691900853e-50	1	NR6A1
1.44493504599826e-52	4.89476703652603	0.452	0.02	1.73291060066571e-48	1	SNCA
6.66779708621143e-50	2.5987910788623	0.732	0.2	7.99668904549337e-46	1	IQSEC1
1.97069047159049e-49	3.83993953595651	0.536	0.059	2.36344908257847e-45	1	FGL2
4.48952985018202e-49	-6.67490777162411	0.008	0.576	5.3842931493233e-45	1	PLCB1
1.52198607492546e-48	2.50998656623544	0.741	0.241	1.8253178996581e-44	1	ADD3
6.42562785764467e-48	2.93198493384271	0.649	0.158	7.70625548967326e-44	1	APCS
3.93616876671771e-47	1.70977693147625	0.9	0.496	4.72064720192455e-43	1	SPARC
7.27012757236488e-47	3.52387209249039	0.527	0.058	8.7190639975372e-43	1	PDGFC
8.98280335715322e-47	-5.33087488415474	0.021	0.596	1.07730760662339e-42	1	NOS3
1.09753529264981e-46	5.31628699452404	0.406	0.012	1.31627407647492e-42	1	DOCK5
2.34320111783414e-46	-4.18375595662024	0.113	0.651	2.81020110061849e-42	1	AQP1
1.62819635481961e-45	-3.27484847332636	0.117	0.688	1.95269588833515e-41	1	KDR
2.98878685470113e-45	-1.82058901814549	0.556	0.903	3.58445207484306e-41	1	KRT18
4.82340381655206e-45	3.27525972626399	0.569	0.105	5.78470819719088e-41	1	EXOC6
1.04290366466603e-44	-4.41268936979447	0.05	0.613	1.25075436503397e-40	1	JAG2
1.20998501973013e-43	5.07076655237803	0.397	0.014	1.45113503416235e-39	1	PLCE1
