p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
6.72711834200971e-74	-5.77558572159328	0.029	0.81	8.06783302757224e-70	1	CD34	down
1.08442447557416e-70	-3.02623293302213	0.548	0.947	1.30055027355609e-66	1	PMP2	down
7.39204907022773e-63	-5.24329373945152	0.042	0.733	8.86528444992411e-59	1	RAMP3	down
6.82557901233475e-57	-7.28348282956722	0.004	0.667	8.18591690949307e-53	1	ESAM	down
4.48952985018202e-49	-6.67490777162411	0.008	0.576	5.3842931493233e-45	1	PLCB1	down
8.98280335715322e-47	-5.33087488415474	0.021	0.596	1.07730760662339e-42	1	NOS3	down
2.34320111783414e-46	-4.18375595662024	0.113	0.651	2.81020110061849e-42	1	AQP1	down
1.62819635481961e-45	-3.27484847332636	0.117	0.688	1.95269588833515e-41	1	KDR	down
2.98878685470113e-45	-1.82058901814549	0.556	0.903	3.58445207484306e-41	1	KRT18	down
1.04290366466603e-44	-4.41268936979447	0.05	0.613	1.25075436503397e-40	1	JAG2	down
7.31813846928922e-43	-4.93214889798426	0.025	0.558	8.77664346621856e-39	1	NRP1	down
9.39456932804465e-43	-4.86375363496365	0.025	0.559	1.1266906995124e-38	1	SLC29A1	down
3.74549349893443e-41	-3.17941037541953	0.126	0.65	4.49197035327206e-37	1	KIAA1217	down
4.50324039988984e-41	-4.29282069414655	0.033	0.562	5.40073621158789e-37	1	ARHGEF9	down
1.21056319066437e-39	-3.23086820340379	0.1	0.598	1.45182843456378e-35	1	COL4A1	down
7.64534166668868e-39	-7.69265332181406	0	0.473	9.16905826085973e-35	1	APLNR	down
1.13632974470777e-38	-2.78762504084084	0.176	0.674	1.36280026282803e-34	1	PODXL	down
1.90813238520614e-38	-1.46418641177333	0.69	0.916	2.28842316957773e-34	1	KRT8	down
3.59650408115766e-38	-1.92569917627968	0.427	0.837	4.31328734453239e-34	1	PLVAP	down
3.42087957404246e-37	-4.25127424865688	0.038	0.524	4.10266087314912e-33	1	CD93	down
2.4275012891545e-36	-1.46850466630659	0.678	0.91	2.91130229608299e-32	1	CRIP1	down
3.49963787559567e-35	-3.05835544050953	0.1	0.612	4.19711570420188e-31	1	SPACA4	down
4.90372628682755e-34	-3.48644519849512	0.071	0.527	5.88103893579228e-30	1	FCN1	down
1.52117873429523e-33	-3.30653075404982	0.092	0.553	1.82434965604027e-29	1	COL4A2	down
1.6094275741775e-32	-3.12624867233514	0.213	0.665	1.93018648971107e-28	1	INSR	down
9.22426807785968e-31	-2.87467728399989	0.18	0.624	1.10626647057771e-26	1	ARL15	down
1.43399563533022e-30	-4.61908586135165	0.021	0.437	1.71979096545153e-26	1	EPAS1	down
3.51411469073441e-30	-2.98143095905312	0.084	0.478	4.21447774859777e-26	1	EZR	down
9.42222836308714e-30	-5.32957924415667	0.008	0.437	1.13000784758504e-25	1	PCDH1	down
1.02081525845861e-29	-2.18149625813676	0.272	0.688	1.22426373946941e-25	1	CD2	down
3.04720234827767e-28	-4.62895048126121	0.017	0.415	3.65450977628941e-24	1	LHFPL7	down
5.82586419016633e-28	-4.85747421246737	0.025	0.436	6.98695892326648e-24	1	TACR1	down
3.139118272235e-27	-4.9474336264352	0.013	0.401	3.76474454389144e-23	1	MCAM	down
2.11130683566459e-26	-7.22126743312152	0	0.379	2.53209028801254e-22	1	SMAD6	down
3.2535025967472e-25	-3.00956010759068	0.075	0.447	3.90192566427892e-21	1	ADGRL2	down
4.78549270236287e-25	-4.02978628831276	0.046	0.431	5.73924139794378e-21	1	PDGFD	down
6.37278700462278e-25	-2.53022365155052	0.176	0.569	7.6428834546441e-21	1	LOC138567840	down
3.82939564167141e-24	-5.96798100383929	0.004	0.359	4.59259419305652e-20	1	ARHGEF28	down
1.0405761526911e-23	-2.53057569153199	0.126	0.534	1.24796297992244e-19	1	DLK1	down
1.20331319674502e-23	-1.68070825014641	0.238	0.614	1.44313351685631e-19	1	PTGS2	down
1.47068031535857e-23	-2.95859333430875	0.071	0.447	1.76378690220953e-19	1	ACVRL1	down
1.61207708607004e-23	-4.52131668127587	0.033	0.362	1.9333640493238e-19	1	HS3ST1	down
1.88965551134374e-23	-2.23468353108876	0.134	0.507	2.26626385475455e-19	1	ITGA6	down
3.47264472188341e-23	-4.0690173240024	0.042	0.37	4.16474281495477e-19	1	RHAG	down
1.00500209869471e-22	-5.02792354429557	0.008	0.32	1.20529901696457e-18	1	DNASE1L3	down
1.93759465902606e-22	-3.62813100095466	0.029	0.361	2.32375727456996e-18	1	F8	down
4.72688612213958e-22	-5.18327784724026	0.008	0.331	5.66895452628199e-18	1	PCDH17	down
1.01734961552836e-21	-2.65412620948761	0.071	0.386	1.22010739390316e-17	1	TNFAIP8L1	down
1.11628533058425e-21	-4.14597930581728	0.021	0.344	1.33876099696969e-17	1	PTGIS	down
4.29371675571063e-21	-6.69265332181406	0	0.311	5.14945450512376e-17	1	MECOM	down
5.45287441930519e-21	-1.85295708737629	0.209	0.582	6.53963229107272e-17	1	GNAI2	down
1.15651157095715e-20	-1.60915332614039	0.364	0.686	1.38700432704892e-16	1	PECAM1	down
1.83098042303521e-20	-1.73968894048592	0.243	0.597	2.19589482134613e-16	1	GRB10	down
2.61762339200781e-20	-3.49566809390526	0.038	0.362	3.13931573403497e-16	1	CD200	down
3.82441886211107e-20	-6.50854938520199	0	0.267	4.58662554132981e-16	1	LHX6	down
1.10386318696288e-19	-6.54025824492933	0	0.291	1.32386312012458e-15	1	SUSD1	down
1.13400646983174e-19	-2.34052141893227	0.121	0.441	1.36001395926921e-15	1	ID3	down
1.33931575012316e-19	-2.10415913012265	0.13	0.506	1.6062413791227e-15	1	DYSF	down
1.82458236333856e-19	-1.49034176672931	0.335	0.639	2.18822162835193e-15	1	SH3BGRL3	down
2.70039416265819e-19	-3.65228486266344	0.025	0.303	3.23858271927597e-15	1	PTPRG	down
7.30442015038936e-19	-4.45132451650904	0.017	0.304	8.76019108636196e-15	1	SELP	down
8.40961206981995e-19	-2.88843043906722	0.059	0.345	1.00856477553351e-14	1	PTGS1	down
4.68648084151559e-18	-4.04644363226637	0.017	0.286	5.62049647322964e-14	1	VEGFC	down
5.72763849790018e-18	-1.29586513686032	0.351	0.669	6.86915685053169e-14	1	TIE1	down
5.87187972035471e-18	-3.57128514054995	0.029	0.319	7.0421453486214e-14	1	SEMA3G	down
7.03425306838892e-18	-1.21368151678112	0.552	0.789	8.43617970491883e-14	1	PRDX1	down
1.43226164719781e-17	-3.43286045360544	0.033	0.316	1.71771139348433e-13	1	EFNB2	down
2.50127211081355e-17	-1.60357599258776	0.51	0.716	2.99977564249869e-13	1	ACTG1	down
2.59080457824481e-17	-2.64813321939297	0.046	0.315	3.107151930689e-13	1	FCRL5	down
4.08937989763722e-17	-6.29746705900292	0	0.255	4.90439331123632e-13	1	LOC138511292	down
1.10622894699651e-16	-4.13563736159582	0.017	0.258	1.32670037613291e-12	1	MEOX2	down
1.48095977463588e-16	-2.88706100845572	0.042	0.309	1.77611505772081e-12	1	NPDC1	down
1.55407041242854e-16	-3.72635453704278	0.021	0.281	1.86379664562555e-12	1	LAMA5	down
5.47311351080221e-16	-1.68634561489996	0.192	0.479	6.56390503350509e-12	1	PDLIM4	down
6.05751476662004e-16	-4.68912163084381	0.008	0.263	7.26477745960742e-12	1	FLT1	down
1.26558996984636e-15	-1.00133197922013	0.456	0.722	1.51782205083674e-11	1	CAVIN2	down
3.94960278056249e-15	-1.88500442216178	0.142	0.428	4.7367586147286e-11	1	PINLYP	down
4.09055946062019e-15	-3.76776208008337	0.021	0.258	4.90580796112179e-11	1	SH3RF3	down
4.22885219013393e-15	-2.01669628887231	0.134	0.396	5.07166243162763e-11	1	CETP	down
1.19073011501235e-14	-2.21636863370868	0.092	0.36	1.42804262693431e-10	1	ASS1	down
1.69674650941107e-14	-2.12103294868705	0.05	0.28	2.0349080887367e-10	1	ARHGAP20	down
2.41483859292857e-14	-3.54919136969933	0.025	0.276	2.89611592449923e-10	1	MAST4	down
2.43661813000287e-14	-1.09940733978187	0.498	0.714	2.92223612331244e-10	1	ALDOA	down
3.43931988783712e-14	-3.2646238023159	0.029	0.263	4.12477634148305e-10	1	WIF1	down
4.72047289333892e-14	-4.50319615070778	0.008	0.232	5.66126314098136e-10	1	GPR68	down
4.91524949637997e-14	-1.97578309560626	0.155	0.431	5.8948587210085e-10	1	NOTCH1	down
6.64859967833856e-14	-3.45410160117961	0.029	0.296	7.97366559423144e-10	1	LOC138510069	down
8.84168133674585e-14	-4.81111215522242	0.004	0.206	1.06038284271593e-09	1	LOC138567585	down
9.05501850401177e-14	-4.5191966294015	0.008	0.203	1.08596836918613e-09	1	CRTAC1	down
9.39848954705982e-14	-3.33862438375968	0.021	0.237	1.12716085137888e-09	1	MCF2L	down
1.58850073988683e-13	-3.44774610613979	0.05	0.293	1.90508893734628e-09	1	SLC16A2	down
2.98943083442019e-13	-1.74816290263403	0.167	0.451	3.58522439972013e-09	1	CAMK1	down
3.30299750334454e-13	-0.912278393941653	0.753	0.879	3.9612849057611e-09	1	HSPG2	down
5.95017083425739e-13	-1.89843340725249	0.1	0.329	7.13603988152489e-09	1	PLPP1	down
6.70126013470226e-13	-2.50212311604256	0.046	0.288	8.03682127954842e-09	1	ADAM15	down
7.75970330402198e-13	-1.68654768717998	0.159	0.433	9.30621217251356e-09	1	ROBO4	down
