p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.43172808267194e-134	8.74447771908554	0.898	0.005	1.76202775134436e-130	1	RELN
4.24517441171923e-130	7.84251136747122	0.906	0.025	5.22453614850286e-126	1	HAPLN3
2.21929140277512e-117	4.49702811344901	0.965	0.179	2.73128192939534e-113	1	MRC1
1.20528163400218e-100	4.16459032454014	0.863	0.128	1.48334010696648e-96	1	NRP2
1.50544411682984e-88	5.51430794715737	0.702	0.028	1.85275007458248e-84	1	NFIX
1.94531041747529e-87	3.58891649380204	0.925	0.341	2.39409353078684e-83	1	CTSL
1.50432197513637e-84	4.79866919419138	0.718	0.04	1.85136905480034e-80	1	UNC5B
3.21317618129819e-80	6.37524390941982	0.6	0.013	3.95445592632368e-76	1	PROX1
4.38045876202398e-77	-5.36171084715279	0.031	0.796	5.39103059842291e-73	1	CD34
8.39823270156375e-76	4.50921308003461	0.635	0.038	1.03357049858145e-71	1	SRGN
8.15488845065069e-75	5.80006242949125	0.612	0.019	1.00362212162158e-70	1	FGF10
1.53546997806537e-71	6.29278174922785	0.561	0.011	1.88970290200505e-67	1	PDPN
2.12023825920983e-69	-2.77985539932928	0.522	0.945	2.60937722560954e-65	1	PMP2
1.48989211266086e-68	9.0703893278914	0.518	0.002	1.83361022305171e-64	1	STAB2
2.41870155809299e-68	3.79276239820242	0.671	0.081	2.97669600754504e-64	1	FLT4
5.03625031246555e-67	4.1779424690462	0.604	0.046	6.19811325955135e-63	1	GPNMB
1.81824090916399e-66	2.79534883589977	0.859	0.3	2.23770908690813e-62	1	MMRN1
4.07329522532305e-66	2.2512029772904	0.906	0.42	5.01300443380507e-62	1	FAM107B
9.29576391258561e-64	-5.22427559888338	0.039	0.716	1.14402966472191e-59	1	RAMP3
5.9562555988336e-58	3.65372515684152	0.592	0.074	7.33036376548451e-54	1	NR6A1
1.28952257097673e-57	-7.26737193126527	0.004	0.651	1.58701542810106e-53	1	ESAM
7.74801099605778e-57	5.21996568394191	0.482	0.018	9.5354771328483e-53	1	SEMA3A
2.77070875980245e-56	2.17500495004155	0.961	0.65	3.40991127068887e-52	1	PRSS23
4.93136602063607e-54	2.86296586260015	0.698	0.168	6.06903216159681e-50	1	CADM1
1.62976341435189e-53	3.62864301844131	0.529	0.056	2.00574983404287e-49	1	PDGFC
3.66100297646278e-52	4.72221713375351	0.486	0.03	4.50559636313274e-48	1	GAS7
5.57476567140687e-52	5.098403704061	0.439	0.017	6.86086411180043e-48	1	SNCA
1.11396943996592e-50	2.54699376305086	0.725	0.224	1.37096218976606e-46	1	ADD3
2.59132599021749e-49	-3.49646264412256	0.102	0.667	3.18914489616066e-45	1	KDR
5.96037807965753e-48	1.54973511617756	0.898	0.479	7.33543730263453e-44	1	SPARC
8.54491438297272e-48	-5.52750803543034	0.02	0.573	1.05162261311245e-43	1	NOS3
3.25605625423527e-47	-4.23720996075502	0.102	0.638	4.00722843208734e-43	1	AQP1
4.49171625067931e-47	-4.51015915571907	0.043	0.596	5.52795518971102e-43	1	JAG2
3.39758987978083e-46	3.71989208080726	0.447	0.05	4.18141386504626e-42	1	VEGFA
6.96905976701664e-46	3.78767019524212	0.525	0.06	8.57682185526738e-42	1	FGL2
9.61195315603507e-46	-6.64885687083309	0.008	0.554	1.18294307491324e-41	1	PLCB1
5.36328362619201e-45	-5.14635653030391	0.02	0.543	6.60059315875451e-41	1	NRP1
1.1165763907637e-44	2.54996707936495	0.71	0.194	1.37417056411289e-40	1	IQSEC1
1.62867361381653e-44	2.86806252960906	0.631	0.158	2.00440861652401e-40	1	APCS
2.81159305320837e-44	4.82246181444781	0.396	0.017	3.46022757058354e-40	1	DOCK5
6.92086887747612e-44	-4.36660606964091	0.031	0.535	8.51751332750986e-40	1	ARHGEF9
1.39969263217416e-43	-1.82586395298861	0.522	0.883	1.72260172241674e-39	1	KRT18
1.46865896875612e-43	-1.99084683785635	0.38	0.822	1.80747859284816e-39	1	PLVAP
8.45296864291086e-43	-2.81936811791393	0.165	0.657	1.04030685088304e-38	1	PODXL
1.0500119001832e-42	-3.27550868462092	0.114	0.636	1.29224964555546e-38	1	KIAA1217
3.0101123415188e-42	2.31605278813328	0.78	0.334	3.70454525870719e-38	1	STAB1
3.72260730310994e-42	2.73404617511712	0.592	0.131	4.5814128079374e-38	1	SERPINE2
5.187949633711e-42	-5.03785507549544	0.024	0.539	6.38480961420813e-38	1	SLC29A1
7.09902210352572e-42	3.79028140869866	0.439	0.045	8.7367665028091e-38	1	ENPP2
1.63497571808184e-41	3.17150419498526	0.541	0.101	2.01216461624332e-37	1	EXOC6
5.39111174701621e-41	6.04182017569463	0.322	0.005	6.63484122705286e-37	1	ABLIM2
6.61429638414679e-41	3.87455032559627	0.416	0.031	8.14021455996945e-37	1	ITGB3
3.22524596981285e-40	4.4927875321215	0.373	0.02	3.96931021504867e-36	1	PLCE1
1.7737096469055e-39	1.56741697851099	0.859	0.559	2.1829044624466e-35	1	MARCKS
2.61946721975133e-39	4.77878576986083	0.357	0.015	3.22377830734796e-35	1	PGF
5.1428079742358e-39	-1.50733159013324	0.631	0.893	6.329253773892e-35	1	KRT8
8.25708910134785e-39	2.811266433828	0.518	0.126	1.01619995570288e-34	1	CEMIP2
1.52663466676568e-38	-3.4093909361377	0.094	0.585	1.87882928438852e-34	1	COL4A1
8.11507370506089e-38	2.92381339297283	0.533	0.111	9.98722120881844e-34	1	CLCA1
2.69794271093208e-37	3.9454517812224	0.388	0.037	3.3203580943441e-33	1	MAFB
3.2642570015177e-37	3.29918583144173	0.388	0.043	4.01732109176784e-33	1	PLEKHG4B
3.55586314949899e-37	-3.18206862702331	0.192	0.649	4.3762007780884e-33	1	INSR
4.72547302702349e-37	-3.0669220628095	0.098	0.601	5.81563965435781e-33	1	SPACA4
8.57788859609505e-37	-7.64643013343855	0	0.457	1.05568074952142e-32	1	APLNR
1.99774633808606e-36	-4.38630732302466	0.031	0.497	2.45862641828252e-32	1	CD93
2.74693968046946e-36	-1.52366723622188	0.635	0.889	3.38065866475377e-32	1	CRIP1
8.28993208525389e-36	1.09640015939096	0.969	0.737	1.0202419417322e-31	1	VWF
1.03654790021533e-35	2.33216192752416	0.569	0.14	1.275679500795e-31	1	EPB41L2
2.25812413830535e-35	-3.44041783175833	0.082	0.542	2.77907337701239e-31	1	COL4A2
3.24105526384668e-35	3.43589344155222	0.431	0.053	3.98876671321611e-31	1	EMILIN1
7.20929954299311e-35	3.70539251111215	0.369	0.036	8.87248494756162e-31	1	LRG1
7.94080637970091e-35	3.32124901977909	0.439	0.065	9.77275041149791e-31	1	GAS6
1.15430659712884e-34	1.78806358344884	0.682	0.245	1.42060512908646e-30	1	VAV3
2.8703720228577e-34	5.13943097232105	0.302	0.011	3.53256684853097e-30	1	GALR1
