p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
4.38045876202398e-77	-5.36171084715279	0.031	0.796	5.39103059842291e-73	1	CD34	down
2.12023825920983e-69	-2.77985539932928	0.522	0.945	2.60937722560954e-65	1	PMP2	down
9.29576391258561e-64	-5.22427559888338	0.039	0.716	1.14402966472191e-59	1	RAMP3	down
1.28952257097673e-57	-7.26737193126527	0.004	0.651	1.58701542810106e-53	1	ESAM	down
2.59132599021749e-49	-3.49646264412256	0.102	0.667	3.18914489616066e-45	1	KDR	down
8.54491438297272e-48	-5.52750803543034	0.02	0.573	1.05162261311245e-43	1	NOS3	down
3.25605625423527e-47	-4.23720996075502	0.102	0.638	4.00722843208734e-43	1	AQP1	down
4.49171625067931e-47	-4.51015915571907	0.043	0.596	5.52795518971102e-43	1	JAG2	down
9.61195315603507e-46	-6.64885687083309	0.008	0.554	1.18294307491324e-41	1	PLCB1	down
5.36328362619201e-45	-5.14635653030391	0.02	0.543	6.60059315875451e-41	1	NRP1	down
6.92086887747612e-44	-4.36660606964091	0.031	0.535	8.51751332750986e-40	1	ARHGEF9	down
1.39969263217416e-43	-1.82586395298861	0.522	0.883	1.72260172241674e-39	1	KRT18	down
1.46865896875612e-43	-1.99084683785635	0.38	0.822	1.80747859284816e-39	1	PLVAP	down
8.45296864291086e-43	-2.81936811791393	0.165	0.657	1.04030685088304e-38	1	PODXL	down
1.0500119001832e-42	-3.27550868462092	0.114	0.636	1.29224964555546e-38	1	KIAA1217	down
5.187949633711e-42	-5.03785507549544	0.024	0.539	6.38480961420813e-38	1	SLC29A1	down
5.1428079742358e-39	-1.50733159013324	0.631	0.893	6.329253773892e-35	1	KRT8	down
1.52663466676568e-38	-3.4093909361377	0.094	0.585	1.87882928438852e-34	1	COL4A1	down
3.55586314949899e-37	-3.18206862702331	0.192	0.649	4.3762007780884e-33	1	INSR	down
4.72547302702349e-37	-3.0669220628095	0.098	0.601	5.81563965435781e-33	1	SPACA4	down
8.57788859609505e-37	-7.64643013343855	0	0.457	1.05568074952142e-32	1	APLNR	down
1.99774633808606e-36	-4.38630732302466	0.031	0.497	2.45862641828252e-32	1	CD93	down
2.74693968046946e-36	-1.52366723622188	0.635	0.889	3.38065866475377e-32	1	CRIP1	down
2.25812413830535e-35	-3.44041783175833	0.082	0.542	2.77907337701239e-31	1	COL4A2	down
8.84414987247433e-34	-3.31300639971336	0.075	0.504	1.08844952480542e-29	1	FCN1	down
2.26479007636936e-33	-2.33470147081268	0.243	0.685	2.78727714698778e-29	1	CD2	down
3.54604137599362e-33	-3.03717471941545	0.153	0.607	4.36411312143535e-29	1	ARL15	down
2.56083672206809e-32	-4.40156294601068	0.031	0.426	3.15162175384919e-28	1	TACR1	down
5.85392046718664e-32	-6.30939514616098	0.004	0.421	7.2044199189666e-28	1	PCDH1	down
5.55839242843878e-31	-4.87505450848651	0.016	0.398	6.8407135616796e-27	1	LHFPL7	down
