p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
5.66901979857875e-105	3.7059842580041	0.966	0.15	6.46891849215821e-101	1	LOC138472551
7.9000396167419e-99	-6.17244192141785	0.025	0.956	9.01473520666418e-95	1	HBB
2.35476890910608e-98	-6.19389560847896	0.038	0.956	2.68702680218095e-94	1	HBA1
6.40918611873861e-96	-5.51436323352154	0.021	0.953	7.31352228009262e-92	1	HBA2
2.86609694935949e-95	-6.42628623408603	0.021	0.94	3.27050322891411e-91	1	FTL
6.87113949579593e-93	3.16447532131759	0.992	0.436	7.84065727865274e-89	1	S100G
1.02730016152149e-88	3.78958525618686	0.866	0.134	1.17225221431217e-84	1	PINLYP
2.44657527354047e-88	3.21582601209605	0.983	0.419	2.79178704463703e-84	1	LOC138580807
3.40684329769881e-86	2.55980883450234	1	0.765	3.88754888700411e-82	1	KRT5
5.55766884413263e-85	3.91034176533969	0.777	0.081	6.34185591803975e-81	1	DSP
1.06178723499872e-77	3.56773606111555	0.765	0.1	1.21160541385704e-73	1	MYO10
1.17557970763037e-75	2.61352245627066	0.958	0.592	1.34145400437702e-71	1	unassigned-gene-2
1.96637107609947e-75	4.00514037115073	0.706	0.072	2.2438260349371e-71	1	EPPK1
4.6257374176797e-75	2.94732428560634	0.916	0.299	5.27842896731431e-71	1	LOC138504630
9.58929309682667e-75	2.70769064241893	0.979	0.499	1.09423423527889e-70	1	S100A4
2.1034884459786e-73	-4.92391109666899	0.029	0.839	2.40029066570618e-69	1	HBBP1
7.10732792112085e-73	3.69859365897572	0.714	0.099	8.110171890791e-69	1	TCHH
4.46856992325591e-72	2.19284035856901	1	0.961	5.09908513942732e-68	1	unassigned-gene-4
9.08957609371731e-72	2.02958923550913	0.983	0.585	1.03721152805408e-67	1	ANXA1
9.17743629540375e-71	2.21845399779932	0.987	0.541	1.04723725566852e-66	1	S100P
1.00557062230847e-70	-1.69597737457611	0.874	0.998	1.1474566371162e-66	1	Fth1
1.24640882016613e-70	4.54419991104302	0.655	0.056	1.42227710469157e-66	1	TTN
1.12563188044917e-69	-5.88555186735309	0.017	0.787	1.28445853878055e-65	1	HEMGN
2.18262095858012e-67	2.28981325627272	0.912	0.366	2.49058877583577e-63	1	TRIM39
5.77200913134426e-67	3.14876379897981	0.819	0.18	6.58643961977694e-63	1	EPCAM
1.80794243962786e-66	3.6383250838015	0.706	0.107	2.06304311785935e-62	1	DSG2
2.40382954204911e-65	4.00451672366692	0.605	0.044	2.74300989043223e-61	1	OTOA
2.97387739881476e-65	5.2416079776989	0.546	0.015	3.39349149978753e-61	1	FAM83B
2.75460050052319e-64	3.15939321441072	0.748	0.126	3.14327463114701e-60	1	CAPN1
1.68928349734799e-63	3.67267507202711	0.647	0.079	1.92764139882379e-59	1	ACTN4
3.43388134120502e-62	3.61864977525427	0.643	0.071	3.91840199844904e-58	1	AHNAK
3.86251829392201e-62	3.09341917700731	0.681	0.103	4.4075196251944e-58	1	LIMA1
1.78023814946319e-61	4.44134248042762	0.597	0.044	2.03142975235245e-57	1	MUC2
1.87296241462416e-61	2.13719684467329	0.912	0.459	2.13723741132762e-57	1	SUGP2
4.69424335604197e-61	3.12264110793757	0.71	0.117	5.35660109357949e-57	1	CAST
1.51854466699356e-60	4.89123873691812	0.521	0.018	1.73281131950635e-56	1	LOC138472418
3.12612684279642e-60	4.89241385715975	0.525	0.025	3.56722334031499e-56	1	LOC138583127
5.4883373429238e-58	4.290861896807	0.496	0.028	6.26274174201034e-54	1	BAIAP2L1
2.64309410985644e-56	3.35012784622668	0.626	0.087	3.01603468875718e-52	1	CLDN7
