p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.88644937535351e-75	-5.32392812070775	0.034	0.809	2.2588344820483e-71	1	CD34	down
1.80089627458544e-71	-3.06231719307616	0.513	0.945	2.15639319918861e-67	1	PMP2	down
1.46402170693623e-59	-5.1747705805341	0.042	0.724	1.75301959188544e-55	1	RAMP3	down
3.12372590254201e-54	-7.2161225291552	0.004	0.667	3.7403493957038e-50	1	ESAM	down
9.7308928658186e-46	-4.68642626998157	0.038	0.606	1.16517711175312e-41	1	JAG2	down
1.61208676395596e-45	-5.48289287589644	0.021	0.59	1.93031269116087e-41	1	NOS3	down
1.14890062052721e-44	-3.45316782090766	0.109	0.679	1.37569360301928e-40	1	KDR	down
1.7505061590254e-44	-1.84957566711012	0.521	0.896	2.09605607481701e-40	1	KRT18	down
3.10002775240732e-44	-5.48123365197474	0.017	0.555	3.71197323073253e-40	1	SLC29A1	down
8.45302723399187e-43	-4.1840977465566	0.109	0.648	1.01216548099819e-38	1	AQP1	down
9.95506350427602e-43	-6.60853891103466	0.008	0.57	1.19201930400201e-38	1	PLCB1	down
3.57049460001133e-42	-5.08979792949827	0.021	0.556	4.27531023405357e-38	1	NRP1	down
1.72966687087691e-40	-3.23306400886191	0.122	0.647	2.07110311118801e-36	1	KIAA1217	down
4.41029429330041e-38	-4.32535159890996	0.034	0.548	5.28088638679791e-34	1	ARHGEF9	down
7.23278133073223e-38	-1.499380998685	0.634	0.902	8.66053236541877e-34	1	KRT8	down
1.50205550767432e-37	-1.97854883538356	0.391	0.833	1.79856126488923e-33	1	PLVAP	down
2.72504160433882e-37	-4.50142882733386	0.029	0.515	3.2629648170353e-33	1	CD93	down
4.12590064546641e-37	-3.39120414620458	0.097	0.592	4.94035343288148e-33	1	COL4A1	down
1.55585921512172e-36	-3.1959634867152	0.197	0.66	1.86298582418674e-32	1	INSR	down
5.68292239474391e-36	-2.8346304720702	0.168	0.668	6.80473127546636e-32	1	PODXL	down
1.82810711768102e-35	-3.56037162857415	0.076	0.542	2.18897546271125e-31	1	COL4A2	down
3.29465010710426e-35	-1.53266869978431	0.643	0.9	3.94501403824664e-31	1	CRIP1	down
4.01240992537084e-35	-7.59837009331637	0	0.464	4.80445964463904e-31	1	APLNR	down
5.55662632505456e-34	-3.00477154727441	0.16	0.618	6.65350436162033e-30	1	ARL15	down
7.07420522955383e-34	-3.12007771113937	0.097	0.602	8.47065334186775e-30	1	SPACA4	down
1.18733177989133e-30	-3.40489036389516	0.071	0.513	1.42171107324188e-26	1	FCN1	down
3.21158354603673e-30	-6.25426850084847	0.004	0.43	3.84555013802438e-26	1	PCDH1	down
1.72503226067227e-29	-4.8134183079529	0.017	0.425	2.06555362892898e-25	1	EPAS1	down
2.1215586810663e-29	-3.21209904660453	0.071	0.47	2.54035436470878e-25	1	EZR	down
1.54099653413519e-28	-2.28512977420827	0.256	0.678	1.84518924997347e-24	1	CD2	down
1.05747934375936e-133	8.90958555296931	0.908	0.004	1.26622576621746e-129	1	RELN	up
8.61613513521076e-128	7.82999007938792	0.908	0.026	1.03169602109014e-123	1	HAPLN3	up
2.14309343454929e-114	4.4435678571139	0.966	0.188	2.56614007852932e-110	1	MRC1	up
3.40882312760804e-94	4.17259525533239	0.861	0.129	4.08172481299787e-90	1	NRP2	up
4.22366796836886e-92	5.03220040570813	0.718	0.035	5.05742002532487e-88	1	UNC5B	up
2.05696784139036e-90	6.06018729123774	0.693	0.021	2.46301329328081e-86	1	NFIX	up
7.69333927352745e-86	3.68234977205712	0.933	0.335	9.21200444612177e-82	1	CTSL	up
1.60768050015131e-81	6.4144290108633	0.613	0.013	1.92503663088117e-77	1	PROX1	up
5.4541375370418e-79	6.09447694017322	0.613	0.015	6.53078428685385e-75	1	FGF10	up
3.03496299437272e-76	6.99189948599163	0.576	0.006	3.6340646894619e-72	1	PDPN	up
1.05225928011562e-75	4.92471754684001	0.622	0.028	1.25997526201045e-71	1	SRGN	up
3.585474713945e-69	4.30582545679402	0.613	0.043	4.29324742247774e-65	1	GPNMB	up
7.89492443925514e-67	2.76101721404735	0.861	0.31	9.4533825235641e-63	1	MMRN1	up
5.8254033007613e-66	3.78317285786821	0.668	0.083	6.97533791233158e-62	1	FLT4	up
6.4223785850008e-66	8.91424693033917	0.504	0.002	7.69015611767996e-62	1	STAB2	up
1.29731070248192e-60	2.27373887530829	0.899	0.425	1.55339983515185e-56	1	FAM107B	up
2.02436172118495e-59	5.23057956233301	0.504	0.018	2.42397072494686e-55	1	SEMA3A	up
5.77259910121004e-57	4.96754515649922	0.492	0.025	6.9121101637889e-53	1	GAS7	up
1.597504729635e-55	2.97310677277774	0.71	0.162	1.91285216326495e-51	1	CADM1	up
3.10959632431717e-54	3.67704151435723	0.601	0.076	3.72343063873738e-50	1	NR6A1	up
4.92857445147933e-52	2.15877800659028	0.962	0.652	5.90147504820135e-48	1	PRSS23	up
1.56755609214889e-51	5.0820411443309	0.445	0.017	1.87699166473908e-47	1	SNCA	up
3.05091719362907e-50	1.76824196779865	0.903	0.474	3.65316824765144e-46	1	SPARC	up
9.09712084010312e-50	3.89044515246643	0.534	0.057	1.08928924939395e-45	1	FGL2	up
3.89888200350043e-49	2.55456110417261	0.714	0.198	4.66852131099141e-45	1	IQSEC1	up
5.7360150919373e-49	2.51926770783689	0.735	0.233	6.86830447108572e-45	1	ADD3	up
1.09677070097637e-48	3.60986426502342	0.525	0.056	1.31327323734911e-44	1	PDGFC	up
1.14825742210824e-48	5.2596109018112	0.403	0.012	1.37492343723241e-44	1	DOCK5	up
3.25633520236725e-48	4.30582545679402	0.412	0.019	3.89913577131454e-44	1	ITGB3	up
1.48202306330579e-44	2.90942454688233	0.634	0.153	1.77457441600235e-40	1	APCS	up
1.28904593521996e-12	-1.50294956832073	0.33	0.595	1.54350360283238e-08	2	DOCK9	down
4.88664193818069e-12	-2.15831116602812	0.125	0.392	5.85126505677756e-08	2	TACR1	down
7.65154792060273e-12	-1.22847718379743	0.409	0.615	9.16196348012971e-08	2	RAMP3	down
1.60367183841709e-11	-3.29092441744755	0.125	0.387	1.92023665932062e-07	2	MRC1	down
6.37056741887993e-11	-2.59852722830296	0.074	0.344	7.62811742736683e-07	2	IQSEC1	down
7.6348352931989e-11	-1.68098938849493	0.227	0.48	9.14195178007636e-07	2	XIRP2	down
1.18816348342228e-10	-5.7895138452731	0.006	0.222	1.42270695504984e-06	2	RELN	down
1.27934223023213e-10	-1.56149910856837	0.244	0.493	1.53188438647995e-06	2	PLCB1	down
2.11077866743299e-10	-1.71233351682331	0.17	0.423	2.52744637638427e-06	2	EXOC3L2	down
4.26674523340197e-10	-1.94935723863177	0.119	0.352	5.10900074247552e-06	2	GALNT18	down
1.34010736655242e-09	-1.91977624808205	0.125	0.363	1.60464456070987e-05	2	ZNF521	down
1.57602386315982e-09	-0.976187117767773	0.494	0.752	1.88713097374757e-05	2	SHANK3	down
6.11988059571707e-09	-4.93312915322543	0.034	0.237	7.32794502531162e-05	2	HAPLN3	down
8.16047509403105e-09	-0.92640042643411	0.46	0.702	9.77135287759278e-05	2	ICAM1	down
8.4689706981074e-09	-2.58574107334712	0.045	0.247	0.000101407455139138	2	SLC4A11	down
8.92140307752549e-09	-1.9972487332956	0.085	0.322	0.00010682488045029	2	SVIL	down
1.74229912872437e-08	-1.57098820470468	0.239	0.474	0.000208622897673456	2	STAB1	down
3.36422682811348e-08	-1.02073876046954	0.256	0.477	0.000402832520398308	2	ARHGAP21	down
3.75119165478056e-08	-2.01029701374789	0.057	0.258	0.000449167688743425	2	MAN1A1	down
4.09567910015973e-08	-1.15847839624053	0.312	0.553	0.000490416615453127	2	LOC138472433	down
1.01175322480699e-07	-1.49350601566831	0.153	0.372	0.00121147331138389	2	PTPRE	down
1.16166701248231e-07	-0.922401717488872	0.335	0.563	0.00139098008074632	2	EGFL7	down
1.32067819407378e-07	-1.52487018657765	0.148	0.377	0.00158138006958395	2	VAV3	down
1.35546317906609e-07	-0.990792167496182	0.307	0.524	0.00162303161061374	2	NRK	down
1.63952839324895e-07	-1.45064360136731	0.148	0.368	0.00196317129807629	2	ADD1	down
1.65405250768317e-07	-1.73345680838907	0.119	0.36	0.00198056247269983	2	FCHSD2	down
2.18017797193864e-07	-1.55043294010191	0.244	0.454	0.00261054510359933	2	MMRN1	down
2.54711235118619e-07	-1.03230129016339	0.216	0.426	0.00304991232931035	2	SPNS2	down
1.26013501340666e-06	-1.0812298858457	0.193	0.413	0.0150888566505314	2	PREX2	down
7.50543954105173e-10	-6.46232087284357	0.013	0.236	8.98701330645534e-06	3	HAPLN3	down
3.70132398369132e-09	-5.57586340438836	0.006	0.217	4.43196533807199e-05	3	RELN	down
3.25597480549064e-08	-1.66343462523841	0.161	0.405	0.00038987042320945	3	SMAD1	down
8.23876597494668e-08	-1.73164501068003	0.123	0.335	0.000986509837840115	3	VASH2	down
3.15664448669846e-22	1.65718598786169	0.781	0.429	3.77976610837274e-18	3	PMP22	up
8.87936282955206e-19	1.06593939782203	0.865	0.516	1.06321490521056e-14	3	KDR	up
4.6469735381755e-14	1.80585532444382	0.548	0.253	5.56428611461134e-10	3	HS3ST1	up
5.32849017770672e-14	0.97097369416012	0.761	0.429	6.38033413878603e-10	3	NOS3	up
9.97419034225565e-14	1.19043554326922	0.632	0.325	1.19430955158169e-09	3	ACVRL1	up
1.35218027184108e-13	1.30662085403822	0.748	0.505	1.61910065750251e-09	3	AQP1	up
3.47458461898531e-12	0.924033622792868	0.813	0.528	4.16046762277301e-08	3	PODXL	up
1.09736665747449e-10	0.849839228960501	0.735	0.462	1.31398683565995e-06	3	SPACA4	up
7.96981919203614e-10	0.851492759368894	0.6	0.352	9.54306150054408e-06	3	EXOC3L2	up
1.44962574657666e-09	0.624362828139467	0.916	0.716	1.73578186895089e-05	3	PLVAP	up
1.97653248372892e-09	1.09975713231745	0.516	0.258	2.36669999601701e-05	3	F8	up
2.29912680231852e-09	1.21320121309319	0.465	0.208	2.75297443309619e-05	3	SELP	up
2.55345139275315e-09	1.09290112369973	0.497	0.26	3.05750269768262e-05	3	SMAD6	up
1.33919547298953e-08	0.836806993592753	0.839	0.621	0.000160355265935766	3	CD34	up
5.64013698536282e-08	1.17902409777511	0.368	0.161	0.000675350002627345	3	LPAR4	up
1.06282534758795e-07	1.3765997423704	0.361	0.146	0.00127262707120181	3	SPRY3	up
1.19138782556133e-07	0.917645280819447	0.742	0.5	0.00142656778232713	3	PTGS2	up
2.16028903543856e-07	0.787753437094797	0.581	0.341	0.00258673009103413	3	ID3	up
2.33133867829774e-07	0.839377897040998	0.555	0.338	0.00279154493339372	3	PINLYP	up
3.77472015767235e-06	0.690613412166044	0.568	0.339	0.0451984991679687	3	APLNR	up
