p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.38940291475463e-136	8.99005054356827	0.912	0.004	1.66853396032884e-132	1	RELN
1.40709809109464e-127	7.45009394893078	0.908	0.03	1.68978409759556e-123	1	HAPLN3
3.21309425449901e-112	4.44149358958714	0.967	0.193	3.85860489022786e-108	1	MRC1
3.68353841628955e-95	4.17119525909945	0.866	0.132	4.42356128412212e-91	1	NRP2
1.73861784994363e-89	5.0520164612117	0.724	0.036	2.08790617599731e-85	1	UNC5B
1.28788691673142e-86	5.80705307143596	0.699	0.025	1.54662339830276e-82	1	NFIX
4.01095134948729e-86	3.6314245647	0.937	0.344	4.81675147559929e-82	1	CTSL
7.01071302771509e-81	6.16817905403597	0.628	0.016	8.41916527498305e-77	1	FGF10
1.62414315145025e-79	6.28098425976837	0.619	0.015	1.95043351057661e-75	1	PROX1
4.56147471503348e-75	-5.76890965673746	0.029	0.81	5.47787498528371e-71	1	CD34
2.70940111164182e-74	6.26252735506081	0.573	0.011	3.25371979497066e-70	1	PDPN
8.2827190448431e-73	4.72580748883532	0.628	0.034	9.94671730095207e-69	1	SRGN
1.49788621462434e-70	-3.0186410589366	0.548	0.945	1.79881155514237e-66	1	PMP2
6.76401532043159e-70	2.75976035631106	0.87	0.319	8.1229059983063e-66	1	MMRN1
4.72151151036331e-66	4.03641504758725	0.615	0.049	5.6700631727953e-62	1	GPNMB
5.26206955541923e-66	3.74883845749066	0.669	0.088	6.31921932910296e-62	1	FLT4
1.69986164945108e-65	8.99453096655094	0.506	0.002	2.0413638548258e-61	1	STAB2
8.85856261382161e-62	-5.2366094261463	0.042	0.732	1.06382478429384e-57	1	RAMP3
4.12900323688234e-61	2.23741879927296	0.904	0.438	4.958519987172e-57	1	FAM107B
4.39364007582475e-61	5.22761090889257	0.506	0.018	5.27632236705794e-57	1	SEMA3A
1.38596824900394e-60	-7.2729049773997	0.004	0.667	1.66440927022884e-56	1	ESAM
4.43840175547193e-57	4.92190316646354	0.506	0.028	5.33007666814625e-53	1	GAS7
1.30243181705758e-56	2.98741981959992	0.72	0.164	1.56409036910445e-52	1	CADM1
4.98947052816247e-56	3.75719587429225	0.603	0.073	5.9918551572703e-52	1	NR6A1
3.47904827299526e-54	2.16378828425628	0.967	0.66	4.17798907104001e-50	1	PRSS23
2.19217594600205e-51	3.83993953595651	0.536	0.059	2.63258409355386e-47	1	FGL2
4.42694146001212e-51	2.59523325944911	0.732	0.2	5.31631399932855e-47	1	IQSEC1
4.45601043139286e-51	5.0391569458612	0.452	0.019	5.35122292705969e-47	1	SNCA
1.04686612469896e-50	3.51633841980498	0.527	0.058	1.25718152915098e-46	1	PDGFC
1.91183419855101e-50	-5.31262917522673	0.021	0.594	2.2959216890399e-46	1	NOS3
2.41017203980035e-48	2.52282324108768	0.741	0.238	2.89437560259624e-44	1	ADD3
3.77267037268267e-48	-6.66415471532723	0.008	0.574	4.53059985055462e-44	1	PLCB1
5.05732148922769e-48	3.28880625810194	0.569	0.104	6.07333737641354e-44	1	EXOC6
7.41164155548392e-48	-4.17464467296229	0.113	0.65	8.90064034398064e-44	1	AQP1
3.10104673168677e-47	-3.3062029060673	0.117	0.686	3.72404702008264e-43	1	KDR
1.09753529264981e-46	5.31628699452404	0.406	0.012	1.31803013294316e-42	1	DOCK5
2.16392283679695e-46	1.7107951702846	0.9	0.496	2.59865493470945e-42	1	SPARC
6.23393298337255e-46	-1.81398787338936	0.556	0.905	7.4863301197321e-42	1	KRT18
3.90853564544361e-45	5.06011930817852	0.397	0.014	4.69376045661323e-41	1	PLCE1
5.73331992192936e-45	-4.40040058134637	0.05	0.613	6.88514389424496e-41	1	JAG2
7.16437337807101e-45	2.2977502246456	0.795	0.357	8.60369598972548e-41	1	STAB1
1.47708382353542e-44	2.93170251464047	0.644	0.157	1.77382996368368e-40	1	APCS
8.63776809365168e-44	-4.92530335706985	0.025	0.557	1.03730957036663e-39	1	NRP1
2.81269109848842e-43	4.03060942590604	0.41	0.024	3.37776074017475e-39	1	ITGB3
3.18819454023046e-43	-4.84958630303706	0.025	0.559	3.82870282336276e-39	1	SLC29A1
1.63789586149478e-42	-1.92571083781387	0.423	0.836	1.96694914006909e-38	1	PLVAP
6.96780753599371e-42	-3.17112495399146	0.126	0.648	8.36764006997485e-38	1	KIAA1217
4.19223132358204e-41	4.16262741057225	0.406	0.033	5.03445059648967e-37	1	MAFB
4.92758906977303e-41	5.17594878907008	0.36	0.013	5.91754171389043e-37	1	PGF
7.73734207424195e-41	3.74110280871106	0.448	0.048	9.29177409695715e-37	1	ENPP2
1.51763605140738e-40	6.01305105452174	0.326	0.005	1.82252913413513e-36	1	ABLIM2
1.60019745218938e-40	-2.78163045448386	0.176	0.674	1.92167712033423e-36	1	PODXL
2.92111333926999e-40	1.57107574543567	0.866	0.569	3.50796500912934e-36	1	MARCKS
6.39046933821327e-40	2.71611167982024	0.594	0.133	7.67431462826031e-36	1	SERPINE2
7.60680981730961e-40	3.69602175904722	0.456	0.052	9.13501790960711e-36	1	VEGFA
4.30938329255759e-39	-7.68912163084381	0	0.474	5.17513839603242e-35	1	APLNR
4.61845685759892e-39	-4.28815931677669	0.033	0.561	5.54630484029054e-35	1	ARHGEF9
1.87439102304962e-38	3.55916400474159	0.423	0.052	2.25095617958029e-34	1	EMILIN1
3.22556712332096e-38	-3.22378458013407	0.1	0.598	3.87358355839615e-34	1	COL4A1
4.59213472116233e-38	-4.24743729149922	0.038	0.523	5.51469458664384e-34	1	CD93
5.34105364115271e-38	2.86524794960597	0.544	0.116	6.41407131766029e-34	1	CLCA1
1.05911213986551e-37	-3.09729894106271	0.1	0.611	1.27188776876449e-33	1	SPACA4
2.15838366929058e-37	3.44488379634356	0.439	0.062	2.59200294845106e-33	1	GAS6
5.07047090923496e-37	4.17594878907008	0.368	0.028	6.08912851490026e-33	1	LRG1
5.42314222826693e-37	-1.46343499089146	0.686	0.916	6.51265150192575e-33	1	KRT8
1.38855738545564e-36	-1.47261342333337	0.678	0.91	1.66751856419368e-32	1	CRIP1
3.40630766942218e-36	2.83843008174074	0.54	0.133	4.0906348802091e-32	1	CEMIP2
2.17695775217447e-35	2.30339280635127	0.59	0.146	2.61430856458633e-31	1	EPB41L2
3.99225251104367e-34	5.18208357524218	0.297	0.011	4.79429604051234e-30	1	GALR1
5.64961972476048e-34	-3.1411622895195	0.213	0.663	6.78462832746487e-30	1	INSR
1.38560751334004e-33	3.29364383173984	0.393	0.043	1.66397606277006e-29	1	PLEKHG4B
4.74497291024534e-33	1.03227314219965	0.979	0.767	5.69823796791363e-29	1	VWF
5.08303083010024e-33	-3.48301429309485	0.071	0.527	6.10421172386737e-29	1	FCN1
1.5128676167145e-32	-2.89661983688056	0.176	0.623	1.81680272091244e-28	1	ARL15
2.9344665268609e-32	-4.62155834703117	0.017	0.413	3.52400085210725e-28	1	LHFPL7
9.54246167542434e-32	5.28098425976837	0.297	0.011	1.14595422260171e-27	1	LOC138577431
9.97275718982209e-32	1.82828917621758	0.707	0.254	1.19762841092573e-27	1	VAV3
1.29426107689859e-31	-3.2991360938787	0.092	0.553	1.55427812724752e-27	1	COL4A2
4.59970873839411e-31	5.90930312968391	0.268	0.004	5.52379022393748e-27	1	CXADR
6.01136126956665e-31	-4.61164287816609	0.021	0.434	7.21904374862259e-27	1	EPAS1
8.47162388344304e-31	-2.1917829954304	0.272	0.686	1.01735731216267e-26	1	CD2
8.88509981170358e-31	-4.85432422204372	0.025	0.435	1.06701163638748e-26	1	TACR1
1.21966883511943e-30	1.69602175904722	0.707	0.296	1.46470030409492e-26	1	SMAD1
1.34892507400553e-30	7.15322871257	0.251	0.001	1.61992412137324e-26	1	CYGB
1.75867248402951e-29	-4.93257566770809	0.013	0.399	2.11198978607103e-25	1	MCAM
2.3256151167363e-29	-5.31590430725959	0.008	0.438	2.79283119368862e-25	1	PCDH1
7.29489856839442e-29	1.06928365146106	0.946	0.8	8.76044369078485e-25	1	ITGBL1
2.18487230129391e-28	2.05216556927249	0.582	0.189	2.62381314662386e-24	1	CEBPD
2.53768790425788e-28	1.83199438785272	0.598	0.215	3.04750940422328e-24	1	GALNT1
2.67156872958164e-28	3.1450547811243	0.347	0.058	3.20828688735459e-24	1	ADAM8
3.94542650217731e-28	3.12080723487762	0.335	0.043	4.73806268646473e-24	1	RALGDS
9.1549370712609e-28	2.03465059112791	0.448	0.117	1.09941639288772e-23	1	GPX3
9.2515770194082e-28	-2.98143095905312	0.084	0.479	1.11102188426073e-23	1	EZR
1.35968087478303e-27	1.79582033830107	0.632	0.262	1.63284076252694e-23	1	SERPING1
2.77193781112913e-27	-7.22126743312152	0	0.379	3.32882011738498e-23	1	SMAD6
6.39778338479918e-27	1.89943115387267	0.653	0.254	7.68309806680533e-23	1	ZNF521
1.01535567566654e-26	1.80535514439199	0.644	0.26	1.21934063090795e-22	1	ADD1
1.55487491266477e-26	-2.52104032938519	0.176	0.569	1.86724928261912e-22	1	LOC138567840
2.24017945057078e-26	5.02283207531432	0.255	0.008	2.69023150219045e-22	1	DPP4
2.50493898584757e-26	4.98330371112769	0.218	0.007	3.00818122810435e-22	1	SEMA3D
4.77018738933338e-26	3.55098822041701	0.285	0.026	5.72851803585045e-22	1	RNF152
5.37673493778229e-26	5.91404104869057	0.222	0.003	6.45692098678276e-22	1	ANKRD6
8.17673231922437e-26	2.1727815099914	0.502	0.137	9.81943784215655e-22	1	LGALS9
2.16808144048049e-25	2.08548410593416	0.393	0.105	2.60364900187302e-21	1	TYROBP
2.80270127191669e-25	-2.95364411833701	0.071	0.447	3.36576395744476e-21	1	ACVRL1
2.81840287758492e-25	7.07076655237803	0.209	0.001	3.38462001569173e-21	1	TC2N
2.83005529349377e-25	6.93750002151456	0.209	0.001	3.39861340195667e-21	1	CHAD
2.91286997128638e-25	-4.51972693451347	0.033	0.362	3.49806554851781e-21	1	HS3ST1
6.27295214641511e-25	-2.55993166398375	0.121	0.534	7.53318823262991e-21	1	DLK1
1.24980821928476e-24	2.56826621184884	0.356	0.07	1.50089469053906e-20	1	ASAP3
1.3349506009704e-24	2.55325364099382	0.444	0.124	1.60314217670535e-20	1	HMOX1
1.77678464271181e-24	-4.01669628887231	0.046	0.43	2.13374067743261e-20	1	PDGFD
2.10530839411038e-24	1.91997777575886	0.498	0.152	2.52826485048716e-20	1	CD53
2.51158170871663e-24	1.55688714971835	0.59	0.25	3.0161584739978e-20	1	KALRN
2.88844083497346e-24	-5.02792354429557	0.008	0.32	3.46872859871963e-20	1	DNASE1L3
3.07587667301169e-24	4.04939290158546	0.238	0.016	3.69382029661974e-20	1	MYO7A
4.04263532396534e-24	0.77936327645777	0.996	0.968	4.85480076054998e-20	1	COX1
4.8781535250399e-24	-3.00478296732881	0.075	0.447	5.85817456822042e-20	1	ADGRL2
5.63568024673374e-24	2.64226679329262	0.351	0.062	6.76788840830255e-20	1	ELN
1.10543326630686e-23	1.05172017429976	0.824	0.58	1.32751480950791e-19	1	CTNNB1
1.20314856990215e-23	1.92459440382923	0.611	0.262	1.44486111759549e-19	1	TSPAN18
1.3010590183423e-23	5.00567152415614	0.209	0.007	1.56244177512726e-19	1	ARHGEF25
1.3695939355934e-23	-4.06505931043371	0.042	0.37	1.64474535725411e-19	1	RHAG
1.8495073366677e-23	-5.96798100383929	0.004	0.359	2.22107336060424e-19	1	ARHGEF28
3.22019509704602e-23	-6.68912163084381	0	0.31	3.86713229204257e-19	1	MECOM
8.104719511707e-23	1.46466596983449	0.623	0.307	9.73295766160893e-19	1	LOC138487737
1.01624700449883e-22	-1.87383384928373	0.205	0.581	1.22041102770265e-18	1	GNAI2
1.15141656027383e-22	6.56826621184884	0.188	0.001	1.38273614723284e-18	1	NPNT
1.58974398032893e-22	-4.13563736159582	0.021	0.342	1.90912354597701e-18	1	PTGIS
1.87037596394612e-22	1.41234806840041	0.669	0.35	2.2461344951029e-18	1	ECE1
2.48583321669118e-22	5.68374342926878	0.192	0.003	2.98523710992444e-18	1	P2RY4
2.95761979159595e-22	1.9041115437107	0.615	0.292	3.55180560772758e-18	1	GSTP1
3.82548740807566e-22	-1.68361064717872	0.238	0.611	4.59402782835806e-18	1	PTGS2
5.0010147521715e-22	1.65998238094046	0.548	0.24	6.00571861588275e-18	1	DAB2
6.483650421995e-22	2.93439411064674	0.285	0.043	7.7862157917738e-18	1	SEMA5B
7.00845422812048e-22	-2.09836128558454	0.13	0.506	8.41645268254988e-18	1	DYSF
7.03150473367524e-22	-5.17992663774062	0.008	0.331	8.44413403467059e-18	1	PCDH17
7.87883497657875e-22	2.16772828226511	0.351	0.078	9.46169292337342e-18	1	CTSZ
7.87980558041047e-22	1.88512331718878	0.448	0.128	9.46285852151493e-18	1	ANGPT2
1.66233545377117e-21	1.31803958231567	0.762	0.466	1.9962986464338e-17	1	CD9
1.77394002397782e-21	-1.61781455798451	0.364	0.686	2.13032457479496e-17	1	PECAM1
2.00083506335387e-21	-3.79805600239697	0.029	0.361	2.40280282758167e-17	1	F8
2.02363708042148e-21	1.5004131196664	0.623	0.291	2.43018576987815e-17	1	LRRC32
2.08837222500748e-21	2.71722885097384	0.364	0.077	2.50792620501148e-17	1	SLC7A8
3.5191995655388e-21	-2.22899989258518	0.134	0.507	4.22620675825555e-17	1	ITGA6
4.22263859725781e-21	1.96224209559986	0.485	0.165	5.07096669144691e-17	1	SELENOP
4.64585627915254e-21	-1.21889769333838	0.544	0.79	5.57920880563429e-17	1	PRDX1
5.09585171506814e-21	3.06347405981167	0.259	0.033	6.11960832462533e-17	1	NINJ1
5.25595852102702e-21	2.81182324318333	0.322	0.055	6.31188058790135e-17	1	ADAMTSL3
6.40376577251359e-21	-2.33672485084419	0.121	0.44	7.69028231621157e-17	1	ID3
1.30875362580189e-20	-6.50453632269537	0	0.266	1.57168222922549e-16	1	LHX6
1.65416781947489e-20	2.11105925832606	0.381	0.107	1.9864901344074e-16	1	UAP1L1
1.75322176804165e-20	2.29315897371447	0.377	0.096	2.10544402124122e-16	1	ARHGAP6
2.39420317078622e-20	-0.647180909974558	0.958	0.97	2.87519858779717e-16	1	RPLP1
3.15475423112446e-20	1.67135970481295	0.494	0.166	3.78854435615737e-16	1	LBR
3.37604779430035e-20	3.04558798938203	0.247	0.031	4.05429579617529e-16	1	CLU
