p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
4.56147471503348e-75	-5.76890965673746	0.029	0.81	5.47787498528371e-71	1	CD34	down
1.49788621462434e-70	-3.0186410589366	0.548	0.945	1.79881155514237e-66	1	PMP2	down
8.85856261382161e-62	-5.2366094261463	0.042	0.732	1.06382478429384e-57	1	RAMP3	down
1.38596824900394e-60	-7.2729049773997	0.004	0.667	1.66440927022884e-56	1	ESAM	down
1.91183419855101e-50	-5.31262917522673	0.021	0.594	2.2959216890399e-46	1	NOS3	down
3.77267037268267e-48	-6.66415471532723	0.008	0.574	4.53059985055462e-44	1	PLCB1	down
7.41164155548392e-48	-4.17464467296229	0.113	0.65	8.90064034398064e-44	1	AQP1	down
3.10104673168677e-47	-3.3062029060673	0.117	0.686	3.72404702008264e-43	1	KDR	down
6.23393298337255e-46	-1.81398787338936	0.556	0.905	7.4863301197321e-42	1	KRT18	down
5.73331992192936e-45	-4.40040058134637	0.05	0.613	6.88514389424496e-41	1	JAG2	down
8.63776809365168e-44	-4.92530335706985	0.025	0.557	1.03730957036663e-39	1	NRP1	down
3.18819454023046e-43	-4.84958630303706	0.025	0.559	3.82870282336276e-39	1	SLC29A1	down
1.63789586149478e-42	-1.92571083781387	0.423	0.836	1.96694914006909e-38	1	PLVAP	down
6.96780753599371e-42	-3.17112495399146	0.126	0.648	8.36764006997485e-38	1	KIAA1217	down
1.60019745218938e-40	-2.78163045448386	0.176	0.674	1.92167712033423e-36	1	PODXL	down
4.30938329255759e-39	-7.68912163084381	0	0.474	5.17513839603242e-35	1	APLNR	down
4.61845685759892e-39	-4.28815931677669	0.033	0.561	5.54630484029054e-35	1	ARHGEF9	down
3.22556712332096e-38	-3.22378458013407	0.1	0.598	3.87358355839615e-34	1	COL4A1	down
4.59213472116233e-38	-4.24743729149922	0.038	0.523	5.51469458664384e-34	1	CD93	down
1.05911213986551e-37	-3.09729894106271	0.1	0.611	1.27188776876449e-33	1	SPACA4	down
5.42314222826693e-37	-1.46343499089146	0.686	0.916	6.51265150192575e-33	1	KRT8	down
1.38855738545564e-36	-1.47261342333337	0.678	0.91	1.66751856419368e-32	1	CRIP1	down
5.64961972476048e-34	-3.1411622895195	0.213	0.663	6.78462832746487e-30	1	INSR	down
5.08303083010024e-33	-3.48301429309485	0.071	0.527	6.10421172386737e-29	1	FCN1	down
1.5128676167145e-32	-2.89661983688056	0.176	0.623	1.81680272091244e-28	1	ARL15	down
2.9344665268609e-32	-4.62155834703117	0.017	0.413	3.52400085210725e-28	1	LHFPL7	down
1.29426107689859e-31	-3.2991360938787	0.092	0.553	1.55427812724752e-27	1	COL4A2	down
