p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.93339614753953e-111	-3.43130959396361	0.267	0.883	3.06269283731737e-107	1	ANXA2	down
1.20266430423281e-97	-2.74436264595079	0.498	0.934	1.9051405243352e-93	1	S100A10	down
2.35722475076324e-92	-4.75855588389263	0.053	0.627	3.73407972768404e-88	1	VAT1	down
6.03945922960739e-87	-3.69463569741009	0.131	0.71	9.56710736562106e-83	1	MARCKS	down
6.3901606577426e-83	-4.21144122918949	0.399	0.835	1.01226534979301e-78	1	LGALS1	down
3.11740347801762e-78	-2.6471285687325	0.107	0.649	4.93827884952771e-74	1	AHNAK	down
3.69742799272716e-78	-3.14451145432359	0.129	0.662	5.85709568327909e-74	1	APP	down
1.50277299085841e-76	-4.82612541479612	0.054	0.602	2.3805426948188e-72	1	SPACA4	down
1.37465760615371e-74	-2.61500119316908	0.198	0.744	2.17759511390809e-70	1	LMNA	down
3.2218304621135e-66	-4.84996440989864	0.07	0.582	5.103701635034e-62	1	TGFBI	down
5.85847173188574e-66	-2.17811521868662	0.357	0.774	9.2804050704802e-62	1	ATP5MC3	down
8.15512042017553e-62	-5.67851173522141	0.036	0.473	1.29185262576001e-57	1	C1QB	down
1.76528072960645e-61	-1.93922009556368	0.421	0.801	2.79638120376957e-57	1	SNRPG	down
1.51647651139604e-60	-4.62525992305099	0.129	0.59	2.40225044170247e-56	1	SELENOP	down
3.31185688900235e-56	-4.4906991011666	0.041	0.464	5.24631249786862e-52	1	CSF1R	down
8.42673884712023e-56	-4.17899752778483	0.048	0.458	1.33487970077232e-51	1	FSCN1	down
4.8209810723944e-55	-5.22569352522013	0.038	0.472	7.63691611677997e-51	1	C1QC	down
1.61919806283662e-54	-4.19985551024349	0.032	0.468	2.56497165133948e-50	1	SPRED1	down
1.62275930843968e-53	-3.54306321893107	0.028	0.418	2.5706130204993e-49	1	PEA15	down
5.98475223638025e-52	-1.89147301515095	0.28	0.701	9.48044601764995e-48	1	CALR	down
8.39142460936196e-52	-4.37117441606179	0.068	0.51	1.32928557236903e-47	1	LRP1	down
6.50919135511502e-51	-2.1606033184097	0.404	0.783	1.03112100256377e-46	1	PRDX1	down
