p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
8.12483638021572e-159	5.77328165589085	0.954	0.083	1.51154456017533e-154	1	LUM
3.38005188809427e-155	5.078146902447	0.986	0.217	6.28824853261058e-151	1	COL3A1
2.0214193675684e-151	4.7444567987611	0.95	0.112	3.76064859142425e-147	1	FBN2
5.53207770702811e-146	4.33876059099862	0.979	0.265	1.02918773661551e-141	1	FSTL1
4.15043735217881e-144	3.77627139907714	0.97	0.255	7.72147364999345e-140	1	COL5A2
5.55680551575761e-142	5.72997642629857	0.881	0.045	1.03378809815155e-137	1	COL6A1
4.72071988054232e-140	4.28988008200461	0.909	0.103	8.78242726576093e-136	1	FN1
8.8585570218906e-138	5.31810201944695	0.829	0.037	1.64804594835253e-133	1	BGN
5.09127190526829e-132	4.01131077203356	0.93	0.171	9.47180225256113e-128	1	COL5A1
6.37920548697702e-129	5.71440591501824	0.836	0.064	1.1867873887972e-124	1	COL6A3
6.36521738936226e-123	2.79096782119814	0.985	0.53	1.18418504311695e-118	1	SPARC
3.34662054977625e-121	4.05640543969821	0.891	0.199	6.22605287080374e-117	1	DCN
9.40338117813232e-121	2.93966485089542	0.993	0.605	1.74940503437974e-116	1	COL1A2
2.81792407213476e-115	4.24967405218745	0.869	0.148	5.24246594379951e-111	1	THBS2
4.66219757579838e-115	5.5381238811686	0.768	0.032	8.67355237001531e-111	1	COL6A2
2.44721829863293e-112	4.16994834004342	0.849	0.111	4.55280492277669e-108	1	MDK
5.0487872941789e-110	2.63617214107667	0.988	0.521	9.39276388209042e-106	1	COL1A1
4.87677327393826e-106	4.02172424145019	0.799	0.111	9.07274899883473e-102	1	VCAN
9.0962305388843e-106	3.79522357488379	0.812	0.132	1.69226272945404e-101	1	LTBP1
1.69456539070598e-104	3.72287156172094	0.824	0.121	3.1525694528694e-100	1	PFN2
2.73013615054851e-104	4.35878905252235	0.824	0.164	5.07914529448045e-100	1	POSTN
3.53325208902126e-102	3.0437029689473	0.849	0.21	6.57326218641516e-98	1	KRT18
1.0814446000518e-91	5.99827502431397	0.653	0.025	2.01191953393637e-87	1	DPT
1.2120233190076e-91	6.14644657226144	0.633	0.018	2.25484818268173e-87	1	OGN
1.07861488219966e-90	5.07854054118114	0.683	0.036	2.00665512684424e-86	1	AEBP1
5.26513600414003e-90	4.11300144507116	0.81	0.16	9.79525902210212e-86	1	TGFBI
3.73724486866749e-89	-4.03724185320634	0.207	0.785	6.95277035366899e-85	1	LOC138562538
2.2340570351935e-87	4.39349078161052	0.745	0.096	4.156239708274e-83	1	COL12A1
7.4393160291857e-83	3.2219315165542	0.796	0.225	1.38401035406971e-78	1	LOC138487902
