p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.7840214195803e-165	5.18881786125181	0.979	0.149	5.00427850169559e-161	1	TCN1
6.62181896147713e-151	5.39029540078593	0.925	0.116	1.19027195832551e-146	1	BTN1A1
1.58547429920186e-148	5.90024350106599	0.893	0.056	2.84989005281534e-144	1	ARG1
1.07785101400652e-144	6.56519661350114	0.876	0.023	1.93743719767672e-140	1	CHIT1
3.8198259796854e-142	6.56670318121274	0.844	0.024	6.8661371984845e-138	1	RasGEF
4.08966230425309e-141	4.4021600381662	0.937	0.207	7.35116799189492e-137	1	TKT
4.98852255568463e-141	4.88802257807004	0.915	0.114	8.96686929384312e-137	1	CATHL1
1.67206194955563e-138	3.79723103067204	0.96	0.255	3.00553135432625e-134	1	PLAUR
1.3342734297413e-136	4.59829882638611	0.874	0.077	2.39835648995998e-132	1	LOC138580932
6.67547027300884e-136	5.25469571979025	0.827	0.043	1.19991578157334e-131	1	SLC44A5
5.52358491650007e-129	4.19665731007358	0.895	0.112	9.92864388740887e-125	1	ITGAX
4.31658842552988e-127	3.49912681880048	0.925	0.184	7.75906769488995e-123	1	TNFRSF1B
1.9709347776933e-126	3.80659532126384	0.905	0.158	3.5427552629037e-122	1	THEM5
1.00099641827402e-124	3.59301479544421	0.914	0.172	1.79929106184755e-120	1	LCP1
1.04446593189192e-123	3.50461573028036	0.905	0.217	1.87742751257573e-119	1	TNFAIP8
1.28104418847393e-123	3.70071105822742	0.877	0.169	2.30267692878189e-119	1	IL1R1
1.89022972679515e-123	4.22222227715594	0.815	0.08	3.39768793391429e-119	1	RIPOR2
1.81559024695264e-121	3.56990975301352	0.933	0.264	3.26352346889737e-117	1	MMP9
1.56374678149208e-116	4.54388200874176	0.818	0.068	2.81083483973202e-112	1	MAG
1.97733642855472e-115	3.53487327843549	0.863	0.169	3.55426223032711e-111	1	TNIP1
1.90172846776647e-114	4.5614545945911	0.802	0.074	3.41835692081023e-110	1	SFTPD
