p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.09209338714426e-84	-4.09331605891486	0.245	0.75	1.94676567192336e-80	1	LGALS1	down
2.70871748106818e-75	-3.10429599939695	0.183	0.724	4.82855978175215e-71	1	ANXA2	down
4.98842876205245e-72	-2.60728644298599	0.37	0.853	8.8923731112347e-68	1	S100A10	down
6.65978197686331e-60	-2.1835734608353	0.304	0.719	1.18717273519565e-55	1	SNRPG	down
5.04019119490277e-58	-3.61487896518486	0.099	0.553	8.98464482403367e-54	1	MARCKS	down
1.03043708760521e-56	-5.25919060834814	0.048	0.503	1.83685715236505e-52	1	TGFBI	down
1.98428706260884e-55	-5.54782621678388	0.034	0.441	3.53719011780651e-51	1	COL5A1	down
2.41649124146119e-50	-2.56597067809008	0.15	0.599	4.30763728702872e-46	1	LMNA	down
3.14178157588114e-50	-1.70238399056462	0.602	0.86	5.60053983716571e-46	1	DYNLL1	down
6.86533091036343e-48	-4.63098189136999	0.046	0.454	1.22381388808139e-43	1	LRP1	down
2.15340213089296e-47	-2.19191706839191	0.509	0.774	3.83865463852979e-43	1	HMGN1	down
1.10610611562778e-45	-3.89169545415521	0.096	0.499	1.97174476171808e-41	1	KRT8	down
7.63960953426387e-45	-5.38497302557937	0.062	0.418	1.36183679557788e-40	1	FN1	down
3.21219983026964e-44	-4.63346552300017	0.046	0.411	5.72606741743866e-40	1	VCAN	down
7.20365527822994e-44	-5.10634968331579	0.02	0.337	1.28412358989727e-39	1	BGN	down
2.83514546793733e-43	-2.89706422067615	0.083	0.502	5.05393031114509e-39	1	AHNAK	down
5.66464224974185e-43	-4.28125401763136	0.108	0.495	1.00977912743898e-38	1	COL5A2	down
5.85063166968138e-43	-1.28882920174665	0.596	0.853	1.0429336014374e-38	1	SUGP2	down
1.82965065778301e-42	-3.85130920359714	0.264	0.605	3.26153526256399e-38	1	SPARC	down
1.61758039944337e-40	-1.67159250411844	0.387	0.726	2.88349882004776e-36	1	COX7A2	down
1.71373370061866e-40	-1.40304997200681	0.647	0.852	3.05490169472282e-36	1	TXN	down
2.4806798167583e-40	-2.08973122836163	0.258	0.652	4.42205984135335e-36	1	ATP5MC3	down
1.31116409921266e-39	-4.27357722989118	0.061	0.408	2.33728112325649e-35	1	LOC138487902	down
2.5963262965131e-39	-4.58975706324141	0.096	0.444	4.62821125616426e-35	1	FBN2	down
3.68314372050555e-39	-4.02423120432597	0.038	0.397	6.56557199617319e-35	1	VAT1	down
4.94423478958461e-39	-1.98626718271204	0.205	0.576	8.81359293591353e-35	1	CALR	down
2.68480147120421e-38	-4.17948380573643	0.084	0.446	4.78592710256863e-34	1	KRT18	down
1.49903255855618e-37	-4.60897652136327	0.05	0.39	2.67217543888224e-33	1	LTBP1	down
2.10389762242754e-37	-4.81825083182697	0.086	0.412	3.75040790173933e-33	1	LUM	down
5.40613051863849e-37	-3.84480665237938	0.056	0.362	9.63696826252497e-33	1	CALD1	down
1.48945381574119e-162	5.04641566320965	0.974	0.152	2.65510037194024e-158	1	TCN1	up
5.98978386616631e-151	5.37120607742894	0.921	0.106	1.06773887198281e-146	1	BTN1A1	up
4.71934322752598e-143	4.45877318318553	0.932	0.179	8.4127012373878e-139	1	TKT	up
1.73147737613564e-142	6.50912046788759	0.872	0.021	3.08653157069938e-138	1	CHIT1	up
2.028956995048e-139	3.67906408344609	0.958	0.262	3.61681873937256e-135	1	PLAUR	up
1.11488696244726e-134	5.75422136415552	0.886	0.054	1.98739749925848e-130	1	ARG1	up
1.19873035947699e-134	4.82832199256745	0.909	0.107	2.13685673880367e-130	1	CATHL1	up
2.00099443970882e-130	5.13320500556354	0.818	0.042	3.56697268822494e-126	1	SLC44A5	up
3.18116211863063e-129	3.72546703861238	0.902	0.154	5.67073959267096e-125	1	THEM5	up
6.58492139173517e-129	4.42804633398467	0.87	0.078	1.17382808729071e-124	1	LOC138580932	up
1.50057359763342e-128	6.43915609800177	0.838	0.023	2.67492249514133e-124	1	RasGEF	up
1.27700231004141e-123	3.73427821751238	0.87	0.152	2.27638431787982e-119	1	IL1R1	up
6.0005291589994e-121	4.00703858966983	0.891	0.118	1.06965432788323e-116	1	ITGAX	up
6.81898618460481e-119	4.43502358739674	0.811	0.068	1.21555247726765e-114	1	MAG	up
2.590784779616e-115	3.45101786017473	0.927	0.246	4.61833294814348e-111	1	MMP9	up
3.48479404898534e-115	3.47335998662181	0.898	0.202	6.21199387172127e-111	1	TNFAIP8	up
4.96875527733472e-115	3.42870578795776	0.912	0.184	8.85730315737688e-111	1	LCP1	up
1.21511591818941e-114	3.3354246721036	0.917	0.195	2.16606563576444e-110	1	TNFRSF1B	up
4.04173298068458e-110	4.63395362872201	0.773	0.066	7.20479321136833e-106	1	TP53AIP1	up
3.98217482207012e-107	3.9751785619588	0.814	0.112	7.0986248378222e-103	1	TLR5	up
7.97114220404369e-107	7.30129406171158	0.716	0.009	1.42093580929283e-102	1	SCG2	up
2.42460725917019e-106	2.37643184037483	0.958	0.616	4.32210490019679e-102	1	ALDOA	up
2.21756887845507e-105	3.51937362613111	0.859	0.158	3.95303828273401e-101	1	TNIP1	up
2.05443459188411e-102	4.05759005000254	0.805	0.081	3.66223510349262e-98	1	RIPOR2	up
2.80684083268649e-102	4.40256714731996	0.793	0.077	5.00347446834693e-98	1	SFTPD	up
2.08661961173929e-100	2.88514274432407	0.931	0.394	3.71960811988645e-96	1	GSTM4	up
2.24718990402634e-98	3.4720577309678	0.762	0.125	4.00584072291736e-94	1	FAR2	up
7.855460698825e-96	2.22816010922979	0.917	0.252	1.40031442417254e-91	1	CD209	up
5.74986012262448e-93	3.80612903615797	0.742	0.085	1.02497006545904e-88	1	CORO1A	up
1.65409396541519e-92	3.69727128249007	0.768	0.105	2.94858790274912e-88	1	NCF2	up
1.87549464687188e-61	-4.36418846556203	0.107	0.584	3.34325675751381e-57	2	LOC138562538	down
7.07430915724365e-54	-3.2891421845657	0.101	0.516	1.26106635037025e-49	2	B2M	down
1.10311038065784e-51	-5.98415808987618	0.011	0.377	1.96640456456066e-47	2	CD53	down
1.38034695163496e-50	-6.34199368368629	0.019	0.405	2.46060647598448e-46	2	PLAUR	down
3.22638228482249e-50	-6.36185100805007	0.055	0.464	5.75134906092456e-46	2	LYZ	down
2.91865889483888e-49	-5.34023446637508	0.023	0.387	5.2028013459398e-45	2	CD209	down
4.34190015654145e-47	-6.24819071543551	0.011	0.372	7.73987121905078e-43	2	TARM1	down
3.61402987336406e-46	-4.36447245776267	0.048	0.422	6.44236965225877e-42	2	MPEG1	down
1.95395505372482e-43	-5.21332671285389	0.013	0.327	3.48312027876986e-39	2	SRGN	down
1.17119564470897e-41	-6.34809158440716	0.008	0.322	2.08777335625821e-37	2	LCP1	down
1.66260282259294e-40	-6.17366457753669	0.011	0.342	2.96375579155418e-36	2	FYB1	down
1.87326464775597e-40	-7.40457247003286	0.003	0.32	3.33928156108979e-36	2	PTPRC	down
8.03789323384152e-40	-5.72958362700866	0.012	0.321	1.43283484786459e-35	2	LOC138503116	down
3.83733532592774e-39	-5.36554046232983	0.019	0.34	6.84043395199879e-35	2	DOCK2	down
4.15296614858791e-38	-5.59145254182753	0.021	0.344	7.40307745647281e-34	2	S6C6	down
1.79279751915266e-37	-3.40560184221649	0.124	0.427	3.19584085764153e-33	2	LGALS9	down
1.308865098217e-36	-7.09520321546052	0.003	0.277	2.33318292408163e-32	2	NCKAP1L	down
3.83968568457805e-36	-6.3730393215581	0.005	0.289	6.84462370132883e-32	2	C5AR1	down
