p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.92080897861445e-94	2.28348924081033	0.97	0.609	4.85496868425293e-90	1	TGM3
6.44774017680671e-82	1.77547355952141	0.948	0.589	1.07174337218881e-77	1	MYO10
5.52669335863045e-77	1.68779340269411	0.944	0.591	9.18646970071554e-73	1	DSG2
2.76161712783273e-76	2.62329995287312	0.718	0.177	4.59035998988357e-72	1	LOC138472418
3.79263301888033e-74	2.09517044217039	0.814	0.308	6.30411460398288e-70	1	MUC2
4.24378699713722e-65	2.03666253708999	0.88	0.442	7.05402274664148e-61	1	ACTN4
7.32213754308396e-65	2.85791796255769	0.605	0.116	1.21708570241142e-60	1	MUC3B
4.09797706178986e-64	1.72020350467972	0.955	0.643	6.8116574721071e-60	1	EPPK1
5.35961795949641e-64	2.41705272817026	0.729	0.217	8.90875697227494e-60	1	NPDC1
1.4583535929978e-63	2.32308664805019	0.787	0.325	2.42407534228095e-59	1	LPO
5.98174920028954e-63	2.36761115276912	0.762	0.298	9.94286352072127e-59	1	A2M
1.50481109743979e-62	2.98672031155357	0.635	0.151	2.50129700616442e-58	1	NXPE4
2.15001021538182e-60	2.07654100029769	0.691	0.232	3.57374698000767e-56	1	BAIAP2L1
6.93048934268084e-60	2.36366932611261	0.638	0.157	1.15198593854041e-55	1	FAM3D
5.34035442580079e-59	2.09433575954508	0.688	0.205	8.87673712656607e-55	1	LOC138569359
9.51909388534913e-58	2.22719200401457	0.721	0.237	1.58226378562273e-53	1	EVPL
7.30806255991918e-57	1.6363844764508	0.931	0.577	1.21474615870977e-52	1	DSP
8.7852653189114e-57	1.36141981892962	0.988	0.739	1.46028680130945e-52	1	LOC138580807
5.56727300644747e-56	-1.66577753965213	0.957	0.982	9.25392119131699e-52	1	TMSB4X
1.71238191110743e-54	1.94252482788622	0.724	0.255	2.84632121264277e-50	1	CLDN4
4.04747729624616e-54	2.60583758208023	0.534	0.112	6.72771676182037e-50	1	ABCA12
9.27923143652344e-53	2.20310715506531	0.657	0.179	1.54239384937893e-48	1	ADGRF5
4.28714345029672e-52	2.20695862365653	0.648	0.193	7.12608984308321e-48	1	LOC138527095
4.50708525639668e-51	1.0802913013584	0.905	0.659	7.49167711318257e-47	1	CAPN1
4.39195253811963e-50	1.52946168053858	0.928	0.636	7.30030350886245e-46	1	TCHH
6.72035424199472e-50	1.92689392020119	0.714	0.31	1.11705728210436e-45	1	ENDOU
2.77022098148565e-49	1.26186854474609	0.975	0.691	4.60466131542544e-45	1	EPCAM
2.3286366259778e-48	-4.94362645913463	0.046	0.436	3.8706597997003e-44	1	COL5A1
9.42155225664625e-48	1.60499259657143	0.699	0.299	1.56605041609974e-43	1	SCEL
2.42816861555884e-47	-1.17027990443143	0.995	0.998	4.03610187278191e-43	1	LOC138582460
3.06300594005881e-47	2.11357983623391	0.621	0.208	5.09132847356575e-43	1	CGN
3.15637212275528e-47	2.12087127677726	0.703	0.249	5.24652174244383e-43	1	MALL
3.29330326720495e-47	1.07375380275221	1	1	5.47412869074807e-43	1	unassigned-gene-4
4.66578704940105e-47	1.34363948629781	0.905	0.58	7.75547123351443e-43	1	CLDN7
6.0966518984197e-47	2.24645456558444	0.542	0.133	1.01338547855532e-42	1	FER1L4
8.8959045054887e-47	1.21872854672689	0.889	0.601	1.47867724690233e-42	1	CAST
9.44583241403979e-47	2.17346529715132	0.644	0.208	1.57008626386169e-42	1	CAPN13
1.26448047654109e-46	-1.21380454634693	0.915	0.964	2.10181944810661e-42	1	RPS20
3.44172280268754e-46	-3.95574657173035	0.129	0.526	5.72083164262723e-42	1	COL5A2
2.32044946697571e-45	1.73086012981977	0.783	0.384	3.85705110400702e-41	1	LOC138521056
2.78029895138729e-45	-3.05551167315002	0.099	0.466	4.62141291699595e-41	1	MSN
3.69266458733664e-45	-1.09397294456846	0.947	0.982	6.13794707707096e-41	1	RPS14
4.37588914901304e-45	-1.12511023964825	0.983	0.992	7.27360294348947e-41	1	RPL32
7.44683187239653e-45	1.38726551184488	0.95	0.676	1.23781239382975e-40	1	PINLYP
1.3016738782293e-44	-1.27580397639946	0.999	0.999	2.16364232039275e-40	1	ACTB
1.30721273529365e-44	2.14465448553486	0.577	0.196	2.17284900860511e-40	1	GFPT2
2.36441647655788e-44	2.14828746454219	0.611	0.165	3.9301330673345e-40	1	MUC16
3.84256817385552e-44	-1.35511532283591	0.895	0.969	6.38711681858265e-40	1	RPS12
2.10973175717841e-43	2.37236121630981	0.517	0.129	3.50679612678195e-39	1	SYT2
2.67022310255344e-43	1.80443664116478	0.609	0.192	4.43844484106433e-39	1	BCAS1
3.39797970442219e-43	1.69567746747261	0.838	0.451	5.64812186469057e-39	1	MPEG1
4.34679256966704e-43	-1.305872075257	0.801	0.939	7.22523860930056e-39	1	RPL39
6.52826196844694e-43	1.71572911799734	0.816	0.452	1.08512770439525e-38	1	TTN
1.02438979605166e-42	1.21511460692045	0.88	0.643	1.70274071899708e-38	1	PERP
1.29918203366163e-42	1.7579458388776	0.766	0.366	2.15950037635235e-38	1	OTOA
1.50847591290303e-42	-1.19844655910674	0.945	0.981	2.50738866242741e-38	1	FAU
1.79561466507973e-42	1.37279092381319	0.719	0.353	2.98467069629553e-38	1	KLF5
2.64165284774585e-42	1.74022224011281	0.745	0.355	4.39095536352315e-38	1	MEF2D
3.14354194994796e-42	-1.23874121623784	0.945	0.981	5.2251954292035e-38	1	RPL35
4.44972254058474e-42	-1.16869281440768	0.956	0.983	7.39632880695996e-38	1	RPLP2
6.0250972274591e-42	2.5261379270011	0.569	0.184	1.00149166114825e-37	1	TGM1
6.18219132655261e-42	1.7533926066171	0.681	0.274	1.02760384229957e-37	1	PPL
1.56305000143363e-41	-1.22776206570365	0.821	0.947	2.59810171238298e-37	1	UBA52
1.77638277534799e-41	-1.14218643835544	0.817	0.935	2.95270344918343e-37	1	RPS15
1.87883885788337e-41	1.50062263326808	0.706	0.343	3.12300594957375e-37	1	LRBA
2.55591341800048e-41	1.92674379516795	0.585	0.199	4.24843928340039e-37	1	MYO5B
5.06111974799134e-41	1.42038764988136	0.851	0.524	8.4125932451112e-37	1	LIMA1
5.59945848368576e-41	1.45352130119372	0.744	0.37	9.30741989158248e-37	1	PKP1
1.34878192901997e-40	1.46663054560893	0.847	0.528	2.24194532241699e-36	1	SPINT2
2.31525082498476e-40	1.71312605880954	0.584	0.197	3.84840992128967e-36	1	CAPN9
4.04164416694397e-40	-1.04835981934254	0.886	0.955	6.71802093429426e-36	1	RPL14
4.57691733714698e-40	-1.08537337926478	0.923	0.972	7.6077519978057e-36	1	RPL19
4.77773074915488e-40	1.84061773851034	0.611	0.241	7.94154405124523e-36	1	THRB
7.1255040074127e-40	-1.23442545246444	0.78	0.923	1.18440127611214e-35	1	RPL35A
1.02933592017688e-39	1.89824497090969	0.576	0.207	1.71096216651801e-35	1	NR3C2
1.75794171967607e-39	-1.17095082454405	0.934	0.978	2.92205072644556e-35	1	RPLP1
2.52959713501991e-39	1.98110374260348	0.472	0.139	4.2046963578301e-35	1	B3GNT3
2.9583546961112e-39	-1.13597652492883	0.963	0.985	4.91737717587604e-35	1	RPS23
