p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
2.3286366259778e-48	-4.94362645913463	0.046	0.436	3.8706597997003e-44	1	COL5A1	down
3.44172280268754e-46	-3.95574657173035	0.129	0.526	5.72083164262723e-42	1	COL5A2	down
2.78029895138729e-45	-3.05551167315002	0.099	0.466	4.62141291699595e-41	1	MSN	down
3.98238778775091e-38	-2.53495342089016	0.184	0.544	6.61952498079956e-34	1	ITGBL1	down
1.50473927185341e-36	-3.03061564018827	0.085	0.378	2.50117761767474e-32	1	FKBP10	down
2.35378174772377e-33	-3.6310530652173	0.149	0.489	3.91245602106645e-29	1	FSTL1	down
1.7365595079784e-30	-3.42597270056192	0.072	0.337	2.88650921416169e-26	1	LTBP1	down
5.46598817865125e-30	-4.37675959435091	0.082	0.374	9.08556555055412e-26	1	POSTN	down
2.21904230651878e-29	-4.70167406406197	0.04	0.314	3.68849212189552e-25	1	COL11A1	down
3.57786080079772e-29	-5.39841894854632	0.014	0.244	5.94712022308598e-25	1	PFN2	down
5.68706280199401e-29	-3.82687882291664	0.029	0.247	9.45303578947445e-25	1	BASP1	down
6.45049302987174e-29	-3.22381566069874	0.055	0.298	1.07220095142528e-24	1	DST	down
6.46978888055946e-29	-3.61463734359804	0.029	0.274	1.07540830772659e-24	1	HSPG2	down
6.98242042376615e-29	-3.33549431940609	0.234	0.483	1.16061792283841e-24	1	VIM	down
1.85124003842733e-28	-4.3549727462154	0.06	0.361	3.0771311918739e-24	1	THBS2	down
3.47125284029282e-28	-3.3344952819908	0.138	0.419	5.76991647113473e-24	1	DCN	down
8.86180653783796e-28	-4.08315458393997	0.037	0.305	1.47300948271943e-23	1	CAV1	down
1.50786535412175e-26	-5.30517892620126	0.12	0.403	2.50637379162117e-22	1	COL3A1	down
7.52413587708954e-26	-2.82246300110648	0.068	0.287	1.25066186548982e-21	1	ANXA5	down
7.52733836733934e-26	-5.02349166264163	0.056	0.288	1.25119418341914e-21	1	FBN2	down
5.13299951238283e-25	-2.56170312175369	0.525	0.726	8.53207178948274e-21	1	SPARC	down
2.11935082737382e-24	-5.26508470300631	0.035	0.276	3.52278494526077e-20	1	FN1	down
2.73808765706594e-24	-1.49418583326105	0.308	0.586	4.55124930357501e-20	1	SEC61G	down
1.43441091415498e-22	-1.1706530200806	0.576	0.793	2.38427782150841e-18	1	DBI	down
2.53960915842454e-22	-5.10485330893659	0.034	0.261	4.22133834313327e-18	1	MDK	down
4.01651191284637e-22	-2.97354397277609	0.092	0.308	6.67624610153324e-18	1	HBB	down
5.27368164997289e-22	-4.45625043087411	0.04	0.268	8.76591363858494e-18	1	COL12A1	down
7.19115877464002e-22	-2.72756874622623	0.061	0.291	1.19531441152066e-17	1	LSP1	down
2.51975545007808e-21	-3.42833339481458	0.054	0.281	4.18833750911978e-17	1	VIT	down
2.95811519700592e-21	-4.15479602857868	0.037	0.271	4.91697908046325e-17	1	TNC	down
1.52241384669291e-20	-1.19770497037827	0.328	0.567	2.53055629597296e-16	1	MIF	down
1.82632680844871e-20	-2.1205454765074	0.085	0.309	3.03572042100345e-16	1	TLN1	down
2.94354325020385e-20	-2.68027241560595	0.107	0.343	4.89275759048884e-16	1	CALM2	down
2.99874255610629e-19	-2.96326207603204	0.053	0.271	4.98450987675987e-15	1	GALNT18	down
4.55383199684169e-19	-2.53004276718699	0.097	0.336	7.56937954515026e-15	1	THSD4	down
9.56285506420494e-19	-2.45837158836697	0.079	0.308	1.58953776877215e-14	1	SERPINH1	down
1.04267144462112e-18	-2.57348489650193	0.081	0.298	1.73312847524922e-14	1	SRPX	down
1.43672363644371e-18	-1.06802849472389	0.459	0.691	2.38812202849674e-14	1	LOC138510586	down
1.1667979412658e-17	-1.00897548508347	0.29	0.499	1.93945153797202e-13	1	FKBP1A	down
2.7072187534075e-17	-1.95089417095521	0.186	0.43	4.49993901191395e-13	1	TPM2	down
8.93557905157964e-17	-1.13374243155481	0.296	0.531	1.48527194995357e-12	1	LOC138566164	down
3.75115290183348e-16	-1.16920871448518	0.393	0.634	6.23516635342761e-12	1	LOC138504591	down
4.89949031931559e-16	-1.36347349481211	0.437	0.695	8.14393280876637e-12	1	PPDPF	down
9.50757239171276e-16	-1.20395473463391	0.377	0.617	1.58034868295049e-11	1	RPL8	down
1.76630104060546e-14	-2.24708526673789	0.122	0.353	2.9359455896944e-10	1	CALD1	down
1.17846287559055e-13	-1.91949345366499	0.153	0.376	1.95884099180661e-09	1	PKM	down
3.26245207522931e-13	-1.15115552996631	0.25	0.453	5.42284783944616e-09	1	UBL5	down
1.03823569122053e-12	-1.34813135684812	0.355	0.589	1.72575536594676e-08	1	FTH1	down
2.60141610912305e-12	-1.28672667961958	0.261	0.475	4.32407385658433e-08	1	TMEM167A	down
1.32799844434142e-11	-1.08685372363906	0.26	0.477	2.20739901418431e-07	1	TUSC3	down
1.60983154355672e-10	-1.17414559502075	0.254	0.467	2.67586199169997e-06	1	BTF3	down
2.92080897861445e-94	2.28348924081033	0.97	0.609	4.85496868425293e-90	1	TGM3	up
6.44774017680671e-82	1.77547355952141	0.948	0.589	1.07174337218881e-77	1	MYO10	up
5.52669335863045e-77	1.68779340269411	0.944	0.591	9.18646970071554e-73	1	DSG2	up
2.76161712783273e-76	2.62329995287312	0.718	0.177	4.59035998988357e-72	1	LOC138472418	up
3.79263301888033e-74	2.09517044217039	0.814	0.308	6.30411460398288e-70	1	MUC2	up
4.24378699713722e-65	2.03666253708999	0.88	0.442	7.05402274664148e-61	1	ACTN4	up
7.32213754308396e-65	2.85791796255769	0.605	0.116	1.21708570241142e-60	1	MUC3B	up
4.09797706178986e-64	1.72020350467972	0.955	0.643	6.8116574721071e-60	1	EPPK1	up
5.35961795949641e-64	2.41705272817026	0.729	0.217	8.90875697227494e-60	1	NPDC1	up
1.4583535929978e-63	2.32308664805019	0.787	0.325	2.42407534228095e-59	1	LPO	up
5.98174920028954e-63	2.36761115276912	0.762	0.298	9.94286352072127e-59	1	A2M	up
1.50481109743979e-62	2.98672031155357	0.635	0.151	2.50129700616442e-58	1	NXPE4	up
2.15001021538182e-60	2.07654100029769	0.691	0.232	3.57374698000767e-56	1	BAIAP2L1	up
6.93048934268084e-60	2.36366932611261	0.638	0.157	1.15198593854041e-55	1	FAM3D	up
5.34035442580079e-59	2.09433575954508	0.688	0.205	8.87673712656607e-55	1	LOC138569359	up
9.51909388534913e-58	2.22719200401457	0.721	0.237	1.58226378562273e-53	1	EVPL	up
7.30806255991918e-57	1.6363844764508	0.931	0.577	1.21474615870977e-52	1	DSP	up
8.7852653189114e-57	1.36141981892962	0.988	0.739	1.46028680130945e-52	1	LOC138580807	up
1.71238191110743e-54	1.94252482788622	0.724	0.255	2.84632121264277e-50	1	CLDN4	up
4.04747729624616e-54	2.60583758208023	0.534	0.112	6.72771676182037e-50	1	ABCA12	up
9.27923143652344e-53	2.20310715506531	0.657	0.179	1.54239384937893e-48	1	ADGRF5	up
4.28714345029672e-52	2.20695862365653	0.648	0.193	7.12608984308321e-48	1	LOC138527095	up
4.50708525639668e-51	1.0802913013584	0.905	0.659	7.49167711318257e-47	1	CAPN1	up
4.39195253811963e-50	1.52946168053858	0.928	0.636	7.30030350886245e-46	1	TCHH	up
6.72035424199472e-50	1.92689392020119	0.714	0.31	1.11705728210436e-45	1	ENDOU	up
2.77022098148565e-49	1.26186854474609	0.975	0.691	4.60466131542544e-45	1	EPCAM	up
9.42155225664625e-48	1.60499259657143	0.699	0.299	1.56605041609974e-43	1	SCEL	up
3.06300594005881e-47	2.11357983623391	0.621	0.208	5.09132847356575e-43	1	CGN	up
3.15637212275528e-47	2.12087127677726	0.703	0.249	5.24652174244383e-43	1	MALL	up
4.66578704940105e-47	1.34363948629781	0.905	0.58	7.75547123351443e-43	1	CLDN7	up
6.0966518984197e-47	2.24645456558444	0.542	0.133	1.01338547855532e-42	1	FER1L4	up
8.8959045054887e-47	1.21872854672689	0.889	0.601	1.47867724690233e-42	1	CAST	up
9.44583241403979e-47	2.17346529715132	0.644	0.208	1.57008626386169e-42	1	CAPN13	up
2.32044946697571e-45	1.73086012981977	0.783	0.384	3.85705110400702e-41	1	LOC138521056	up
7.44683187239653e-45	1.38726551184488	0.95	0.676	1.23781239382975e-40	1	PINLYP	up
1.30721273529365e-44	2.14465448553486	0.577	0.196	2.17284900860511e-40	1	GFPT2	up
2.36441647655788e-44	2.14828746454219	0.611	0.165	3.9301330673345e-40	1	MUC16	up
2.10973175717841e-43	2.37236121630981	0.517	0.129	3.50679612678195e-39	1	SYT2	up
2.67022310255344e-43	1.80443664116478	0.609	0.192	4.43844484106433e-39	1	BCAS1	up
3.39797970442219e-43	1.69567746747261	0.838	0.451	5.64812186469057e-39	1	MPEG1	up
6.52826196844694e-43	1.71572911799734	0.816	0.452	1.08512770439525e-38	1	TTN	up
1.02438979605166e-42	1.21511460692045	0.88	0.643	1.70274071899708e-38	1	PERP	up
1.29918203366163e-42	1.7579458388776	0.766	0.366	2.15950037635235e-38	1	OTOA	up
1.79561466507973e-42	1.37279092381319	0.719	0.353	2.98467069629553e-38	1	KLF5	up
2.64165284774585e-42	1.74022224011281	0.745	0.355	4.39095536352315e-38	1	MEF2D	up
6.0250972274591e-42	2.5261379270011	0.569	0.184	1.00149166114825e-37	1	TGM1	up
6.18219132655261e-42	1.7533926066171	0.681	0.274	1.02760384229957e-37	1	PPL	up
1.87883885788337e-41	1.50062263326808	0.706	0.343	3.12300594957375e-37	1	LRBA	up
2.55591341800048e-41	1.92674379516795	0.585	0.199	4.24843928340039e-37	1	MYO5B	up
5.06111974799134e-41	1.42038764988136	0.851	0.524	8.4125932451112e-37	1	LIMA1	up
5.59945848368576e-41	1.45352130119372	0.744	0.37	9.30741989158248e-37	1	PKP1	up
1.34878192901997e-40	1.46663054560893	0.847	0.528	2.24194532241699e-36	1	SPINT2	up
2.31525082498476e-40	1.71312605880954	0.584	0.197	3.84840992128967e-36	1	CAPN9	up
4.77773074915488e-40	1.84061773851034	0.611	0.241	7.94154405124523e-36	1	THRB	up
1.02933592017688e-39	1.89824497090969	0.576	0.207	1.71096216651801e-35	1	NR3C2	up
2.52959713501991e-39	1.98110374260348	0.472	0.139	4.2046963578301e-35	1	B3GNT3	up
4.99921338779413e-39	1.38241630395262	0.812	0.47	8.30969249319141e-35	1	CA5A	up
6.15893002583468e-38	2.24916940168073	0.457	0.116	1.02373734889424e-33	1	ATP8B1	up
1.31780379987682e-37	2.00015157527159	0.654	0.228	2.19045347615526e-33	1	FAM83B	up
1.63145651595994e-37	1.36586615770393	0.772	0.476	2.71180702082862e-33	1	NFX1	up
1.76954616826584e-36	2.49504398111039	0.48	0.107	2.94133964089148e-32	1	NECTIN4	up
2.17614737803614e-36	1.67423574512207	0.766	0.385	3.61719217177167e-32	1	DSC2	up
2.62632419082935e-36	1.60914259137201	0.72	0.363	4.36547606999654e-32	1	MYCBP2	up
2.88077757872996e-36	1.55100424108459	0.702	0.346	4.78842849136494e-32	1	HELZ2	up
3.60053812556024e-36	1.51341784760735	0.681	0.317	5.98481447230623e-32	1	MCU	up
6.18980854640649e-36	1.39105663693076	0.682	0.342	1.02886997658369e-31	1	CAPN2	up
1.33983851224933e-35	1.61869086680515	0.682	0.365	2.22707957506084e-31	1	EMP1	up
1.46476315114431e-35	1.27743629388989	0.73	0.409	2.43472930983207e-31	1	PDE4B	up
1.64047799655943e-35	1.43021988784661	0.68	0.327	2.72680252588108e-31	1	PARP14	up
2.57995999704679e-35	1.99178672560051	0.613	0.223	4.28840950709118e-31	1	LOC138583127	up
2.89556775176135e-35	1.92154859848294	0.61	0.226	4.81301271697771e-31	1	RBM47	up
8.68033293558479e-35	1.33822738173807	0.568	0.263	1.4428449405529e-30	1	FAM83H	up
1.42551095966072e-34	2.49350824758267	0.386	0.076	2.36948431714805e-30	1	CWH43	up
1.72101371607351e-34	1.31564742041631	0.725	0.411	2.86066899885739e-30	1	UGDH	up
2.02915213388936e-34	2.39288232217733	0.502	0.114	3.37285667695089e-30	1	LOC138491116	up
2.61920880181828e-34	1.68047423445335	0.538	0.214	4.35364887038235e-30	1	TOLLIP	up
3.06300513253014e-34	1.4636498862088	0.642	0.283	5.09132713129159e-30	1	LOC138570219	up
1.05877775100817e-33	1.48263931485512	0.628	0.257	1.75990037772577e-29	1	UPK1A	up
2.59651050675197e-33	2.20632855169932	0.469	0.12	4.31591976432312e-29	1	ATP2C2	up
4.01104336970026e-33	1.70949640325922	0.563	0.21	6.66715628911577e-29	1	LMO7	up
5.44382757111212e-33	2.33473451286957	0.426	0.099	9.04873018870256e-29	1	ERBB3	up
7.32631195284044e-33	2.20825071744116	0.498	0.171	1.21777957280114e-28	1	BR3	up
2.51291321157606e-32	2.04911569251711	0.492	0.152	4.17696434028172e-28	1	LOC138569270	up
2.53480784219255e-32	1.71423959841372	0.564	0.21	4.21335759529246e-28	1	ATP2A3	up
3.12107604308147e-32	2.08886674019493	0.475	0.137	5.18785259881003e-28	1	GALNT6	up
6.26355451936303e-32	1.0840880353845	0.672	0.316	1.04112803220852e-27	1	LOC138487720	up
8.72131275261202e-32	1.70358633593173	0.548	0.199	1.44965660573917e-27	1	PATJ	up
1.22269568477758e-31	2.26560503977836	0.399	0.101	2.03236476723729e-27	1	LOC138515848	up
3.03697133324928e-31	1.33474907957427	0.591	0.281	5.04805375012696e-27	1	AP1S3	up
3.73636055397477e-31	2.40962664845863	0.411	0.1	6.21057851281687e-27	1	ST6GALNAC1	up
4.55617272592223e-31	1.74025807191388	0.583	0.221	7.57327030502793e-27	1	ESRP2	up
6.57515944661879e-31	1.27890353283123	0.693	0.327	1.09292300321698e-26	1	SYTL2	up
6.77499707069457e-31	1.89330718402059	0.486	0.173	1.12614001309085e-26	1	AGR3	up
9.92654135957894e-31	1.25381148476993	0.697	0.372	1.64998970478921e-26	1	ADCY4	up
1.12872361111191e-30	2.52544224595266	0.352	0.082	1.87616438639022e-26	1	LOC138522079	up
1.17484477061789e-30	1.43875676911001	0.596	0.275	1.95282697772106e-26	1	PITPNA	up
1.24974321862353e-30	1.37268658814766	0.713	0.404	2.07732317799603e-26	1	EMP2	up
