p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.12217172603424e-148	3.22712755079071	0.99	0.409	2.04280141007273e-144	1	PSAP
1.21684150047473e-148	3.75997328310762	0.992	0.288	2.21513826746421e-144	1	LYZ
5.9927763476054e-145	3.60947313595164	0.983	0.365	1.09092500631809e-140	1	CTSB
8.33663907798299e-136	4.52289013954106	0.846	0.047	1.51760177775602e-131	1	C1QC
7.34883543091533e-134	3.53723600860945	0.988	0.482	1.33778200184383e-129	1	CTSL
6.55744777177746e-133	4.4724685572202	0.849	0.053	1.19371779237437e-128	1	C1QB
1.78354234343055e-127	3.78532675924351	0.854	0.058	3.24676048198097e-123	1	CSF1R
2.62773969771704e-126	3.3636049033854	0.931	0.189	4.78353734572409e-122	1	LGMN
1.85029689461256e-125	4.52876663943372	0.83	0.075	3.3682804669527e-121	1	PLBD1
1.4251864193108e-124	3.58710973618431	0.911	0.16	2.59440935771338e-120	1	CTSZ
1.94557920419477e-124	4.19654489917023	0.868	0.106	3.54173238331615e-120	1	APOE
3.27666368994202e-124	3.74596609432136	0.923	0.218	5.96483858117045e-120	1	LGALS3BP
2.72433853940075e-121	2.99416463926092	0.993	0.775	4.95938587712512e-117	1	CSTB
1.57161237141863e-120	3.98136810023823	0.848	0.105	2.86096316093048e-116	1	CD300LF
2.38024436894127e-120	2.70953424250959	0.936	0.179	4.3329968492207e-116	1	TARM1
1.02141334922699e-118	2.51823765684298	0.979	0.55	1.85938086093281e-114	1	NPC2
1.7869114506066e-118	3.1372950353824	0.94	0.271	3.25289360468426e-114	1	CTSC
2.07298901600219e-116	2.66605211295458	0.942	0.257	3.77366920473038e-112	1	BPI
5.23297699724887e-115	2.60638079307647	0.957	0.276	9.52611132579185e-111	1	GRN
1.75536935752176e-114	4.34275210718236	0.795	0.095	3.19547437843262e-110	1	UCP2
3.25270042704331e-113	2.58300942798331	1	0.992	5.92121585738964e-109	1	Fth1
1.8947999398807e-111	2.32958928459647	0.991	0.73	3.44929381055883e-107	1	VIM
7.81383447841546e-108	2.58441731787815	0.93	0.371	1.42243042845075e-103	1	GPX1
1.29681644330961e-106	2.47251050967834	0.881	0.178	2.36072465340082e-102	1	SPACA4
6.97332770323171e-106	3.84186123594541	0.802	0.095	1.2694245750963e-101	1	CLEC
5.88896050955457e-105	2.25617932601168	0.967	0.46	1.07202637115931e-100	1	ATP6V0C
5.65630601529727e-103	3.25481649752322	0.79	0.105	1.02967394702471e-98	1	CD68
1.61148435259609e-102	4.53260737670961	0.747	0.043	2.93354611546592e-98	1	MARCO
8.40332582535127e-102	3.64994123777042	0.807	0.094	1.52974143324695e-97	1	AIF1
1.22016058858584e-101	3.44338687101249	0.729	0.077	2.22118033546166e-97	1	EVL
9.5856351089334e-101	2.77470181427913	0.922	0.274	1.74496901523024e-96	1	LGALS9
5.3164551757911e-100	3.20623774239196	0.841	0.179	9.67807500201013e-96	1	RNASET2
8.03493732357201e-98	2.01983108971475	0.893	0.206	1.46267999038305e-93	1	CD209
1.75052350972189e-97	-5.30396218704204	0.216	0.774	3.18665299709773e-93	1	COL1A2
1.96586731804474e-96	3.56543625706858	0.783	0.104	3.57866486576865e-92	1	SLC43A2
3.48530165856133e-96	3.01586359726543	0.812	0.156	6.34464313924504e-92	1	ASAH1
6.74666864747021e-96	-4.99155081128697	0.13	0.737	1.22816356058548e-91	1	SPARC
6.85797163582966e-96	3.04506394046918	0.804	0.145	1.24842515658643e-91	1	PRSS16
6.80526415681857e-92	3.4903010839006	0.776	0.099	1.23883028710725e-87	1	SLC7A8
2.26443492328995e-91	3.731412822709	0.754	0.1	4.12217733435702e-87	1	DNASE2
3.96982757375991e-91	2.42868433912856	0.899	0.29	7.22667411527254e-87	1	MPEG1
3.97008426728598e-90	2.66653627568019	0.819	0.158	7.2271414001674e-86	1	LOC138503116
2.73336044037452e-89	2.88154798767986	0.783	0.167	4.97580934565778e-85	1	BRI3
5.46675706692487e-89	2.53434211136422	0.84	0.215	9.95168456463003e-85	1	ATP6V1B2
1.4491475997983e-88	3.27065704267266	0.868	0.313	2.63802829067283e-84	1	SELENOP
6.60537267171509e-87	2.14919900487149	0.877	0.201	1.20244204115901e-82	1	CD53
5.33220193277827e-85	1.93319276431351	0.918	0.344	9.70674039842956e-81	1	ATP6V1A
1.90963650156721e-84	3.25604682680988	0.695	0.101	3.47630228745295e-80	1	CTSD
3.61591256565298e-84	3.02623105683252	0.769	0.119	6.58240723451468e-80	1	ACP5
4.2128134163135e-83	4.18625911855963	0.578	0.031	7.6690055430571e-79	1	CD5L
2.88816667124066e-82	3.6296002176937	0.688	0.065	5.25761860832649e-78	1	HCST
9.58224985127734e-81	2.64125980846544	0.785	0.149	1.74435276292653e-76	1	TCIRG1
4.07458471179557e-80	2.04274728574834	0.82	0.172	7.41737400935266e-76	1	DOCK2
5.89994765691748e-80	2.23763095747532	0.81	0.166	1.07402647146526e-75	1	SRGN
1.20263370865552e-79	1.89431495580969	0.831	0.191	2.18927440323652e-75	1	CYBA
2.61703334336765e-79	-5.22229776960233	0.176	0.723	4.76404749826648e-75	1	COL1A1
4.58281811210098e-79	1.91868074041339	0.806	0.176	8.34256209126862e-75	1	FYB1
2.97187660485003e-78	1.7558654033936	0.893	0.385	5.41000417146899e-74	1	SH3BGRL3
4.37225042208118e-78	1.66328159189308	0.79	0.197	7.95924466835658e-74	1	S6C6
4.71084596262445e-78	2.23685098252377	0.834	0.262	8.57562399036156e-74	1	ATP6V0E1
1.1001339856866e-77	2.45343502685578	0.811	0.206	2.00268390754389e-73	1	CMKLR1
3.87877994361601e-77	5.05820809578122	0.539	0.021	7.06093100935859e-73	1	TREM2
4.61708913461066e-77	-2.46229638336116	0.542	0.888	8.40494906064525e-73	1	HMGN1
6.81447796631151e-76	2.76517343286449	0.652	0.096	1.24050756898735e-71	1	WDFY4
1.62369744195561e-74	1.90982456376634	0.965	0.626	2.95577882333599e-70	1	LGALS1
2.71739289866772e-74	3.28155267024433	0.682	0.096	4.94674203273471e-70	1	PRCP
4.30212131975218e-74	2.22911362189925	0.764	0.212	7.83158165047687e-70	1	ATP6AP2
7.7911805494343e-73	2.31776499340678	0.781	0.213	1.41830650721902e-68	1	EPB41L3
1.61655507721165e-72	-5.20736981033156	0.068	0.572	2.94277686255608e-68	1	COL5A2
3.28705129654407e-72	3.72841408484648	0.581	0.055	5.98374818022882e-68	1	MPP1
1.10740646351319e-70	3.27682204633336	0.563	0.064	2.01592272617942e-66	1	TASL
1.7727133145746e-70	3.02427048734858	0.715	0.149	3.2270473178516e-66	1	CNDP2
1.49751927989336e-69	2.41486746550553	0.687	0.141	2.72608409711788e-65	1	CD22
4.15887572260417e-69	1.87186686832133	0.736	0.179	7.57081736542863e-65	1	ASGR1
9.46177305176071e-69	3.003507761204	0.587	0.077	1.72242116634252e-64	1	MITF
2.58493051564354e-68	2.15575765064009	0.734	0.141	4.70560751067751e-64	1	C5AR1
7.24115149591353e-68	1.46879155656634	0.959	0.51	1.3181792183161e-63	1	LOC138562538
1.30036584717845e-67	3.77744272599927	0.573	0.063	2.36718598820365e-63	1	LOC138583015
