p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.75052350972189e-97	-5.30396218704204	0.216	0.774	3.18665299709773e-93	1	COL1A2	down
6.74666864747021e-96	-4.99155081128697	0.13	0.737	1.22816356058548e-91	1	SPARC	down
2.61703334336765e-79	-5.22229776960233	0.176	0.723	4.76404749826648e-75	1	COL1A1	down
4.61708913461066e-77	-2.46229638336116	0.542	0.888	8.40494906064525e-73	1	HMGN1	down
1.61655507721165e-72	-5.20736981033156	0.068	0.572	2.94277686255608e-68	1	COL5A2	down
3.51554139688295e-67	-4.99022626923197	0.099	0.588	6.39969155888573e-63	1	FSTL1	down
8.07253987483897e-64	-6.16018433619734	0.093	0.567	1.46952515881569e-59	1	COL3A1	down
8.1810958580413e-64	-5.91035849056422	0.03	0.486	1.48928668999784e-59	1	COL5A1	down
1.27415270367839e-57	-4.82075283825056	0.027	0.396	2.31946758177615e-53	1	FKBP10	down
5.13322405495796e-54	-5.36802780921563	0.042	0.465	9.34452106964547e-50	1	DCN	down
1.70221919913815e-51	-5.3064896948622	0.034	0.422	3.09871983011108e-47	1	LTBP1	down
4.4733490588221e-51	-5.8657964396464	0.039	0.428	8.14328462667975e-47	1	POSTN	down
7.13671412500971e-51	-5.57041092319506	0.046	0.449	1.29916743931677e-46	1	FN1	down
5.29065009187853e-50	-4.92051269440521	0.058	0.447	9.63109942725568e-46	1	KRT18	down
5.58450901452455e-50	-5.27089778552802	0.067	0.455	1.01660402100405e-45	1	FBN2	down
1.03690310543404e-47	-5.67792824637027	0.05	0.422	1.88757841313213e-43	1	LUM	down
3.93187673205073e-46	-3.6403985622907	0.056	0.428	7.15758840302515e-42	1	CDH1	down
3.85142596265458e-44	-4.66649251765756	0.02	0.314	7.0111358224164e-40	1	MFAP2	down
5.51041035048676e-44	-5.6060123007931	0.051	0.43	1.00311510020261e-39	1	MDK	down
1.41045748872592e-43	-5.19894996991713	0.05	0.425	2.56759681247666e-39	1	THBS2	down
3.45895028759179e-42	-3.83945815676697	0.111	0.508	6.2966731035321e-38	1	KRT8	down
2.35823201511986e-40	-3.43524696808588	0.348	0.694	4.2929255603242e-36	1	LOC138580806	down
2.48109331159227e-40	-2.45647739141707	0.152	0.535	4.51658226442257e-36	1	CTNNB1	down
3.50877528433387e-40	-5.41962996892168	0.033	0.338	6.38737452760138e-36	1	COL12A1	down
5.52332817736271e-40	-5.34450385714262	0.029	0.349	1.00546666140711e-35	1	TNC	down
2.03534718767186e-39	-5.40389667080948	0.024	0.352	3.70514602043785e-35	1	COL6A1	down
2.8071626154516e-39	-5.48920043828038	0.016	0.339	5.1101588251681e-35	1	BGN	down
3.23815775618101e-37	-2.73420982184053	0.077	0.379	5.89474237935191e-33	1	PLS3	down
3.31502548060884e-37	-4.64756298272829	0.02	0.323	6.03467238490034e-33	1	SERPINH1	down
1.43188757410163e-36	-5.53217276090393	0.023	0.309	2.60660813989461e-32	1	COL11A1	down
1.12217172603424e-148	3.22712755079071	0.99	0.409	2.04280141007273e-144	1	PSAP	up
1.21684150047473e-148	3.75997328310762	0.992	0.288	2.21513826746421e-144	1	LYZ	up
5.9927763476054e-145	3.60947313595164	0.983	0.365	1.09092500631809e-140	1	CTSB	up
8.33663907798299e-136	4.52289013954106	0.846	0.047	1.51760177775602e-131	1	C1QC	up
7.34883543091533e-134	3.53723600860945	0.988	0.482	1.33778200184383e-129	1	CTSL	up
6.55744777177746e-133	4.4724685572202	0.849	0.053	1.19371779237437e-128	1	C1QB	up
1.78354234343055e-127	3.78532675924351	0.854	0.058	3.24676048198097e-123	1	CSF1R	up
2.62773969771704e-126	3.3636049033854	0.931	0.189	4.78353734572409e-122	1	LGMN	up
1.85029689461256e-125	4.52876663943372	0.83	0.075	3.3682804669527e-121	1	PLBD1	up
1.4251864193108e-124	3.58710973618431	0.911	0.16	2.59440935771338e-120	1	CTSZ	up
1.94557920419477e-124	4.19654489917023	0.868	0.106	3.54173238331615e-120	1	APOE	up
3.27666368994202e-124	3.74596609432136	0.923	0.218	5.96483858117045e-120	1	LGALS3BP	up
2.72433853940075e-121	2.99416463926092	0.993	0.775	4.95938587712512e-117	1	CSTB	up
1.57161237141863e-120	3.98136810023823	0.848	0.105	2.86096316093048e-116	1	CD300LF	up
2.38024436894127e-120	2.70953424250959	0.936	0.179	4.3329968492207e-116	1	TARM1	up
1.02141334922699e-118	2.51823765684298	0.979	0.55	1.85938086093281e-114	1	NPC2	up
1.7869114506066e-118	3.1372950353824	0.94	0.271	3.25289360468426e-114	1	CTSC	up
2.07298901600219e-116	2.66605211295458	0.942	0.257	3.77366920473038e-112	1	BPI	up
5.23297699724887e-115	2.60638079307647	0.957	0.276	9.52611132579185e-111	1	GRN	up
1.75536935752176e-114	4.34275210718236	0.795	0.095	3.19547437843262e-110	1	UCP2	up
1.8947999398807e-111	2.32958928459647	0.991	0.73	3.44929381055883e-107	1	VIM	up
7.81383447841546e-108	2.58441731787815	0.93	0.371	1.42243042845075e-103	1	GPX1	up
1.29681644330961e-106	2.47251050967834	0.881	0.178	2.36072465340082e-102	1	SPACA4	up
6.97332770323171e-106	3.84186123594541	0.802	0.095	1.2694245750963e-101	1	CLEC	up
5.88896050955457e-105	2.25617932601168	0.967	0.46	1.07202637115931e-100	1	ATP6V0C	up
5.65630601529727e-103	3.25481649752322	0.79	0.105	1.02967394702471e-98	1	CD68	up
1.61148435259609e-102	4.53260737670961	0.747	0.043	2.93354611546592e-98	1	MARCO	up
8.40332582535127e-102	3.64994123777042	0.807	0.094	1.52974143324695e-97	1	AIF1	up
1.22016058858584e-101	3.44338687101249	0.729	0.077	2.22118033546166e-97	1	EVL	up
9.5856351089334e-101	2.77470181427913	0.922	0.274	1.74496901523024e-96	1	LGALS9	up
1.01120747424331e-69	-4.13120931827159	0.151	0.679	1.84080208611252e-65	2	LOC138562538	down
1.64117796320727e-48	-4.85202254579886	0.045	0.427	2.98760036422251e-44	2	PLAUR	down
4.03625096874283e-46	-5.13979530616904	0.024	0.341	7.34759126349944e-42	2	DOCK2	down
9.24198653868451e-44	-4.64180537723639	0.034	0.371	1.68241122950213e-39	2	TARM1	down
2.1276176887219e-43	-5.71042488779339	0.016	0.343	3.87311524054935e-39	2	FYB1	down
1.19830859440775e-42	-4.85411749113799	0.022	0.327	2.18140096525986e-38	2	LOC138503116	down
2.26224215295956e-42	-5.67961697706607	0.011	0.325	4.11818561524758e-38	2	PTPRC	down
5.85575615615198e-42	-4.43689199643511	0.033	0.38	1.06598185066591e-37	2	CD53	down
7.46240109526057e-42	-4.89708837383062	0.106	0.476	1.35845549538123e-37	2	LYZ	down
2.1729593743249e-41	-3.65679049781925	0.091	0.461	3.95565524502105e-37	2	MPEG1	down
4.73696150984954e-41	-5.27321105286168	0.018	0.329	8.62316473253011e-37	2	LCP1	down
8.49160262908377e-41	-4.53983510090239	0.022	0.334	1.54581134259841e-36	2	SRGN	down
2.40293170723355e-40	-5.37361384301082	0.024	0.359	4.37429687984795e-36	2	S6C6	down
4.45836925288415e-39	-3.67489062877907	0.044	0.38	8.11601538795031e-35	2	WFDC5	down
2.2896735017436e-37	-4.35022462330671	0.031	0.333	4.16812164257405e-33	2	VSIR	down
4.96022575218918e-37	-4.239988891538	0.051	0.385	9.02959495928518e-33	2	CD209	down
1.25707591157083e-36	-3.72558492652815	0.052	0.358	2.28838098942355e-32	2	ARAP1	down
2.7879567247274e-36	-5.50136699367771	0.013	0.283	5.07519642169376e-32	2	CD300LF	down
4.91758128718363e-36	-6.26595151311735	0.006	0.268	8.95196497518908e-32	2	ARHGAP30	down
1.09158268812212e-35	-4.67614109211173	0.019	0.302	1.98711712545751e-31	2	PLEKHA2	down
3.12878426960349e-35	-5.45365544549015	0.011	0.284	5.6956388843862e-31	2	CD22	down
3.64193098567159e-35	-3.83810315589669	0.052	0.338	6.62977116631656e-31	2	TNFRSF1B	down
5.29425754976881e-35	-5.02272700703523	0.015	0.294	9.63766644359914e-31	2	C5AR1	down
1.40582856428838e-34	-4.78878804783803	0.018	0.285	2.55917031843057e-30	2	CYBB	down
8.62206520388145e-34	-5.93900509197185	0.008	0.256	1.56956074971458e-29	2	CCDC88B	down
