p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.67773721568067e-160	4.69018222455857	0.992	0.248	3.17192997996588e-156	1	COL3A1
1.98908615270586e-151	3.66970784706785	0.984	0.278	3.76056628030571e-147	1	COL5A2
1.10515550736042e-148	4.22109394123122	0.967	0.138	2.08940700221561e-144	1	FBN2
1.40550059588678e-146	4.09449285601158	0.982	0.291	2.65723942658354e-142	1	FSTL1
2.69314047883631e-144	3.89136847699498	0.961	0.194	5.09165138928793e-140	1	COL5A1
1.15454970065046e-138	4.42998923190995	0.952	0.117	2.18279166404977e-134	1	LUM
8.77680315313695e-137	4.9624859658742	0.853	0.092	1.65934240413207e-132	1	COL6A3
4.40523621076949e-131	4.57669830314266	0.876	0.077	8.3285395800808e-127	1	COL6A1
1.91905071635402e-129	4.47121806611519	0.843	0.064	3.62815728433891e-125	1	BGN
1.99205016589313e-121	4.21230335897484	0.863	0.181	3.76617004363756e-117	1	POSTN
5.48530455031056e-113	2.3096623760696	0.983	0.556	1.03705167828171e-108	1	SPARC
4.59592989911609e-112	3.40861795348838	0.889	0.135	8.68906506726888e-108	1	FN1
5.64663780392448e-110	3.70450989453802	0.833	0.14	1.06755334320996e-105	1	MDK
1.536660497942e-109	3.8530169444752	0.844	0.122	2.90521033740915e-105	1	VCAN
4.03914027247485e-106	4.55591216221693	0.753	0.058	7.63639859914094e-102	1	COL6A2
1.15977544535706e-105	2.98049383515272	0.879	0.229	2.19267145699205e-101	1	DCN
9.80707383124443e-105	3.71754783908205	0.853	0.15	1.85412537853507e-100	1	LTBP1
1.17644541372367e-104	2.21808435697528	0.99	0.631	2.22418769918597e-100	1	COL1A2
3.36798483306663e-101	3.46470369747612	0.813	0.138	6.36751212539577e-97	1	PFN2
2.67275734463782e-99	3.49558175059823	0.857	0.173	5.05311503577227e-95	1	THBS2
1.46141415801197e-94	4.38872130913148	0.692	0.055	2.76294960713743e-90	1	AEBP1
1.25691930816223e-93	4.95470826913794	0.676	0.045	2.37633164401151e-89	1	DPT
1.45322226013207e-93	2.06147366098709	0.984	0.552	2.74746200500569e-89	1	COL1A1
1.16626650508074e-92	-3.80716667200796	0.218	0.758	2.20494345450565e-88	1	LOC138562538
2.07798817819971e-88	2.69483201947315	0.819	0.234	3.92864444970437e-84	1	KRT18
1.87971368596693e-82	1.97360954406817	0.907	0.362	3.55378669468907e-78	1	ITGBL1
3.1035376855474e-82	2.63735466495273	0.783	0.174	5.86754834829592e-78	1	TGFBI
5.72257991138788e-82	4.16189686543613	0.602	0.043	1.08191095804699e-77	1	OGN
5.40542142750002e-80	3.5189602100926	0.683	0.089	1.02194897508315e-75	1	CTSG
1.3574905092901e-78	3.71866110564975	0.728	0.117	2.56647155686386e-74	1	COL12A1
8.29502983733771e-78	3.693803897019	0.636	0.061	1.56825834104707e-73	1	MMP2
2.05100611091105e-76	4.33771115452896	0.61	0.033	3.87763215328843e-72	1	CDH11
3.61953855197939e-76	5.39241676648346	0.605	0.042	6.84309958637224e-72	1	FBN1
6.10364228213203e-75	4.67179786663847	0.581	0.028	1.15395460985988e-70	1	PRRX1
7.29427014609484e-73	2.75337885251367	0.766	0.246	1.37905471382069e-68	1	LOC138487902
2.05155533329339e-71	-3.50265325331214	0.175	0.64	3.87867051312449e-67	1	PINLYP
1.68303999909179e-70	3.08853297034364	0.739	0.193	3.18195542228293e-66	1	CALD1
2.492736731616e-70	3.38049609499086	0.602	0.08	4.71276806479321e-66	1	LOXL2
5.93801595117614e-68	3.19362310097767	0.669	0.136	1.12264129572936e-63	1	TNC
2.13796466979167e-67	3.19127800185881	0.587	0.086	4.04203600470814e-63	1	TNS1
5.78112303585692e-67	2.32943136717595	0.708	0.195	1.09297912115911e-62	1	FKBP10
5.70891476614662e-65	3.97509707068505	0.482	0.035	1.07932742568768e-60	1	LSAMP
4.8586378453546e-64	4.26345769033648	0.599	0.068	9.1857407104274e-60	1	RARRES1
1.42309436356331e-63	3.13611548476558	0.559	0.077	2.6905022037528e-59	1	RBMS3
6.79880854497198e-63	3.36486703282893	0.489	0.056	1.2853827435124e-58	1	PXDN
1.52164396942994e-62	4.09498439567585	0.507	0.037	2.87682008860424e-58	1	GLIS3
1.65113703746132e-62	2.5212191079343	0.593	0.115	3.12163968302437e-58	1	CTHRC1
2.24440983027345e-62	2.44105739741157	0.653	0.17	4.24328122511498e-58	1	CALU
3.12773746598672e-62	1.49755994504984	0.92	0.454	5.9133004531945e-58	1	LGALS1
3.84256118744892e-62	2.62062195166715	0.772	0.235	7.26474618099093e-58	1	LRP1
4.26170259113909e-62	3.77090904712998	0.525	0.047	8.05717491880757e-58	1	CCDC80
2.38586576594546e-61	-2.96488479251587	0.551	0.843	4.51071781709648e-57	1	KRT1
6.09840299013834e-61	3.12405780289267	0.557	0.089	1.15296406931556e-56	1	RCN3
8.64720976959704e-61	-2.43791630246952	0.688	0.897	1.63484147904002e-56	1	PMP2
1.11882551906121e-60	1.73906676125013	0.823	0.432	2.11525152633712e-56	1	KDELR2
3.49448349617869e-60	2.16083379140483	0.819	0.34	6.60667049787543e-56	1	MARCKS
8.56310693792209e-60	3.51296162081881	0.586	0.071	1.61894099768355e-55	1	CD2
2.08259245537656e-59	-3.33289971772431	0.193	0.654	3.93734929613493e-55	1	EPCAM
2.33405990481715e-59	3.50712116309666	0.484	0.043	4.41277365604731e-55	1	CDH13
4.37485661873653e-59	3.4112179763812	0.528	0.054	8.27110392338329e-55	1	NID2
6.20648181796281e-59	2.29885276050669	0.763	0.261	1.17339745250405e-54	1	CALM2
8.45220227401489e-59	-3.71118123075087	0.094	0.562	1.59797336192525e-54	1	DSP
1.11365422779114e-58	4.83476227907385	0.492	0.043	2.10547468306193e-54	1	SPINK1
1.20886101272336e-57	2.89186662670823	0.518	0.087	2.28547263065478e-53	1	DENND2B
2.02898343994652e-57	3.92973863379758	0.462	0.029	3.83599609156288e-53	1	TBX5
7.66458853841253e-57	2.81188662270691	0.562	0.121	1.44906710907227e-52	1	PLAC9
2.54208285817026e-56	3.89082076622722	0.504	0.038	4.80606185165669e-52	1	EMILIN1
4.49846515467559e-56	1.28024080348889	1	0.998	8.50479822142967e-52	1	CIRBP
7.46471943532818e-56	-3.10838539921403	0.554	0.827	1.41127985644315e-51	1	S100P
1.00611568334882e-54	3.76370814180991	0.458	0.038	1.90216231093928e-50	1	ROBO1
3.21733955011213e-54	-3.33248232742849	0.106	0.56	6.08270215344198e-50	1	CLDN7
3.22064717426324e-54	-2.63439525117454	0.866	0.943	6.08895554766208e-50	1	KRT5
3.53533141637139e-54	4.04538844264362	0.467	0.032	6.68389757579175e-50	1	FBLN1
2.07354156863606e-53	1.39742868565284	0.844	0.389	3.92023768966334e-49	1	KRT8
6.32121400824855e-53	4.22908534098232	0.401	0.024	1.19508872039947e-48	1	BICC1
6.39643287974694e-53	-1.43082477222159	0.651	0.855	1.20930960024496e-48	1	CAPG
7.71303677050523e-53	3.95634628606351	0.47	0.034	1.45822673183172e-48	1	TNFAIP6
8.73072533580351e-53	4.23205622684447	0.415	0.025	1.65063093198701e-48	1	MRC2
1.26952677551925e-52	-3.11947087864671	0.107	0.51	2.4001673217967e-48	1	SERPINB1
3.93173057415207e-52	-3.38051403012523	0.222	0.634	7.4333298234919e-48	1	TGM3
4.04989689627327e-52	-2.48446695615222	0.267	0.7	7.65673507209425e-48	1	C2PH19orf33
4.60533239808965e-52	3.37973835764726	0.467	0.052	8.7068414318283e-48	1	SERPING1
9.84759076728153e-52	2.45166334393926	0.441	0.08	1.86178551046225e-47	1	PDE3A
1.4186892576143e-51	3.91929065578959	0.417	0.036	2.68217391044559e-47	1	MXRA5
8.39405048112547e-51	2.1216850562504	0.728	0.3	1.58697918396158e-46	1	TPM2
1.14392286408858e-50	4.41360927767892	0.385	0.023	2.16270056684587e-46	1	OLFML2B
1.56893148898854e-50	-3.14652542944136	0.137	0.552	2.96622187308172e-46	1	RihA
2.22835448395193e-49	4.58155944359238	0.555	0.063	4.21292698735952e-45	1	PTX3
6.43042521529225e-49	2.16123430082314	0.595	0.162	1.21573619120315e-44	1	SERPINH1
3.1179266251887e-48	4.56085902573066	0.394	0.027	5.89475207758175e-44	1	SFRP2
3.88837810769684e-48	3.58184111153745	0.412	0.035	7.35136765041164e-44	1	PRDM16
4.35531001079754e-48	-3.06656965814159	0.149	0.558	8.23414910641382e-44	1	DSG2
8.88351821243725e-48	-3.04201793346272	0.088	0.475	1.67951795324339e-43	1	SERPINB5
1.27540836179238e-47	3.18236882259825	0.435	0.05	2.41128704880467e-43	1	PDZRN3
1.37316540386543e-47	-3.51140355687971	0.124	0.531	2.59610651254799e-43	1	MPEG1
1.03034781057257e-46	-3.65763991845712	0.418	0.73	1.9479755706685e-42	1	LOC138580807
1.37544710296692e-46	-3.32858396291956	0.074	0.452	2.60042029286925e-42	1	FXYD3
5.08825816574648e-46	-4.09416416627853	0.058	0.408	9.6198608881603e-42	1	LOC138511169
7.34501550897615e-46	0.597929558708338	0.954	0.456	1.38864863212703e-41	1	VIM
1.12449608865959e-45	2.36796199799466	0.599	0.159	2.12597230521983e-41	1	MYADM
1.37154993944185e-44	3.39558048093714	0.404	0.038	2.59305231550876e-40	1	PRELP
1.46925119293024e-44	-3.73110720634265	0.045	0.345	2.77776630535391e-40	1	WFDC5
1.56190087656102e-44	3.06261085958873	0.442	0.06	2.95292979722627e-40	1	ENAH
1.56747787390474e-44	1.6331658315799	0.536	0.149	2.9634736684043e-40	1	COL11A1
3.27147034037103e-44	3.49408123373256	0.411	0.041	6.18504182550547e-40	1	GPM6B
7.44428311883856e-44	3.43094993936029	0.354	0.04	1.40741616644762e-39	1	PLCE1
