p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.16626650508074e-92	-3.80716667200796	0.218	0.758	2.20494345450565e-88	1	LOC138562538	down
2.05155533329339e-71	-3.50265325331214	0.175	0.64	3.87867051312449e-67	1	PINLYP	down
2.38586576594546e-61	-2.96488479251587	0.551	0.843	4.51071781709648e-57	1	KRT1	down
8.64720976959704e-61	-2.43791630246952	0.688	0.897	1.63484147904002e-56	1	PMP2	down
2.08259245537656e-59	-3.33289971772431	0.193	0.654	3.93734929613493e-55	1	EPCAM	down
8.45220227401489e-59	-3.71118123075087	0.094	0.562	1.59797336192525e-54	1	DSP	down
7.46471943532818e-56	-3.10838539921403	0.554	0.827	1.41127985644315e-51	1	S100P	down
3.21733955011213e-54	-3.33248232742849	0.106	0.56	6.08270215344198e-50	1	CLDN7	down
6.39643287974694e-53	-1.43082477222159	0.651	0.855	1.20930960024496e-48	1	CAPG	down
1.26952677551925e-52	-3.11947087864671	0.107	0.51	2.4001673217967e-48	1	SERPINB1	down
3.93173057415207e-52	-3.38051403012523	0.222	0.634	7.4333298234919e-48	1	TGM3	down
4.04989689627327e-52	-2.48446695615222	0.267	0.7	7.65673507209425e-48	1	C2PH19orf33	down
1.56893148898854e-50	-3.14652542944136	0.137	0.552	2.96622187308172e-46	1	RihA	down
4.35531001079754e-48	-3.06656965814159	0.149	0.558	8.23414910641382e-44	1	DSG2	down
8.88351821243725e-48	-3.04201793346272	0.088	0.475	1.67951795324339e-43	1	SERPINB5	down
1.37316540386543e-47	-3.51140355687971	0.124	0.531	2.59610651254799e-43	1	MPEG1	down
1.03034781057257e-46	-3.65763991845712	0.418	0.73	1.9479755706685e-42	1	LOC138580807	down
1.37544710296692e-46	-3.32858396291956	0.074	0.452	2.60042029286925e-42	1	FXYD3	down
5.08825816574648e-46	-4.09416416627853	0.058	0.408	9.6198608881603e-42	1	LOC138511169	down
1.46925119293024e-44	-3.73110720634265	0.045	0.345	2.77776630535391e-40	1	WFDC5	down
1.22337798422391e-43	-4.36159780005996	0.063	0.437	2.31291841697373e-39	1	LPO	down
1.36737387850773e-43	-3.24950738323671	0.063	0.401	2.58515705470672e-39	1	PKP1	down
1.46031306574391e-43	-3.53574189915346	0.564	0.816	2.76086788209544e-39	1	S100A4	down
2.92362946504507e-43	-2.52555801395477	0.258	0.645	5.52741386661421e-39	1	TCHH	down
6.93845047807346e-43	-4.13378546285156	0.038	0.408	1.31178344738457e-38	1	OTOA	down
1.16976322814749e-41	-2.79439831961932	0.142	0.5	2.21155435913565e-37	1	CA5A	down
1.41770238182857e-41	-2.34764568250014	0.164	0.519	2.68030812308509e-37	1	PGD	down
3.95747897456614e-41	-3.66698400720326	0.079	0.417	7.48200974931474e-37	1	FABP2	down
2.78971960244559e-40	-2.11094015227537	0.33	0.705	5.27424388038364e-36	1	S100A13	down
4.61521867696413e-40	-3.98855267491546	0.075	0.468	8.72553243066839e-36	1	TTN	down
1.67773721568067e-160	4.69018222455857	0.992	0.248	3.17192997996588e-156	1	COL3A1	up
1.98908615270586e-151	3.66970784706785	0.984	0.278	3.76056628030571e-147	1	COL5A2	up
1.10515550736042e-148	4.22109394123122	0.967	0.138	2.08940700221561e-144	1	FBN2	up
1.40550059588678e-146	4.09449285601158	0.982	0.291	2.65723942658354e-142	1	FSTL1	up
2.69314047883631e-144	3.89136847699498	0.961	0.194	5.09165138928793e-140	1	COL5A1	up
1.15454970065046e-138	4.42998923190995	0.952	0.117	2.18279166404977e-134	1	LUM	up
8.77680315313695e-137	4.9624859658742	0.853	0.092	1.65934240413207e-132	1	COL6A3	up
4.40523621076949e-131	4.57669830314266	0.876	0.077	8.3285395800808e-127	1	COL6A1	up
1.91905071635402e-129	4.47121806611519	0.843	0.064	3.62815728433891e-125	1	BGN	up
1.99205016589313e-121	4.21230335897484	0.863	0.181	3.76617004363756e-117	1	POSTN	up
5.48530455031056e-113	2.3096623760696	0.983	0.556	1.03705167828171e-108	1	SPARC	up
4.59592989911609e-112	3.40861795348838	0.889	0.135	8.68906506726888e-108	1	FN1	up
5.64663780392448e-110	3.70450989453802	0.833	0.14	1.06755334320996e-105	1	MDK	up
1.536660497942e-109	3.8530169444752	0.844	0.122	2.90521033740915e-105	1	VCAN	up
4.03914027247485e-106	4.55591216221693	0.753	0.058	7.63639859914094e-102	1	COL6A2	up
1.15977544535706e-105	2.98049383515272	0.879	0.229	2.19267145699205e-101	1	DCN	up
9.80707383124443e-105	3.71754783908205	0.853	0.15	1.85412537853507e-100	1	LTBP1	up
1.17644541372367e-104	2.21808435697528	0.99	0.631	2.22418769918597e-100	1	COL1A2	up
3.36798483306663e-101	3.46470369747612	0.813	0.138	6.36751212539577e-97	1	PFN2	up
2.67275734463782e-99	3.49558175059823	0.857	0.173	5.05311503577227e-95	1	THBS2	up
1.46141415801197e-94	4.38872130913148	0.692	0.055	2.76294960713743e-90	1	AEBP1	up
1.25691930816223e-93	4.95470826913794	0.676	0.045	2.37633164401151e-89	1	DPT	up
1.45322226013207e-93	2.06147366098709	0.984	0.552	2.74746200500569e-89	1	COL1A1	up
2.07798817819971e-88	2.69483201947315	0.819	0.234	3.92864444970437e-84	1	KRT18	up
1.87971368596693e-82	1.97360954406817	0.907	0.362	3.55378669468907e-78	1	ITGBL1	up
3.1035376855474e-82	2.63735466495273	0.783	0.174	5.86754834829592e-78	1	TGFBI	up
5.72257991138788e-82	4.16189686543613	0.602	0.043	1.08191095804699e-77	1	OGN	up
5.40542142750002e-80	3.5189602100926	0.683	0.089	1.02194897508315e-75	1	CTSG	up
1.3574905092901e-78	3.71866110564975	0.728	0.117	2.56647155686386e-74	1	COL12A1	up
8.29502983733771e-78	3.693803897019	0.636	0.061	1.56825834104707e-73	1	MMP2	up
7.83678350241972e-38	-3.8460672153004	0.227	0.559	1.48162228896747e-33	2	VIM	down
5.89612819943021e-32	-3.17878878951519	0.251	0.549	1.11472199738428e-27	2	LGALS1	down
3.02245372558461e-29	-3.52854522380949	0.084	0.338	5.71425101359026e-25	2	KRT18	down
3.66761273699786e-28	-3.73164310074735	0.058	0.334	6.93398864056815e-24	2	BASP1	down
7.16627611578826e-27	-4.01024642899189	0.056	0.343	1.35485616245093e-22	2	PLAUR	down
7.42400697383022e-25	-2.17000775298162	0.126	0.397	1.40358275847234e-20	2	GLRX	down
4.17297435936855e-22	-1.29968032309826	0.193	0.481	7.88942532382217e-18	2	KRT8	down
