p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.68295280831287e-74	1.57995618637009	1	0.998	8.56839875337006e-70	1	unassigned-gene-4
1.94600334895731e-67	1.86118167871411	0.873	0.43	3.56060232758719e-63	1	MYO10
3.53015447130926e-66	1.99986334292805	0.94	0.531	6.45912363615455e-62	1	TGM3
2.27984849128644e-63	1.61044276304196	0.992	0.884	4.17143878450679e-59	1	unassigned-gene-2
2.06159144209283e-61	1.78063178370808	0.879	0.46	3.77209386159726e-57	1	DSP
2.24624456527575e-60	1.74801224526779	0.877	0.468	4.10995368108503e-56	1	DSG2
5.64514017882153e-60	-2.06988579307272	0.966	0.992	1.03289129851898e-55	1	Fth1
4.98711687553491e-58	-1.23548407916811	0.961	0.988	9.12492774716623e-54	1	RPS27
5.08275566800492e-57	-1.1154506542988	0.944	0.985	9.29991804574861e-53	1	FAU
3.54324157289482e-56	1.56236347615265	0.923	0.547	6.48306910592565e-52	1	PINLYP
1.32340498802845e-55	-1.10739444491302	0.959	0.986	2.42143410659566e-51	1	RPS23
6.17632440950769e-55	-1.19314480968942	0.929	0.982	1.13008207720762e-50	1	RPS18
1.11791931256724e-53	-1.19961097300327	0.835	0.959	2.04545696620428e-49	1	UBA52
2.91396886455945e-53	-1.13068309925171	0.957	0.986	5.33168883148443e-49	1	RPLP2
1.36319980197073e-52	-1.02018186908265	0.981	0.993	2.49424667766585e-48	1	RPL32
9.16214811285433e-52	-1.17496544307498	0.869	0.964	1.67639824020896e-47	1	RPL12
4.38809566311888e-51	-1.10667134049684	0.957	0.987	8.02889863480862e-47	1	RPL23
9.11689923677425e-51	-1.001725151526	0.929	0.978	1.66811905335258e-46	1	RPL13
3.4048240868803e-50	1.83202399216564	0.871	0.458	6.22980663176489e-46	1	EPPK1
4.64294477815155e-50	1.93147667871904	0.755	0.323	8.4951960605839e-46	1	OTOA
5.35152861227135e-50	2.40276585926324	0.593	0.17	9.79169190187289e-46	1	CGN
6.00439540512077e-50	-1.06459074140648	0.905	0.973	1.09862422727495e-45	1	RPS20
9.68762401172519e-49	-1.04692680455565	0.941	0.983	1.77254456542536e-44	1	RPLP1
1.18814967059266e-48	-1.15391465109731	0.949	0.985	2.17395745228339e-44	1	RPL35
1.63436819828344e-48	-1.10388271779169	0.925	0.979	2.99040349239921e-44	1	RPS28
3.57438690436512e-48	-1.06948194285762	0.86	0.958	6.54005571891687e-44	1	RPL27
3.66866887351518e-48	-1.06468649708626	0.768	0.936	6.71256343787073e-44	1	RPS21
9.00123183922177e-48	-1.08702892312064	0.928	0.98	1.64695538962241e-43	1	RPL24
1.07859809913328e-47	-1.00629224182325	0.98	0.994	1.97351094198417e-43	1	RPS15A
2.54359712134868e-47	2.14048559381733	0.686	0.275	4.65401965293167e-43	1	A2M
5.15012466389631e-47	1.88134408544579	0.773	0.398	9.42318309753109e-43	1	ACTN4
2.36724219183204e-46	1.30683878373522	0.832	0.516	4.33134303839508e-42	1	CAPN1
2.58481771213224e-46	-0.991100111025471	0.995	0.997	4.72944096788836e-42	1	LOC138582460
2.82773355494614e-46	0.940032593495544	0.998	0.965	5.17390408548494e-42	1	CYTB
3.05902608742982e-46	-1.0176244907486	0.852	0.962	5.59710003217035e-42	1	RPL37
5.13230288405664e-46	-0.93469917238271	0.961	0.984	9.39057458695843e-42	1	RPL21
1.1133819187085e-45	-0.893863841338181	0.94	0.981	2.03715489666094e-41	1	TPT1
1.42839196807779e-44	-1.00897541213054	0.821	0.949	2.61352878399193e-40	1	RPS15
1.09343475019063e-43	-1.17975420324263	0.902	0.974	2.0006575624238e-39	1	RPS12
1.5409883336472e-43	-0.963609356070052	0.895	0.969	2.81954635407429e-39	1	RPL14
1.64530649095727e-43	2.14703620726747	0.634	0.204	3.01041728650452e-39	1	PLEKHA5
2.15103969760272e-43	-0.994193758763546	0.923	0.977	3.93575733470369e-39	1	RPL19
4.66237124191496e-43	-1.13887167811592	0.787	0.941	8.53074066133181e-39	1	RPL35A
6.65956677496249e-43	1.05599611512133	0.963	0.64	1.21850093281489e-38	1	LOC138580807
9.8034820008822e-43	-1.04369458260215	0.835	0.953	1.79374310170142e-38	1	RPL28
1.23495994661347e-42	1.36007941813541	0.918	0.564	2.25960621431868e-38	1	EPCAM
1.28724127858372e-42	-0.985565067957203	0.942	0.984	2.35526536742462e-38	1	RPS14
1.72296146179551e-42	-0.99630591499378	0.875	0.959	3.15250258664725e-38	1	RPLP0
3.25685611628028e-42	-1.04157338127799	0.839	0.951	5.95906963595804e-38	1	RPS27A
4.38964497939995e-42	-0.928550547770254	0.935	0.978	8.03173341880809e-38	1	RPS26
1.92613838747857e-41	-1.20192423849731	0.827	0.95	3.52425540756954e-37	1	RPL39
2.2630233537987e-41	-0.924377877725243	0.891	0.966	4.14065383044547e-37	1	RPL36
6.20561777188748e-41	1.6060634621819	0.782	0.4	1.13544188372225e-36	1	LIMA1
7.0709245818702e-41	2.26697521367934	0.593	0.171	1.29376707074479e-36	1	BAIAP2L1
1.00451709035446e-40	2.03304194172087	0.657	0.269	1.83796492022156e-36	1	MUC2
1.71939589759592e-40	2.38696397155425	0.586	0.173	3.14597867383126e-36	1	CAPN13
1.12716473897345e-39	-0.957602525302851	0.852	0.957	2.06237332289973e-35	1	RPS29
1.60817261926265e-39	-0.963091484572267	0.89	0.966	2.94247344146487e-35	1	RPS19
1.75902504131465e-39	2.34126796688521	0.551	0.135	3.21848811809342e-35	1	LOC138472418
2.23845745587399e-39	1.2142355941599	0.936	0.727	4.09570560701264e-35	1	LOC138504630
3.26237731435542e-39	-1.05627187105037	0.72	0.908	5.96917177207611e-35	1	RPL9
4.13246647611277e-39	-0.911184288014873	0.932	0.978	7.56117391134353e-35	1	RPL26L1
6.85065005405948e-39	2.29928523360452	0.617	0.179	1.25346344039126e-34	1	FAM83B
8.28191626483119e-39	1.71800356505518	0.64	0.245	1.51534221897616e-34	1	CDC42BPA
1.97909974236824e-38	-1.02366642041875	0.807	0.937	3.62115879861116e-34	1	RPS16
3.78541131649246e-38	-1.02840602787225	0.736	0.913	6.92616708578626e-34	1	RPL30
4.1576486022422e-38	-1.38166340467919	0.981	0.979	7.60724964752256e-34	1	TMSB4X
9.08996324766099e-38	-0.9803064601351	0.826	0.949	1.66319057542453e-33	1	RPS13
2.22514642224852e-37	2.24157072174153	0.49	0.14	4.07135040878812e-33	1	NPDC1
4.10062174957497e-37	-0.96527859790966	0.843	0.952	7.50290761519732e-33	1	RPS11
1.30502638398685e-36	2.39929993561502	0.564	0.164	2.38780677478074e-32	1	LOC138583127
2.50230893888229e-36	-0.884258527013038	0.893	0.963	4.57847466547293e-32	1	RPL17
3.55240040702212e-36	-0.992693448297951	0.876	0.965	6.49982702472836e-32	1	RPL31
7.06821266030761e-36	-1.00696732460785	0.847	0.954	1.29327087045648e-31	1	RPL34
1.50319510442171e-35	2.64277244082787	0.453	0.095	2.7503960825604e-31	1	NECTIN4
1.58951393722446e-35	2.16736643321704	0.49	0.143	2.90833365093959e-31	1	MYO5B
1.9342705885351e-35	-0.870390816177828	0.878	0.955	3.53913489584268e-31	1	RPL38
2.44393817836956e-35	-0.825103808772639	0.994	0.997	4.47167368496279e-31	1	FKBP2
8.29538782889617e-35	1.33147536018081	0.819	0.461	1.51780711105313e-30	1	CLDN7
9.25508272254094e-35	-0.898597039816732	0.888	0.962	1.69340248574332e-30	1	RPL13A
1.77663042225954e-34	1.75524838187947	0.596	0.22	3.25070068360827e-30	1	CLDN4
1.97086609737581e-34	-0.90384084854979	0.883	0.961	3.60609369836852e-30	1	RPL15
2.28567778963589e-34	1.97973576930499	0.534	0.168	4.18210465169679e-30	1	ARAP2
