p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
9.11253698043302e-33	-1.90776014138951	0.16	0.467	1.66732089130983e-28	1	HBA1	down
2.39338401147295e-32	-2.0899557698288	0.174	0.51	4.37917472579207e-28	1	HBB	down
2.34676496083828e-31	-2.28444219266337	0.147	0.432	4.29387584884581e-27	1	MSN	down
1.53397784537306e-27	-1.19328964541112	0.354	0.608	2.80671926367909e-23	1	FTH1	down
4.04315737381498e-27	-1.04109527419171	0.502	0.741	7.39776504686926e-23	1	SSR3	down
4.81608061035992e-27	-3.402289129096	0.299	0.522	8.81198269277555e-23	1	VIM	down
3.17962653350012e-25	-3.64849951534764	0.034	0.251	5.81776266834516e-21	1	CD53	down
7.74610031485052e-25	-2.03342521396552	0.131	0.401	1.4173039746082e-20	1	HBA2	down
4.44483727458009e-24	-3.6447185904945	0.053	0.324	8.13271876129919e-20	1	BASP1	down
3.40357896704545e-23	-1.11805727379257	0.406	0.638	6.22752843600307e-19	1	COX7B	down
5.55122540984319e-23	-1.07930712721058	0.461	0.722	1.01570771323901e-18	1	PPDPF	down
3.98630441223972e-22	-1.89247076498773	0.131	0.385	7.29374118307502e-18	1	HBBP1	down
1.58315844405434e-20	-1.05079182204106	0.484	0.696	2.89670500508622e-16	1	COX6C	down
1.7880843686572e-20	-2.60094129560095	0.095	0.341	3.27165796933207e-16	1	LSP1	down
2.80196029854638e-20	-3.90696029844338	0.051	0.283	5.12674675825031e-16	1	LGALS9	down
3.54869829136229e-20	-1.08130309330178	0.206	0.412	6.49305326370558e-16	1	EIF3K	down
7.67107532135703e-20	-3.77880240706066	0.046	0.254	1.4035766515487e-15	1	CD209	down
1.10935534569594e-19	-3.89021312234143	0.036	0.246	2.02978747601986e-15	1	TARM1	down
1.38446180306284e-19	-1.85834575064829	0.16	0.391	2.53314976106407e-15	1	PKM	down
2.13736779105768e-19	-1.63837288057499	0.181	0.39	3.91074184729823e-15	1	GMFG	down
6.23246336455639e-19	-4.2781969099438	0.024	0.232	1.14035382181288e-14	1	CMKLR1	down
1.3094502553073e-18	-4.34579922221367	0.032	0.237	2.39590113213576e-14	1	TGFBI	down
2.9883886102665e-18	-1.21568394465723	0.265	0.505	5.46785464020461e-14	1	SEC61G	down
5.22821155973051e-18	-2.51568628179729	0.1	0.331	9.56605869083892e-14	1	ANXA5	down
3.45939002124412e-17	-2.32153827712082	0.078	0.288	6.32964592187036e-13	1	LITAF	down
5.88743640687084e-17	-1.70106025212411	0.211	0.444	1.07722423936516e-12	1	GNG5	down
7.38776788012873e-16	-1.10577163621702	0.207	0.413	1.35173988902715e-11	1	LOC138516165	down
3.88948306465687e-15	-1.05154008740058	0.266	0.488	7.11658716340267e-11	1	UBL5	down
4.9544495137642e-15	-1.46629157987591	0.264	0.486	9.06515627533436e-11	1	ARPC5	down
4.64419231809654e-14	-1.71863360568931	0.218	0.432	8.49747868442124e-10	1	SH3BGRL3	down
1.6126933914035e-76	1.86478281202546	0.874	0.43	2.95074509825098e-72	1	MYO10	up
1.58591504197668e-75	2.0001202451186	0.941	0.531	2.90174875230474e-71	1	TGM3	up
1.02471741405325e-71	1.785936707451	0.879	0.46	1.87492545249323e-67	1	DSP	up
3.48975555446251e-69	1.74398646165154	0.877	0.467	6.38520573800006e-65	1	DSG2	up
1.87959477711706e-68	1.88420615548615	0.774	0.397	3.43909456369109e-64	1	ACTN4	up
2.11555046517518e-62	1.82888832337447	0.87	0.458	3.87082268613103e-58	1	EPPK1	up
1.06196183165222e-59	1.56504504344124	0.925	0.546	1.94307156337407e-55	1	PINLYP	up
3.50179558230484e-58	2.4128549655706	0.595	0.17	6.40723537694317e-54	1	CGN	up
2.84164917285105e-57	1.93233827944245	0.756	0.323	5.19936549156556e-53	1	OTOA	up
1.12551985623832e-55	2.30691783321821	0.619	0.179	2.05936368095925e-51	1	FAM83B	up
2.32244387337747e-54	2.38516337956887	0.587	0.174	4.24937555511876e-50	1	CAPN13	up
1.55517542226491e-50	2.33792385438559	0.551	0.135	2.8455044701181e-46	1	LOC138472418	up
1.15838816818219e-49	2.26293314867274	0.594	0.171	2.11950283132295e-45	1	BAIAP2L1	up
2.35707398201125e-49	1.06535637449812	0.963	0.64	4.31273826488599e-45	1	LOC138580807	up
1.52173816923305e-48	1.35942020557989	0.919	0.564	2.78432432824571e-44	1	EPCAM	up
1.52733410853196e-48	1.61274759499167	0.784	0.399	2.79456321838092e-44	1	LIMA1	up
2.23956623004098e-48	2.02912278199916	0.657	0.27	4.09773433110598e-44	1	MUC2	up
2.24232664418075e-48	1.94124810473648	0.543	0.181	4.10278506085751e-44	1	EVPL	up
3.51500578678093e-47	1.20832330087039	0.935	0.727	6.43140608807308e-43	1	LOC138504630	up
7.71228082124229e-46	2.15123271681624	0.69	0.274	1.4111160218627e-41	1	A2M	up
1.23406584667291e-44	1.72016368907061	0.552	0.185	2.25797027965742e-40	1	PLCH2	up
8.77414716535042e-44	1.30893139722427	0.833	0.515	1.60540570684417e-39	1	CAPN1	up
1.7875483496853e-43	1.7194006662015	0.642	0.245	3.27067721541919e-39	1	CDC42BPA	up
2.23007776464282e-43	2.15499343500975	0.635	0.204	4.08037328596696e-39	1	PLEKHA5	up
4.53997744638449e-43	1.33420647202306	0.82	0.461	8.30679673364971e-39	1	CLDN7	up
7.37238390122506e-43	1.24050175129757	0.774	0.478	1.34892508240715e-38	1	CAST	up
2.12866761261113e-41	1.53637207299743	0.609	0.289	3.89482313079458e-37	1	MEF2D	up
8.915119944832e-41	1.89309802850314	0.538	0.21	1.63119949630591e-36	1	UGCG	up
7.54284922938234e-40	2.24435587156282	0.492	0.139	1.38011512350009e-35	1	NPDC1	up
1.01291017824313e-39	2.58268046139021	0.424	0.076	1.85332175313146e-35	1	MUC3B	up
7.30441894187442e-73	-2.59118599143717	0.458	0.856	1.33648953379476e-68	2	S100P	down
5.62841221952945e-71	-3.25055877561689	0.184	0.664	1.0298305838073e-66	2	PINLYP	down
8.89809250125053e-69	-3.63894479219353	0.076	0.564	1.62808398495381e-64	2	CDH1	down
2.94897862249034e-68	-2.95062827773715	0.474	0.839	5.39574618557058e-64	2	S100A4	down
2.40041648174547e-66	-2.891174875092	0.545	0.867	4.39204203664968e-62	2	KRT1	down
2.84748051741035e-65	-3.35193594098217	0.175	0.681	5.21003510270571e-61	2	EPCAM	down
1.19404190157856e-63	-3.03271492445876	0.385	0.826	2.18473846731829e-59	2	LOC138580806	down
5.72367727934216e-62	-2.40760920242733	0.238	0.723	1.04726123180124e-57	2	S100A13	down
1.53086279956953e-61	-3.32678518588506	0.124	0.587	2.80101966437236e-57	2	DSG2	down
6.97326275458372e-60	-2.59777619282369	0.218	0.628	1.27589788620618e-55	2	SDC1	down
1.83169964927134e-59	-3.36183371278071	0.093	0.581	3.35146084827177e-55	2	PERP	down
2.73827255826613e-59	-1.97048536015601	0.644	0.892	5.01021729985955e-55	2	HMGN1	down
7.26180556055678e-59	-3.49436802828661	0.097	0.584	1.32869256341507e-54	2	DSP	down
2.67997862310775e-56	-3.77929972757555	0.1	0.58	4.90355688670026e-52	2	EPPK1	down
1.4580870980209e-55	-3.56222220503795	0.068	0.513	2.66786196324884e-51	2	LIMA1	down
1.88506630902395e-53	-3.21183855897024	0.23	0.644	3.44910582562113e-49	2	TGM3	down
6.64194830646129e-52	-2.9901515392718	0.104	0.536	1.21527728163322e-47	2	SERPINB1	down
1.2628913919424e-51	-3.0718288852622	0.136	0.548	2.31071237983701e-47	2	MYO10	down
5.98952623280978e-50	-3.58631956662141	0.255	0.655	1.09590361481721e-45	2	KRT19	down
2.73334492027926e-49	-3.84424200355878	0.045	0.436	5.00120120063496e-45	2	OTOA	down
5.41911127356518e-49	-2.68978517918661	0.416	0.727	9.91534789724221e-45	2	LOC138580807	down
1.64263349857495e-48	-3.5519454531346	0.337	0.727	3.00552651234259e-44	2	COL1A2	down
2.41275421453925e-48	-3.0022428401069	0.126	0.571	4.41461638634247e-44	2	CLDN7	down
9.82403765961442e-48	-1.67678081152031	0.412	0.709	1.79750417057965e-43	2	VWA5A	down
4.16187236356972e-47	-3.19500517270615	0.214	0.637	7.61497786362351e-43	2	SPARC	down
1.5035158487237e-45	-2.84287723156811	0.084	0.488	2.75098294840976e-41	2	SERPINB5	down
2.88488653220061e-45	-3.33821229414941	0.062	0.466	5.27847688796745e-41	2	TRIM29	down
4.96662967254004e-45	-1.83803611918469	0.232	0.576	9.08744231184651e-41	2	LGALS3	down
7.68755433016426e-45	-3.6609456373694	0.05	0.409	1.40659181579016e-40	2	DSC2	down
1.01202855570109e-44	-2.86961602648929	0.13	0.558	1.85170864836629e-40	2	RihA	down
1.09602145481205e-146	3.76480074043595	0.956	0.39	2.00539045586961e-142	2	PSAP	up
1.1114986203914e-144	4.46489582416126	0.967	0.241	2.03370902573015e-140	2	LYZ	up
5.04118586652746e-139	5.36794779898732	0.85	0.03	9.22385777998529e-135	2	CSF1R	up
5.94819640740009e-139	4.4183918262033	0.947	0.291	1.08834149666199e-134	2	CTSB	up
2.98630465445046e-136	6.02303419778006	0.828	0.032	5.46404162624801e-132	2	C1QB	up
4.33579542056802e-135	4.34076211208951	0.903	0.141	7.9332048810133e-131	2	LGMN	up
1.57408051370382e-133	4.53639461964765	0.96	0.366	2.88009511592388e-129	2	CTSL	up
4.88411158809665e-132	3.70324077330059	0.974	0.416	8.93645897274044e-128	2	VIM	up
9.0417623172553e-131	3.92151328422298	0.909	0.197	1.6543712511882e-126	2	CTSC	up
7.70677255211792e-130	4.14793715736912	0.884	0.143	1.41010817386102e-125	2	CTSZ	up
1.07615754843569e-129	3.47294314531939	0.929	0.19	1.96904546637279e-125	2	GRN	up
1.17237715042336e-129	5.95358818474716	0.821	0.027	2.14509847212962e-125	2	C1QC	up
7.66010562040992e-128	4.22458132074952	0.853	0.07	1.4015695253664e-123	2	SPACA4	up
8.98237993139438e-128	5.94642354989917	0.851	0.063	1.64350605604723e-123	2	APOE	up
1.73302520373659e-124	3.97050849543737	0.809	0.106	3.17091621527685e-120	2	PRSS16	up
8.66840043402014e-124	3.31252988289448	0.91	0.203	1.58605722741266e-119	2	BPI	up
3.43272062561438e-123	3.58752408702941	0.907	0.111	6.28084892868664e-119	2	TARM1	up
6.98780700910005e-123	5.75584690060271	0.791	0.049	1.27855904845504e-118	2	PLBD1	up
8.19764592726221e-121	4.10320822822067	0.848	0.154	1.49992327531117e-116	2	RNASET2	up
9.61804523526792e-120	3.16955282218431	0.947	0.444	1.75981373669697e-115	2	NPC2	up
3.33950101632878e-119	4.81028836553245	0.815	0.065	6.11028500957677e-115	2	CD300LF	up
8.74113884551491e-118	3.83263228016141	0.907	0.27	1.59936617456386e-113	2	LGALS3BP	up
6.46799861306448e-117	3.44131350763863	0.941	0.373	1.18344970623241e-112	2	LGALS1	up
1.168538686607e-115	4.17049158138722	0.774	0.076	2.13807523488483e-111	2	SLC7A8	up
1.31037696864854e-115	6.22608497710672	0.745	0.022	2.39759673953624e-111	2	MARCO	up
1.41337025617827e-114	4.34633827183657	0.779	0.059	2.58604355772939e-110	2	AIF1	up
