p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.45496463470437e-144	2.75566441417773	1	0.851	3.08146959984038e-140	1	S100P.1
1.86967453450503e-135	2.49865088807601	0.999	0.554	3.95978369662821e-131	1	S100A13
1.02203629734167e-133	2.7644679133546	0.999	0.535	2.16457067413992e-129	1	TXN.2
2.39474437969858e-132	2.63485216090084	0.999	0.656	5.07182912176361e-128	1	KRT5.4
6.80031680021531e-130	1.51567943170102	1	0.99	1.4402390951176e-125	1	CIRP.1
1.5113845290048e-126	2.48645134918752	1	0.754	3.20096129397926e-122	1	KRT5.2
5.89238029085487e-122	2.4174246207114	0.986	0.393	1.24794722180015e-117	1	ANXA1.4
2.91727157170183e-121	2.47702557174947	0.999	0.828	6.1784894617073e-117	1	LOC138580807
2.39419734439471e-117	2.17395197033075	0.999	0.484	5.07067055569355e-113	1	PINLYP.5
3.14678664835952e-117	2.18168819867184	0.999	0.952	6.66457944256064e-113	1	PMP2
5.34620638616381e-114	2.43817458106784	0.95	0.31	1.13227305052563e-109	1	RihA
3.45576305960241e-113	2.57927243552843	0.928	0.227	7.31896058393194e-109	1	FXYD3
7.32242050871413e-113	1.64964668289413	1	0.904	1.55081543954057e-108	1	PRDX1
1.58211574220905e-107	2.18572015538974	0.999	0.835	3.35076293042454e-103	1	S100A4
1.71842040048755e-107	3.54757356513447	0.805	0.121	3.63944256619259e-103	1	AVR4
1.03884227719315e-105	1.97892782875218	0.968	0.386	2.20016405886738e-101	1	TGM3
1.65582018395397e-105	2.10490054745104	0.999	0.909	3.50686156759611e-101	1	KRT5.3
7.12283873414296e-105	2.15439559021565	0.965	0.374	1.50854601550414e-100	1	ANXA1.3
2.52047747454515e-104	1.77257164708741	0.999	0.879	5.33811924333917e-100	1	S100G.2
7.26369044943985e-104	2.51619103996595	0.877	0.21	1.53837700028687e-99	1	SERPINB5
1.00968643356789e-102	2.17798869206736	0.959	0.378	2.13841489765343e-98	1	VWA5A.1
2.99499417739889e-102	3.21264616186384	0.9	0.348	6.3430981683131e-98	1	LOC138472539
3.06271939340166e-102	2.44993601665529	0.907	0.237	6.48653340328538e-98	1	SERPINB1.1
1.89857539007022e-100	3.13071547694803	0.885	0.305	4.02099281862972e-96	1	LOC138472541
8.98354838045312e-99	2.23447146660975	0.993	0.779	1.90262571149617e-94	1	KRT5.6
9.25103202689345e-97	1.98561185173395	0.944	0.473	1.95927607297576e-92	1	MGST3
