p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.79578621902929e-154	3.74722791737138	0.998	0.554	3.6662771447702e-150	1	COL3A1
2.84912262834807e-146	3.3136412019708	0.998	0.638	5.81676875803541e-142	1	FSTL1
7.23538854374945e-128	4.47576765150756	0.875	0.155	1.47717692509189e-123	1	FBN1
8.87218797066684e-128	2.47278597081195	0.989	0.521	1.81134589609134e-123	1	COL5A2
8.04969827460656e-116	2.48861065995902	0.977	0.372	1.64342639974368e-111	1	FN1
5.88985552148003e-113	2.88165044464106	0.937	0.263	1.20247290326536e-108	1	COL6A3
1.78218503999974e-108	2.4951188806698	0.971	0.329	3.63850897766347e-104	1	LUM
6.37945922247503e-106	3.00619528474697	0.895	0.355	1.3024303948605e-101	1	LTBP1
2.94600137259501e-102	2.64053610432961	0.909	0.344	6.01455640228998e-98	1	LRP1
1.35308038200035e-100	2.34380734635699	0.902	0.233	2.76244890789191e-96	1	COL6A1
1.72414260150737e-99	3.20532150764541	0.823	0.189	3.52000953523744e-95	1	VCAN
1.91999219425221e-98	2.91155444165851	0.84	0.213	3.91985606378532e-94	1	LOC138525661
2.54564753784317e-96	2.39808642779496	0.918	0.347	5.19719401326062e-92	1	COL5A1
1.86118571300312e-93	3.14466055759799	0.795	0.164	3.79979675166716e-89	1	DPT
1.86779873194931e-91	2.87807286611416	0.783	0.194	3.81329789114771e-87	1	FBN2
7.23009467093417e-90	2.34979795182007	0.927	0.471	1.47609612801792e-85	1	MARCKS
5.72581781396922e-89	2.56566894811677	0.825	0.203	1.16898296489996e-84	1	LOC138529593
9.41529203770862e-85	2.56653440634141	0.782	0.181	1.92222602241859e-80	1	BGN
9.87978005600434e-84	2.29834155571819	0.851	0.274	2.01705589623385e-79	1	MDK
5.15212952972615e-83	1.64237966124036	0.965	0.455	1.05185876478889e-78	1	DCN
8.93547549573978e-83	3.79713177738721	0.758	0.15	1.82426667721023e-78	1	RARRES1
6.14239561192555e-81	3.98051681800706	0.648	0.082	1.25403148813072e-76	1	LOC138472164
3.97335012114523e-79	1.51984855905405	0.996	0.678	8.1119916073301e-75	1	CIRBP.1
2.1852190881524e-77	2.0268372278255	0.862	0.337	4.46134329037194e-73	1	PFN2.1
3.58721653574011e-77	1.14802567032402	0.999	0.787	7.32366127936701e-73	1	SPARC
3.09799789802095e-75	1.9671067709522	0.896	0.338	6.32487250859958e-71	1	CIRBP.3
6.93083611675435e-75	2.21834162609682	0.756	0.194	1.41499950159657e-70	1	COL6A2
9.75839210475547e-67	1.39837717575133	0.962	0.661	1.99227333210688e-62	1	ANXA1.2
7.73871210101283e-66	2.07818520334379	0.844	0.306	1.57993546254278e-61	1	LOC138487902
7.08136757131723e-65	2.37749328270737	0.719	0.173	1.44573200336013e-60	1	OGN
9.67417161814844e-63	3.09697726675985	0.717	0.229	1.97507887756118e-58	1	PTX3
3.48194089220881e-59	3.85943872099442	0.574	0.08	7.10873052553351e-55	1	ELN.1
5.19720899214492e-59	2.5735281560569	0.609	0.161	1.06106218783631e-54	1	PLAC9
5.76867544409197e-59	1.97324771656524	0.766	0.318	1.17773277866582e-54	1	POSTN
7.0938338885218e-55	1.78469557110552	0.895	0.561	1.44827712668061e-50	1	TIMP1
3.455539536555e-54	1.2430670737296	0.977	0.594	7.05482951783069e-50	1	LGALS1
3.59542964006063e-54	0.622218336690098	1	0.863	7.34042915314779e-50	1	COL1A2
7.21401751311476e-54	2.463738597583	0.629	0.16	1.47281381547751e-49	1	LOC138513807
5.73614704776666e-51	-3.1642492261613	0.26	0.654	1.17109178127204e-46	1	LOC138562538
8.54334110161119e-51	1.90203572169186	0.75	0.304	1.74420851930494e-46	1	MYADM
9.00133191814217e-51	3.5360381039365	0.465	0.064	1.83771192440791e-46	1	TNFAIP6
9.36051550999881e-51	1.10508017056644	0.951	0.665	1.91104284652136e-46	1	TXN
1.55365209348862e-49	2.13228409732652	0.653	0.184	3.17193611406637e-45	1	FBN2.2
4.93414476081799e-49	3.82313413418531	0.419	0.048	1.0073549943686e-44	1	SVEP1
1.72376554856101e-48	1.9865532469873	0.575	0.161	3.51923974394216e-44	1	APOH
2.10162743711553e-48	2.99725707878392	0.523	0.113	4.29068257561507e-44	1	PHLDA1
7.75071305911295e-48	3.2943574569276	0.486	0.126	1.5823855781485e-43	1	LOC138515796
8.23003068889386e-47	2.07734883912909	0.565	0.158	1.68024306544457e-42	1	NID2
1.98575219627075e-46	2.86318533624324	0.54	0.134	4.05411168390637e-42	1	TSKU
1.52062074017124e-44	2.17313681763367	0.558	0.186	3.10449930313359e-40	1	LOXL2
2.70833555964899e-44	1.42400154448303	0.768	0.306	5.52933787857938e-40	1	KRT8
5.43646158405413e-44	3.17190764532883	0.454	0.081	1.10990799700049e-39	1	LOC138583117
