p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
7.07497724861193e-95	-4.06873860074051	0.512	0.896	1.41867443789166e-90	1	VIM	down
9.65751613238669e-81	-5.03580990898689	0.07	0.603	1.93652513486618e-76	1	BASP1	down
5.13418403553698e-76	-2.60430544368762	0.734	0.935	1.02950658280587e-71	1	Fth1.2	down
7.79616202081909e-76	-3.72300444835818	0.428	0.83	1.56328640841464e-71	1	LGALS1	down
4.36281715707593e-71	-2.8101066812903	0.49	0.861	8.74832096336865e-67	1	CIRBP.1	down
6.75978727624697e-66	-4.59693794587267	0.122	0.597	1.35547254463304e-61	1	LGALS9	down
2.5957822427752e-65	-3.41806350642874	0.178	0.678	5.20506255321283e-61	1	ANXA1.2	down
1.40369454093589e-60	-2.91834460305139	0.224	0.672	2.81468829348464e-56	1	MSN	down
1.67704247543705e-59	-4.66946299044521	0.099	0.538	3.36280557174637e-55	1	PLAUR	down
4.28364929252601e-57	-2.51001267095097	0.285	0.731	8.58957356137315e-53	1	TXN	down
1.71948078485946e-143	3.17465463339862	0.999	0.611	3.44790286980018e-139	1	TGM3	up
6.55849488526647e-142	4.32870347306422	0.987	0.627	1.31510939439363e-137	1	S100G.2	up
1.16066440383535e-141	3.80406052838609	0.905	0.148	2.32736426257064e-137	1	LOC138525707	up
5.34132516182582e-141	3.06741521331331	0.982	0.336	1.07104252144931e-136	1	CA5A	up
5.83949066168369e-141	2.65088781223628	1	0.78	1.17093466748081e-136	1	KRT5.2	up
5.91325908786887e-139	4.09132353643305	0.9	0.146	1.18572671229946e-134	1	LOC138580568	up
9.74551720328923e-139	3.39892805491184	0.988	0.543	1.95417110960356e-134	1	LOC138472543	up
1.13906450048393e-138	2.80403405457698	0.986	0.378	2.28405213637038e-134	1	RihA	up
1.56009607935909e-137	3.83452502384835	0.977	0.555	3.12830465833085e-133	1	LOC138472542	up
2.04704166979279e-137	3.5569905177819	0.952	0.166	4.10472795626849e-133	1	MYO10	up
2.4972670636459e-46	-2.26255530528145	0.655	0.857	5.00751991602275e-42	2	HMGN1	down
3.55391924803911e-45	-3.08094069088105	0.689	0.896	7.12631887616802e-41	2	S100P.1	down
1.66855846305749e-44	-2.87024888437713	0.464	0.728	3.34579343012288e-40	2	KRT5.4	down
2.87981449053969e-44	-4.07890567325746	0.372	0.692	5.77460401643019e-40	2	COL1A2	down
2.40527978792468e-40	-3.48732245487611	0.257	0.6	4.82306703074656e-36	2	SPARC	down
2.78762033529304e-32	-4.90601141666982	0.037	0.274	5.5897362963296e-28	2	HEMGN	down
6.56569776243893e-32	-2.75240071212258	0.542	0.758	1.31655371532426e-27	2	LOC138472547	down
3.19779221579384e-31	-4.78405814673434	0.05	0.344	6.41221295110981e-27	2	EPPK1	down
9.77811272260878e-31	-4.08493304274342	0.246	0.573	1.96070716313751e-26	2	COL1A1	down
2.83615796262596e-30	-3.05983914312577	0.096	0.379	5.68706394665757e-26	2	LIMA1	down
3.43798163488136e-130	3.25575962096167	0.928	0.157	6.8938407742641e-126	2	CSF1R	up
1.01043562411272e-128	2.33592190158085	0.998	0.642	2.02612551347083e-124	2	PSAP	up
5.16263810805383e-121	3.14607113325683	0.949	0.233	1.03521219342695e-116	2	LGALS3BP	up
1.24081028847383e-118	2.81077848323384	0.912	0.177	2.48807279044772e-114	2	C1QC	up
3.52121052379674e-115	2.47435594340736	0.96	0.335	7.06073134231722e-111	2	PLBD1	up
