p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
4.54575966678174e-45	-2.93194153705739	0.395	0.733	9.36971982517052e-41	1	MTHFD2	down
2.074365494216e-40	-1.90729359720369	0.577	0.853	4.27568215667801e-36	1	NMRK2.1	down
2.72209082854231e-40	-3.60713312061442	0.049	0.405	5.61077361579142e-36	1	PDE3A	down
3.87505969947588e-40	-4.00641626178114	0.18	0.542	7.98727305255969e-36	1	PRDX2.1	down
1.53992698079179e-39	-4.08380809659657	0.213	0.565	3.17409749280805e-35	1	HEMGN	down
4.62067940164893e-38	-4.31566986089946	0.036	0.365	9.52414438267877e-34	1	MAPT	down
1.33227182250469e-37	-3.68919525928638	0.18	0.527	2.74607868054667e-33	1	ALAS2	down
7.65571896145821e-37	-3.7839555437244	0.153	0.508	1.57799679233577e-32	1	TSPO.1	down
2.9941700567218e-35	-4.5066973370264	0.041	0.376	6.17158332091497e-31	1	CD274	down
3.88838722469257e-35	-2.75339318425276	0.103	0.428	8.01474374753632e-31	1	EPB41	down
7.52517354960121e-171	5.78046072220337	0.977	0.102	1.5510887720438e-166	1	MARCO	up
1.3477238229155e-161	4.38751064677706	0.98	0.174	2.77792834379343e-157	1	C1QC	up
1.24974486532329e-160	4.76194976085683	0.999	0.319	2.57597411640437e-156	1	LGALS3BP	up
1.5298391058562e-160	4.32738032915529	1	0.567	3.1533043649908e-156	1	SELENOP	up
2.19799215663733e-159	4.67591435902832	0.976	0.163	4.53050143326087e-155	1	C1QB	up
9.65259457179699e-158	4.4439754222893	0.987	0.316	1.9895927931388e-153	1	UCP2	up
5.35974376618609e-156	3.5670179741807	1	0.76	1.10475038508628e-151	1	CTSB	up
6.5709833194975e-152	4.90371620278423	0.983	0.33	1.35441108181483e-147	1	APOE	up
1.84710008414817e-151	4.10497907605633	0.961	0.205	3.80724269344621e-147	1	SLC43A2	up
1.28101568564686e-150	6.68308775735355	0.889	0.029	2.6404295312553e-146	1	CMKLR1	up
6.36700467799011e-46	-5.34760368345437	0.021	0.367	1.31236700422732e-41	2	CD274	down
3.14783236451006e-44	-2.77161065942798	0.451	0.716	6.48831206972813e-40	2	MTHFD2	down
3.78944038263603e-42	-3.7491498707501	0.105	0.451	7.81079451668938e-38	2	LOC138527766	down
1.91827099570678e-40	-3.82236544018143	0.173	0.517	3.95394017635082e-36	2	ALAS2	down
4.71052889451207e-40	-4.0052870501389	0.152	0.497	9.70934215736828e-36	2	TSPO.1	down
1.20240949297757e-39	-4.53412226473276	0.03	0.354	2.47840644692537e-35	2	MAPT	down
1.54198237254029e-39	-5.24443579874581	0.018	0.285	3.17833406628004e-35	2	AQP3	down
1.65382269178347e-39	-1.70678716281608	0.649	0.853	3.40885933230409e-35	2	B2M	down
4.88674725850339e-39	-4.30027064154216	0.047	0.371	1.00725634492272e-34	2	TFR2	down
1.30356790092988e-38	-4.73217229347947	0.043	0.367	2.68691415739667e-34	2	ANK1	down
1.66561710507224e-151	3.90668677069984	0.983	0.403	3.43316997697489e-147	2	DCN	up
6.15485658235882e-146	3.16617911419456	1	0.536	1.2686390387558e-141	2	LOC138487902	up
1.15904503130687e-139	3.76997577103082	0.936	0.203	2.38902361852972e-135	2	FBN2.2	up
2.38058391220009e-136	3.12807554207439	0.986	0.465	4.90685955982682e-132	2	LUM	up
7.60362323681999e-136	2.94901649676604	0.997	0.53	1.56725882157334e-131	2	FN1	up
1.24261155007696e-131	4.66058866086956	0.932	0.321	2.56127092701863e-127	2	PTX3	up
2.01128047746429e-127	2.50169303771015	0.999	0.584	4.14565132014939e-123	2	FSTL1	up
4.7839603240257e-125	3.60323855790639	0.974	0.483	9.86069901988177e-121	2	VCAN	up
5.37958964492929e-123	2.75793602139903	0.988	0.584	1.10884101761282e-118	2	FBN2	up
7.53451020324393e-123	2.38545397460371	1	0.669	1.55301324309264e-118	2	SPARC	up
1.50626768926946e-91	-3.69515253781268	0.495	0.879	3.1047189611222e-87	3	ANXA1.1	down
7.21253915332983e-89	-3.34277026940072	0.538	0.877	1.48664857028434e-84	3	LOC138516040	down
2.26419687570011e-86	-2.77593585565219	0.652	0.916	4.66696260019307e-82	3	MYL12B	down
5.43853346068894e-86	-3.07778388882124	0.394	0.833	1.12099051691721e-81	3	RAC1	down
2.90598561513265e-83	-3.34042273407277	0.594	0.885	5.98981754991142e-79	3	DBI	down
3.57209898189246e-83	-3.46077275764816	0.358	0.818	7.36281042147675e-79	3	CD63	down
1.84294299949121e-81	-2.97171868735424	0.658	0.903	3.79867411055129e-77	3	HSPA8	down
4.77892866314073e-80	-3.05820557417598	0.454	0.835	9.85032776046568e-76	3	TAGLN2	down
6.88477405612841e-80	-3.41019787973463	0.36	0.808	1.41908962844919e-75	3	LDHA	down
2.92156903198008e-79	-3.87454619310925	0.357	0.811	6.02193808871733e-75	3	ANXA2	down
1.25621846246654e-94	1.85988147736421	0.997	0.443	2.58931749483603e-90	3	PRDX2.1	up
8.45447396413668e-94	2.36523115537943	0.924	0.277	1.74263617348785e-89	3	TFR2	up
1.86084882369275e-88	1.74347677058885	0.996	0.428	3.8355815953955e-84	3	ALAS2	up
8.32971637258446e-85	1.70098997621206	0.978	0.408	1.71692113871711e-80	3	TSPO.1	up
2.78056144908345e-79	1.44578757588207	1	0.79	5.73129325885081e-75	3	FTL	up
1.75424501703387e-75	2.2351232933169	0.895	0.275	3.61584982911021e-71	3	ANK1	up
4.02718050189289e-75	1.56095226181823	1	0.469	8.30082445050163e-71	3	HEMGN	up
2.10631139213089e-71	1.34320500096256	0.996	0.657	4.34152904146019e-67	3	MTHFD2	up
4.95026992652277e-71	1.79486551896143	0.859	0.345	1.02034963725487e-66	3	HMBS	up
2.94341664411681e-67	1.41858298222476	0.93	0.363	6.06697038685356e-63	3	LOC138527766	up
2.89557648891004e-65	-2.23143116064766	0.592	0.907	5.96836225894138e-61	4	GPX1	down
1.55144143767434e-61	-2.57383322142986	0.495	0.864	3.19783109133434e-57	4	B2M	down
2.79587467688628e-57	-1.61383624921075	0.687	0.917	5.762856883998e-53	4	PRDX6	down
6.37291359432125e-56	-4.76428661182579	0.144	0.553	1.3135849500615e-51	4	HEMGN	down
2.47608193179605e-52	-4.8845380052005	0.084	0.496	5.10370007781803e-48	4	TSPO.1	down
2.13736767339763e-51	-4.5448933486109	0.129	0.528	4.4055422484072e-47	4	PRDX2.1	down
9.857864986085e-50	-4.42695554692502	0.115	0.515	2.03190313093184e-45	4	ALAS2	down
3.03428925108038e-49	-6.11823981016601	0.015	0.361	6.25427700432687e-45	4	CD274	down
2.00769995417051e-48	-4.35985019862897	0.074	0.447	4.13827114553625e-44	4	LOC138527766	down
3.20946174705791e-48	-6.73075893909515	0.49	0.781	6.61534255303576e-44	4	HBA1.13	down
7.27678707722815e-133	3.33618473841138	0.99	0.406	1.49989135235827e-128	4	POSTN	up
9.40208124427454e-131	2.44825834314808	1	0.6	1.93795698606987e-126	4	COL5A2	up
1.94484382928536e-129	2.67053647444647	0.983	0.31	4.00871210092299e-125	4	RCN3	up
3.13824811703025e-129	2.65532547591686	0.998	0.459	6.46855701882276e-125	4	CALD1	up
5.53596845210322e-128	4.10753472222852	0.943	0.336	1.14107381734752e-123	4	CRABP2	up
1.80210834827246e-127	2.75305567276394	0.995	0.346	3.7145057274592e-123	4	TNC	up
1.07367237507776e-124	2.41529307881642	0.993	0.342	2.21305349951027e-120	4	FKBP10	up
2.64751665966635e-124	2.83448550708381	0.97	0.338	5.45706133890429e-120	4	LOC138516914	up
7.44190762468664e-119	2.82709182916778	0.92	0.204	1.53392599960041e-114	4	EMILIN1	up
1.0669262683617e-118	2.3286462731552	1	0.792	2.19914842434714e-114	4	HMGN1	up
3.78157185597679e-63	-2.37901585836746	0.287	0.751	7.79457590953935e-59	5	RTN4	down
1.14611335348345e-60	-2.10326129427252	0.416	0.838	2.36236884420008e-56	5	ANXA1	down
6.53924897232387e-60	-2.09899434283875	0.508	0.816	1.3478699981754e-55	5	RAC1	down
1.83780887273701e-58	-2.86863230519255	0.152	0.622	3.78809164848553e-54	5	LSP1	down
1.24179942711264e-57	-2.53683380217669	0.28	0.722	2.55959697916457e-53	5	MSN	down
8.46762626742012e-57	-2.94215175878139	0.157	0.616	1.74534712624063e-52	5	ARPC1B	down
1.3417590276816e-56	-1.58378216882155	0.531	0.889	2.76563370785731e-52	5	HSBP1	down
2.67971392724795e-56	-1.92439519701072	0.575	0.891	5.52342634684348e-52	5	SRSF3.2	down
5.18237787403681e-56	-2.50443492735238	0.467	0.801	1.06819172739647e-51	5	CD63	down
1.16012929186799e-55	-2.10167038469625	0.522	0.874	2.3912584963983e-51	5	GSTM1	down
2.59832057112738e-173	6.95351788930691	0.981	0.114	5.35565836120776e-169	5	HBB.5	up
4.02094843408838e-169	5.8366784015595	0.975	0.121	8.28797891234298e-165	5	HBA1.9	up
8.57632036237569e-168	7.57511010165292	0.979	0.174	1.76775115309288e-163	5	HBA1.7	up
2.02947032832723e-165	6.82576346808341	1	0.693	4.18314424074808e-161	5	HBB.9	up
2.71445632559506e-165	7.70020176675619	0.956	0.081	5.59503737831653e-161	5	HBB.8	up
7.87775008348568e-165	5.24217267631818	1	0.598	1.62376184720807e-160	5	HBA1.11	up
2.70672209805408e-164	4.58420750422172	1	0.634	5.57909558850908e-160	5	HBA1.12	up
1.32789961185556e-163	4.52516890427752	1	0.735	2.73706667995667e-159	5	HBA1.13	up
2.07354805476795e-161	4.77799867768577	1	0.79	4.27399725048771e-157	5	HBA1.10	up
6.05574645805399e-160	7.28805516228769	0.933	0.068	1.24821045993409e-155	5	HBB.12	up
1.24189838187248e-44	-3.57671371218878	0.565	0.827	2.55980094471556e-40	6	FTL	down
4.82448798830505e-40	-4.07100216108334	0.461	0.719	9.94423464149437e-36	6	SPARC	down
5.81350442706074e-39	-3.82854574840378	0.188	0.541	1.19827953250576e-34	6	HEMGN	down
8.95756792188e-36	-3.54187485130097	0.162	0.482	1.84633390005791e-31	6	TSPO.1	down
1.44583038151206e-35	-3.63875006767504	0.169	0.517	2.98014558237265e-31	6	PRDX2.1	down
4.76150167592905e-35	-4.1273343457219	0.045	0.352	9.81440725442496e-31	6	CD274	down
2.41517517385552e-34	-3.4740455624038	0.104	0.437	4.97815906835101e-30	6	LOC138527766	down
