p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
6.93944122616134e-41	1.06093627264134	0.957	0.717	1.41613177102274e-36	1	OTOA.3
7.84526784914379e-40	2.18871552484993	0.608	0.239	1.60098380997477e-35	1	LOC138522078
2.44687169481625e-37	1.54320847113405	0.718	0.35	4.99333106761151e-33	1	A4GNT.9
1.71054586701429e-36	0.816599208595579	0.999	0.93	3.49071095081606e-32	1	PINLYP.5
7.24157701955361e-33	2.1530692788659	0.463	0.147	1.4777886223803e-28	1	LOC138580293
1.47541785588003e-28	0.727486809145254	0.99	0.883	3.01088521849438e-24	1	DSG2
5.28320714516207e-27	1.06468214674959	0.799	0.552	1.07814408211322e-22	1	PLEKHA5
1.51851515406082e-26	-4.12629846594709	0.171	0.475	3.09883387489192e-22	1	COL5A1
2.00734846575404e-26	1.86590625027927	0.474	0.166	4.09639601406427e-22	1	MTSS1
3.17557608112232e-25	0.554186704636748	1	0.992	6.48039810874633e-21	1	CYTB
7.87079732192115e-25	0.780366411210821	0.952	0.796	1.60619360948445e-20	1	LOC138511169
2.02610735032425e-24	0.574460470045385	0.971	0.831	4.1346772698067e-20	1	TTN
4.92687015710782e-24	2.96261710053269	0.316	0.067	1.00542639296099e-19	1	LOC138572018
1.00337973637194e-23	0.412675417155324	1	1	2.04759702801422e-19	1	unassigned-gene-4
3.85985944670637e-23	0.863301677855047	0.66	0.379	7.87681517289369e-19	1	PCDH7
4.02788287296081e-23	-3.25120757928964	0.355	0.614	8.21970057885112e-19	1	COL5A2
7.16395603041386e-23	0.993632013420723	0.768	0.498	1.46194850712656e-18	1	FAM83B
1.36402173013083e-22	0.530088936423091	0.999	0.891	2.78355914467799e-18	1	DSP
2.47808283215098e-22	0.637338645796257	0.935	0.789	5.0570236355705e-18	1	ND1
8.41267241760418e-22	0.631863017360641	0.921	0.764	1.71677406026048e-17	1	PKP1
1.21641578725547e-21	0.919271203497277	0.778	0.527	2.48233969705225e-17	1	BAIAP2L1
1.38651979449711e-21	1.39703411885529	0.553	0.27	2.82947094463026e-17	1	DCBLD1
2.09963645912991e-21	1.44343864821422	0.517	0.236	4.2847281221464e-17	1	CDC42EP2.1
6.03051776797455e-21	0.578236861234165	1	0.994	1.23064776091057e-16	1	KRT5.4
8.76566226314153e-21	0.687371133594347	0.848	0.578	1.78880869803929e-16	1	CLDN4.4
1.29804864331003e-20	-4.02960659790843	0.117	0.358	2.64892786640278e-16	1	SULF2
1.50650397509757e-20	-3.75831693658343	0.03	0.211	3.0743226619816e-16	1	TNS1
2.01377679563605e-20	0.631284759761136	0.988	0.817	4.10951430685448e-16	1	MYO10
4.77526994076265e-20	0.831349001308283	0.842	0.702	9.74489336811434e-16	1	EMP2
6.3278681604149e-20	0.570732910240802	0.951	0.857	1.29132805549587e-15	1	ND2
7.8861040553078e-20	1.11308213438764	0.568	0.314	1.60931725456666e-15	1	GDPD2
1.07844594470209e-19	1.10274729587399	0.613	0.352	2.20078463935355e-15	1	TIAM1
1.18915042410218e-19	-3.86293170914574	0.095	0.322	2.42669927046531e-15	1	COL11A1
1.33557313836706e-19	-1.98137911758483	0.192	0.426	2.72550410346566e-15	1	MSN
2.23274311289944e-19	-0.726061032998985	1	0.998	4.55635887049389e-15	1	TMSB4X
2.39112435967699e-19	-3.92579352461357	0.022	0.217	4.87956748079283e-15	1	ST3GAL4
7.85311445116733e-19	1.34147139590364	0.592	0.293	1.60258506604972e-14	1	NECTIN4
8.20719220934386e-19	0.899483305441299	0.587	0.373	1.6748417141608e-14	1	FOXN3
1.02152066538285e-18	1.01587857958688	0.688	0.435	2.08461722184678e-14	1	CGN
1.17277520315868e-18	1.65879006736191	0.355	0.132	2.39328235708592e-14	1	CDH26
1.41227504802003e-18	1.01086576061032	0.485	0.27	2.88202969049448e-14	1	LOC138491215
1.73268238652103e-18	0.827283649287934	0.65	0.402	3.53588494617346e-14	1	GRAMD1C
2.23507419452287e-18	1.01000079472261	0.697	0.405	4.56111590876282e-14	1	ARAP2
2.45338900616724e-18	0.72509546996446	0.766	0.58	5.00663094488548e-14	1	LOC138566955
2.80153702476719e-18	1.16919096160972	0.628	0.32	5.7170966064424e-14	1	GALNT3
2.81934036404686e-18	0.770079325531423	0.762	0.56	5.75342788091043e-14	1	MKI67
2.83365456940327e-18	0.878121232074142	0.73	0.502	5.78263887978125e-14	1	HIC2
4.17895995818471e-18	1.96875734478169	0.399	0.127	8.52800358666754e-14	1	RHBG
5.72808195822538e-18	-3.35169651404672	0.091	0.314	1.16892968521505e-13	1	VIT
6.77552869412567e-18	0.455584343157639	0.989	0.956	1.38268214061022e-13	1	LOC138504630
8.42057301558763e-18	0.63437635932737	0.843	0.647	1.71838633529097e-13	1	NECTIN1
8.64433515872003e-18	1.1410997308808	0.483	0.243	1.76404947584e-13	1	DAPK2.1
1.07388837259341e-17	1.10668635443464	0.632	0.368	2.19148400195138e-13	1	CDKL5
1.24460702364898e-17	-5.26428946901942	0.015	0.197	2.53986955316048e-13	1	GAS7
2.83070041999899e-17	-2.05329393858206	0.209	0.43	5.77661034709194e-13	1	TIMP1
2.96954175335487e-17	-3.57428920797431	0.064	0.251	6.05994385607128e-13	1	COL12A1
3.94982350590716e-17	0.874208811055448	0.605	0.335	8.06040482850474e-13	1	NRG1
4.22919411820921e-17	0.521138988475666	0.998	0.987	8.63051643702954e-13	1	ATP6
4.61831504581562e-17	-4.82829235110493	0.014	0.165	9.42459551399593e-13	1	LOC138529593
5.1851230957352e-17	0.848282748595139	0.698	0.441	1.05812807014668e-12	1	SPTBN2
5.50805833347528e-17	0.637702327176261	0.722	0.546	1.1240294641123e-12	1	SMARCAD1
7.0687019176338e-17	1.67647399064058	0.332	0.124	1.44251000033153e-12	1	SLC1A3
8.61209354487052e-17	-5.11523759161132	0.011	0.164	1.75746992970173e-12	1	ELMO1
8.88420565502432e-17	1.01613180024099	0.655	0.389	1.81299984802081e-12	1	CLDN1
1.02895013748191e-16	-2.92355166798501	0.359	0.559	2.09977854555934e-12	1	FSTL1
1.47013358132536e-16	1.00671821534089	0.626	0.387	3.00010159941065e-12	1	LOC138583127
1.55531442705628e-16	0.872204095569837	0.636	0.391	3.17393015129376e-12	1	MARCKS
2.4151129993037e-16	0.712423678444666	0.666	0.438	4.92852109767906e-12	1	THRA
2.41529380975866e-16	-3.61314266964962	0.046	0.275	4.9288900775745e-12	1	HSPG2
2.50234012304219e-16	0.591857790865729	0.868	0.74	5.1065254890922e-12	1	LMNB2
2.85918570682368e-16	0.520242588701972	0.995	0.982	5.83474027191508e-12	1	COX1
2.91403292433628e-16	0.781727833569481	0.654	0.434	5.94666698869305e-12	1	DDR1
2.95684549414701e-16	1.43300826230979	0.452	0.196	6.03403459990581e-12	1	RAB40B
3.00845079111078e-16	1.0089086102557	0.625	0.349	6.13934552941977e-12	1	SEMA4B
4.58377750309474e-16	1.05174967881862	0.591	0.339	9.35411475056543e-12	1	PDE4D
5.89323159181062e-16	1.00191257121702	0.592	0.338	1.20263177094079e-11	1	RAPGEFL1
7.11593862883153e-16	1.73121491453094	0.305	0.105	1.45214959598565e-11	1	ABLIM3
7.53562376490937e-16	1.02365494440528	0.454	0.211	1.53779474170505e-11	1	LOC138569251
7.94758216213026e-16	0.691042968870102	0.901	0.742	1.62186309182592e-11	1	ND4
8.58337573454195e-16	1.06641878679807	0.479	0.276	1.75160948614797e-11	1	JUP.1
8.72360445203771e-16	-3.39673976504307	0.034	0.207	1.78022596052734e-11	1	COL16A1
8.73189269612831e-16	0.697727348375938	0.768	0.6	1.7819173424989e-11	1	CRYBG1
1.12349578452036e-15	-3.04097194663114	0.03	0.168	2.2927178474707e-11	1	DOCK8
1.32803481150073e-15	0.473369446940671	0.972	0.911	2.71012063982954e-11	1	AHNAK
1.45893140743214e-15	0.469687019456492	0.999	0.997	2.97724132314677e-11	1	COX2
1.86211448515849e-15	1.54413292999469	0.353	0.15	3.80001702986292e-11	1	HCRTR2
1.94227416619821e-15	0.435606239622567	1	1	3.96359889096069e-11	1	COX3
2.13658973721855e-15	0.726959321057073	0.639	0.381	4.3601386767419e-11	1	PLCH2
2.31810632554337e-15	0.437996253353787	1	0.981	4.73055957853636e-11	1	LOC138580807
2.58452326369438e-15	-8.67694073432071	0	0.128	5.27423662422112e-11	1	PRR16
2.66489502037312e-15	-4.73988434584013	0.016	0.173	5.43825126807542e-11	1	MMP2
3.63952443303535e-15	0.83731557381896	0.72	0.517	7.42717751049525e-11	1	KRT1.2
3.85993223258608e-15	1.27834153399542	0.501	0.255	7.87696370703842e-11	1	GHR
