p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	direction
1.51851515406082e-26	-4.12629846594709	0.171	0.475	3.09883387489192e-22	1	COL5A1	down
4.02788287296081e-23	-3.25120757928964	0.355	0.614	8.21970057885112e-19	1	COL5A2	down
1.29804864331003e-20	-4.02960659790843	0.117	0.358	2.64892786640278e-16	1	SULF2	down
1.18915042410218e-19	-3.86293170914574	0.095	0.322	2.42669927046531e-15	1	COL11A1	down
1.33557313836706e-19	-1.98137911758483	0.192	0.426	2.72550410346566e-15	1	MSN	down
5.72808195822538e-18	-3.35169651404672	0.091	0.314	1.16892968521505e-13	1	VIT	down
2.83070041999899e-17	-2.05329393858206	0.209	0.43	5.77661034709194e-13	1	TIMP1	down
1.02895013748191e-16	-2.92355166798501	0.359	0.559	2.09977854555934e-12	1	FSTL1	down
2.41529380975866e-16	-3.61314266964962	0.046	0.275	4.9288900775745e-12	1	HSPG2	down
5.46086363510957e-14	-1.55650168799798	0.323	0.529	1.11439844201681e-09	1	ITGBL1	down
6.93944122616134e-41	1.06093627264134	0.957	0.717	1.41613177102274e-36	1	OTOA.3	up
7.84526784914379e-40	2.18871552484993	0.608	0.239	1.60098380997477e-35	1	LOC138522078	up
2.44687169481625e-37	1.54320847113405	0.718	0.35	4.99333106761151e-33	1	A4GNT.9	up
7.24157701955361e-33	2.1530692788659	0.463	0.147	1.4777886223803e-28	1	LOC138580293	up
5.28320714516207e-27	1.06468214674959	0.799	0.552	1.07814408211322e-22	1	PLEKHA5	up
2.00734846575404e-26	1.86590625027927	0.474	0.166	4.09639601406427e-22	1	MTSS1	up
4.92687015710782e-24	2.96261710053269	0.316	0.067	1.00542639296099e-19	1	LOC138572018	up
1.38651979449711e-21	1.39703411885529	0.553	0.27	2.82947094463026e-17	1	DCBLD1	up
2.09963645912991e-21	1.44343864821422	0.517	0.236	4.2847281221464e-17	1	CDC42EP2.1	up
7.8861040553078e-20	1.11308213438764	0.568	0.314	1.60931725456666e-15	1	GDPD2	up
2.29789578391174e-107	-2.72068904293262	0.632	0.957	4.68931592622868e-103	2	DSP	down
7.81744912770095e-107	-2.64742876724811	0.755	0.974	1.59530684348993e-102	2	PINLYP.5	down
1.12887763590497e-102	-2.47674799757107	0.735	0.971	2.30370059159127e-98	2	EPCAM	down
1.47290423923961e-98	-2.84369204916931	0.673	0.951	3.00575568101628e-94	2	EPPK1	down
5.80370072380934e-92	-2.21715296853459	0.614	0.947	1.18436120670777e-87	2	CLDN7	down
1.96490814639224e-90	-2.34675223547964	0.643	0.945	4.00978805434264e-86	2	DSG2	down
2.87348198751676e-85	-3.3428926542675	0.554	0.906	5.86391469192545e-81	2	TTN	down
3.7032313896124e-84	-2.80108109857306	0.276	0.832	7.55718429678203e-80	2	CDH1	down
2.16693620141671e-78	-2.11535167228721	0.417	0.884	4.42206670623107e-74	2	TRIM29	down
4.99547590802908e-71	-1.97659513478065	0.557	0.909	1.01942676855149e-66	2	LIMA1	down
1.04223920402483e-162	5.84602903407969	0.994	0.353	2.12689754365347e-158	2	COL3A1	up
2.41506830151548e-159	6.39535249981275	0.944	0.108	4.92842988290263e-155	2	FBN2	up
9.75182937067856e-158	4.52897621255977	0.99	0.446	1.99005581967437e-153	2	FSTL1	up
1.92776111671319e-156	6.38932538071828	0.95	0.176	3.93398211087661e-152	2	LUM	up
1.05128903982155e-154	6.24497470455985	0.937	0.126	2.14536554356384e-150	2	COL6A1	up
7.50611635163333e-150	6.3874299037269	0.923	0.091	1.53177316387781e-145	2	COL6A2	up
8.45778744214411e-150	6.27658617835614	0.943	0.204	1.72598068331835e-145	2	COL6A3	up
1.33306475637923e-149	6.74985685406449	0.89	0.057	2.7203852483431e-145	2	BGN	up
3.32477854063016e-145	4.342863268348	0.968	0.331	6.78487556786396e-141	2	COL5A1	up
3.90445689711227e-140	7.20437235335133	0.839	0.023	7.967825189937e-136	2	PLCE1	up
